Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
Aspen Ladd,+125,Raquel Pennington,-145,UFC 273,Apr 9th 2022
Aspen Ladd,+165,Irene Aldana,-200,UFC 273,Apr 9th 2022
Aspen Ladd,-160,Norma Dumont,+140,UFC Fight Night: Ladd vs. Dumont,Oct 16th 2021
Aspen Ladd,-130,Germaine de Randamie,-110,UFC on ESPN+ 13: De Randamie vs. Ladd,Jul 13th 2019
Aspen Ladd,-305,Sijara Eubanks,+225,UFC on ESPN+ 10: Dos Anjos vs. Lee,May 18th 2019
Aspen Ladd,-265,Tonya Evinger,+185,UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018
Aspen Ladd,-265,Lina Lansberg,+185,UFC Fight Night 118: Cerrone vs. Till,Oct 21st 2017
Aspen Ladd,-165,Yana Kunitskaya,+135,UFC on ESPN 7: Overeem vs. Rozenstruik,Dec 7th 2019
Daniel Lacerda,+310,Edgar Chairez,-395,UFC,Feb 25th 2024
Daniel Lacerda,+163,Edgar Chairez,-225,UFC Fight Night,Oct 14th 2023
Daniel Lacerda,-113,Francisco Figueiredo,-113,UFC Fight Night: Font vs. Vera,Apr 30th 2022
Daniel Lacerda,+145,Jeff Molina,-170,UFC Fight Night: Costa vs. Vettori,Oct 23rd 2021
Tafon Nchukwi,-150,A.J. Dobson,+120,UFC Fight Night 226,Aug 12th 2023
Tafon Nchukwi,-145,Azamat Murzakanov,+125,UFC,Mar 12th 2022
Tafon Nchukwi,-110,Mike Rodriguez,-110,UFC Fight Night: Smith vs. Spann,Sep 18th 2021
Tafon Nchukwi,-245,Jamie Pickett,+210,UFC Fight Night 183: Thompson vs. Neal,Dec 19th 2020
Ismail Naurdiev,-150,Sean Brady,+120,UFC on ESPN+ 27: Benavidez vs. Figueiredo,Feb 29th 2020
Ismail Naurdiev,-170,Siyar Bahadurzada,+130,UFC on ESPN+ 18: Hermansson vs. Cannonier,Sep 28th 2019
Ismail Naurdiev,-305,Chance Rencountre,+225,UFC 239: Jones vs. Santos,Jul 6th 2019
Ismail Naurdiev,+205,Michel Prazeres,-240,UFC on ESPN+ 3: Blachowicz vs. Santos,Feb 23rd 2019
Kevin Natividad,+160,Ricky Turcios,-185,UFC Fight Night 215,Nov 19th 2022
Kevin Natividad,+175,Miles Johns,-205,UFC on ESPN+ 39: Hall vs. Silva,Oct 31st 2020
Kevin Natividad,+130,Danaa Batgerel,-150,UFC 261: Usman vs. Masvidal 2,Apr 24th 2021
John Castaneda,+120,Daniel Marcos,-163,UFC Fight Night,Jun 8th 2024
John Castaneda,-157,Kyung Ho Kang,+125,UFC,Nov 12th 2023
John Castaneda,-240,Mateus Mendonca,+205,UFC on ESPN: Hermansson vs. Allen,Jun 3rd 2023
