Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
Ion Cutelaba,-135,Glover Teixeira,-105,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019
Ion Cutelaba,+105,Gadzhimurad Antigulov,-145,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 28th 2018
Ion Cutelaba,-210,Henrique da Silva,+160,UFC Fight Night 110: Lewis vs. Hunt,Jun 10th 2017
Ion Cutelaba,-190,Jared Cannonier,+150,UFC: The Ultimate Fighter 24 Finale,Dec 3rd 2016
Ion Cutelaba,-130,Jonathan Wilson,-110,UFC Fight Night 96: Lineker vs. Dodson,Oct 1st 2016
Ion Cutelaba,+200,Misha Cirkunov,-280,UFC Fight Night 89: MacDonald vs. Thompson,Jun 18th 2016
Ion Cutelaba,-140,Dustin Jacoby,+120,UFC on ESPN 23: Reyes vs. Prochazka,May 1st 2021
Ion Cutelaba,+300,Magomed Ankalaev,-400,UFC on ESPN+ 27: Benavidez vs. Figueiredo,Feb 29th 2020
Ivan Erslan,-110,Ion Cutelaba,-110,UFC,Sep 28th 2024
Jacqueline Cavalcanti,-225,Nora Cornolle,+163,UFC,Sep 28th 2024
Jacqueline Cavalcanti,+145,Josiane Nunes,-175,UFC,Aug 25th 2024
Jacqueline Cavalcanti,-350,Zarah Fairn,+240,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
Joanderson Brito,-275,William Gomis,+200,UFC,Sep 28th 2024
Joanderson Brito,+100,Jack Shore,-120,UFC,May 5th 2024
Joanderson Brito,+120,Jonathan Pearce,-163,UFC,Nov 18th 2023
Joanderson Brito,-800,Westin Wilson,+500,UFC Fight Night: Strickland vs. Magomedov,Jul 1st 2023
Joanderson Brito,-270,Lucas Alexander.,+230,UFC Fight Night 212,Oct 15th 2022
Joanderson Brito,+215,Andre Fili,-255,UFC Fight Night: Font vs. Vera,Apr 30th 2022
Joanderson Brito,-110,Bill Algeo,-110,UFC Fight Night 201,Jan 15th 2022
Kevin Jousset,+110,Bryan Battle,-150,UFC,Sep 28th 2024
Kevin Jousset,-210,Jared Gooden,+170,UFC,May 11th 2024
Kevin Jousset,-170,Kenan Song,+142,UFC,Dec 10th 2023
Ludovit Klein,-649,Roosevelt Roberts,+400,UFC,Sep 28th 2024
Ludovit Klein,-120,Thiago Moises,-110,UFC Fight Night,Jun 8th 2024
Ludovit Klein,+145,Joel Alvarez,-175,UFC,Mar 2nd 2024
Ludovit Klein,-835,Aj Cunningham,+575,UFC,Mar 2nd 2024
Ludovit Klein,-300,Jim Miller,+250,UFC on ESPN: Hermansson vs. Allen,Jun 3rd 2023
Ludovit Klein,+275,Mason Jones,-325,UFC Fight Night: Blaydes vs. Aspinall,Jul 23rd 2022
Ludovit Klein,-220,Nate Landwehr,+185,UFC Fight Night: Ladd vs. Dumont,Oct 16th 2021
Ludovit Klein,+125,Shane Young,-165,UFC 253: Adesanya vs. Costa,Sep 26th 2020
Matt Frevola,-138,Fares Ziam,+105,UFC,Sep 28th 2024
Matt Frevola,+140,Benoit Saint-Denis,-188,UFC,Nov 12th 2023
Matt Frevola,+285,Drew Dober,-350,UFC Fight Night 225,May 6th 2023
Matt Frevola,+105,Ottman Azaitar,-125,UFC 281,Nov 12th 2022
Matt Frevola,+110,Genaro Valdez,-130,UFC 270,Jan 22nd 2022
Matt Frevola,-430,Terrance McKinney,+320,UFC 263: Adesanya vs. Vettori 2,Jun 12th 2021
Matt Frevola,+475,Arman Tsarukyan,-650,UFC 257: Poirier vs. McGregor 2,Jan 23rd 2021
Matt Frevola,+125,Luis Pena,-165,UFC on ESPN+ 19: Joanna vs. Waterson,Oct 12th 2019
Matt Frevola,+125,Jalin Turner,-165,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
Matt Frevola,+205,Lando Vannata,-285,UFC 230: Cormier vs. Lewis,Nov 3rd 2018
Matt Frevola,-230,Marco Polo Reyes,+170,UFC Fight Night 124: Stephens vs. Choi,Jan 14th 2018
Morgan Charriere,-549,Gabriel Miranda,+350,UFC,Sep 28th 2024
Morgan Charriere,-110,Chepe Mariscal,-120,UFC,Apr 6th 2024
Morgan Charriere,-275,Manolo Zecchini,+200,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
Nassourdine Imavov,-188,Brendan Allen,+140,UFC,Sep 28th 2024
Nassourdine Imavov,-125,Jared Cannonier,+100,UFC,Jun 9th 2024
Nassourdine Imavov,-150,Roman Dolidze,+125,UFC Fight Night,Feb 4th 2024
Nassourdine Imavov,+100,Ikram Aliskerov,-125,UFC 294,Oct 21st 2023
Nassourdine Imavov,+109,Chris Curtis,-129,UFC 289,Jun 10th 2023
Nassourdine Imavov,-170,Sean Strickland,+145,UFC Fight Night 218,Jan 14th 2023
Nassourdine Imavov,-190,Kelvin Gastelum,+160,UFC Fight Night 218,Jan 14th 2023
Nassourdine Imavov,-180,Joaquin Buckley,+155,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
Nassourdine Imavov,+130,Edmen Shahbazyan,-150,UFC 268: Usman vs. Covington 2,Nov 6th 2021
Nassourdine Imavov,-105,Ian Heinisch,-115,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 24th 2021
Nassourdine Imavov,-105,Phil Hawes,-115,UFC Fight Night 185: Blaydes vs. Lewis,Feb 20th 2021
Nora Cornolle,+163,Jacqueline Cavalcanti,-225,UFC,Sep 28th 2024
Nora Cornolle,+205,Melissa Dixon,-265,UFC,Apr 6th 2024
Nora Cornolle,+205,Melissa Mullins,-250,UFC,Apr 6th 2024
Nora Cornolle,-105,Joselyne Edwards,-125,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
Oumar Sy,-420,Da Un Jung,+310,UFC,Sep 28th 2024
Oumar Sy,-400,Da Woon Jung,+275,UFC,Sep 28th 2024
Oumar Sy,-500,Tuco Tokkos,+360,UFC,May 18th 2024
Oumar Sy,-275,Antonio Trocoli,+220,UFC,May 18th 2024
Renato Moicano,+200,Benoit Saint-Denis,-250,UFC,Sep 28th 2024
Renato Moicano,+110,Jalin Turner,-130,UFC,Apr 13th 2024
Renato Moicano,-120,Drew Dober,-110,UFC Fight Night,Feb 4th 2024
Renato Moicano,-110,Brad Riddell,-110,UFC 281,Nov 12th 2022
Renato Moicano,+170,Rafael Dos Anjos,-200,UFC Fight Night 204,Mar 5th 2022
Renato Moicano,-180,Alex Hernandez,+155,UFC 271,Feb 12th 2022
Renato Moicano,-190,Jai Herbert,+165,UFC Fight Night 190: Gane vs. Volkov,Jun 26th 2021
Renato Moicano,-105,Rafael Fiziev,-115,UFC 256: Figueiredo vs. Moreno,Dec 12th 2020
Renato Moicano,-120,Chan Sung Jung,-120,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,Jun 22nd 2019
Renato Moicano,-120,Jose Aldo,-120,UFC on ESPN+ 2: Assuncao vs. Moraes 2,Feb 2nd 2019
Renato Moicano,-165,Cub Swanson,+125,UFC 227: Dillashaw vs. Garbrandt 2,Aug 4th 2018
Renato Moicano,+140,Calvin Kattar,-180,UFC 223: Nurmagomedov vs. Iaquinta,Apr 7th 2018
Renato Moicano,-180,Brian Ortega,+140,UFC 214: Cormier vs. Jones 2,Jul 29th 2017
Renato Moicano,+125,Jeremy Stephens,-165,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
Renato Moicano,+155,Zubaira Tukhugov,-195,UFC 198: Werdum vs. Miocic,May 14th 2016
Roosevelt Roberts,+400,Ludovit Klein,-649,UFC,Sep 28th 2024
Roosevelt Roberts,+440,Mateusz Rebecki,-700,UFC,Nov 12th 2023
Roosevelt Roberts,+140,Ignacio Bahamondes,-160,UFC on ESPN: Cannonier vs. Gastelum,Aug 21st 2021
Roosevelt Roberts,-375,Kevin Croom,+285,UFC on ESPN+ 35: Waterson vs. Hill,Sep 12th 2020
Roosevelt Roberts,-175,Jim Miller,+150,UFC on ESPN 11: Blaydes vs. Volkov,Jun 20th 2020
Roosevelt Roberts,-165,Alexander Yakovlev,+125,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 9th 2019
Roosevelt Roberts,-215,Vinc Pichel,+165,UFC on ESPN 3: Ngannou vs. Dos Santos,Jun 29th 2019
Roosevelt Roberts,-245,Thomas Gifford,+175,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019
Roosevelt Roberts,-185,Darrell Horcher,+145,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 30th 2018
Roosevelt Roberts,-290,Brok Weaver,+210,UFC on ESPN 9: Woodley vs. Burns,May 30th 2020
Taylor Lapilus,-345,Vince Morales,+265,UFC,Sep 28th 2024
Taylor Lapilus,-200,Cody Stamann,+150,UFC Fight Night,Jun 8th 2024
Taylor Lapilus,+164,Farid Basharat,-198,UFC,Jan 13th 2024
Taylor Lapilus,-200,Muin Gafurov,+160,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
Taylor Lapilus,-159,Caolan Loughran,+128,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
Taylor Lapilus,-350,Khalid Taha,+270,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
Taylor Lapilus,-170,Leandro Issa,+130,UFC Fight Night 93: Arlovski vs. Barnett,Sep 3rd 2016
Taylor Lapilus,+140,Erik Perez,-180,UFC Fight Night 78: Magny vs. Gastelum,Nov 21st 2015
Taylor Lapilus,+190,Yuta Sasaki,-270,UFC Fight Night 69: Jedrzejczyk vs. Penne,Jun 20th 2015
Victor Altamirano,+105,Daniel Barez,-138,UFC,Sep 28th 2024
Victor Altamirano,+124,Felipe Dos Santos,-148,UFC,Feb 25th 2024
Victor Altamirano,+170,Timothy Elliott,-200,UFC on ESPN: Hermansson vs. Allen,Jun 3rd 2023
Victor Altamirano,-115,Vinicius Salvador,-105,UFC Fight Night 222,Mar 25th 2023
Victor Altamirano,-225,Daniel da Silva,+163,UFC 278: Usman vs. Edwards 2,Aug 20th 2022
Victor Altamirano,-150,Carlos Hernandez,+130,UFC Fight Night 203,Feb 26th 2022
Victor Altamirano,,Daniel Lacerda,,UFC 278: Usman vs. Edwards 2,Aug 20th 2022
Vince Morales,+265,Taylor Lapilus,-345,UFC,Sep 28th 2024
Vince Morales,+140,Miles Johns,-160,UFC Fight Night 215,Nov 19th 2022
Vince Morales,+130,Jonathan Martinez,-150,UFC Fight Night 2010,May 21st 2022
Vince Morales,+160,Louis Smolka,-185,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
Vince Morales,-180,Drako Rodriguez,+155,UFC 265: Lewis vs. Gane,Aug 7th 2021
Vince Morales,+185,Benito Lopez,-265,UFC on ESPN+ 13: De Randamie vs. Ladd,Jul 13th 2019
Vince Morales,+165,Aiemann Zahabi,-215,UFC on ESPN+ 9: Iaquinta vs. Cowboy,May 4th 2019
Vince Morales,+255,Yadong Song,-365,UFC Fight Night 141: Blaydes vs. Ngannou 2,Nov 24th 2018
Vince Morales,+110,Chris Gutierrez,-150,UFC on ESPN 9: Woodley vs. Burns,May 30th 2020
William Gomis,+200,Joanderson Brito,-275,UFC,Sep 28th 2024
William Gomis,-275,Yanis Ghemmouri,+215,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
William Gomis,-165,Lucas Almeida,+135,UFC on ESPN: Gane vs. Spivak,Sep 2nd 2023
William Gomis,+330,Francis Marshall,-400,UFC Fight Night 223,Apr 22nd 2023
