,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
53,Sam Alvey,105.0,Julian Marquez,-125.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
54,Scott Holtzman,165.0,Mateusz Gamrot,-190.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
55,Sodiq Yusuff,-120.0,Arnold Allen,100.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
56,William Knight,-110.0,Da Un Jung,-130.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
57,Antonio Rodrigo Nogueira,150.0,Roy Nelson,-190.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
58,Beneil Dariush,-210.0,Ramsey Nijem,160.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
59,Clay Guida,115.0,Tatsuya Kawajiri,-155.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
60,Daniel Omielanczuk,160.0,Jared Rosholt,-210.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
61,Jim Alers,-270.0,Alan Omer,190.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
62,John Howard,170.0,Ryan Laflare,-230.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
63,Johnny Bedford,130.0,Rani Yahya,-170.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
64,Ramsey Nijem,160.0,Beneil Dariush,-210.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
65,Rani Yahya,-170.0,Johnny Bedford,130.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
66,Roy Nelson,-190.0,Antonio Rodrigo Nogueira,150.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
67,Tatsuya Kawajiri,-155.0,Clay Guida,115.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
68,Thales Leites,-385.0,Trevor Smith,265.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
69,Anthony Hamilton,100.0,Daniel Omielanczuk,-140.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
70,Bartosz Fabinski,-155.0,Garreth McLellan,115.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
71,Daniel Omielanczuk,-140.0,Anthony Hamilton,100.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
72,Gabriel Gonzaga,-155.0,Mirko Filipovic,115.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
