Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
Mike Massenzio,-115,Karlos Vemola,-115,UFC on FOX 3: Diaz vs. Miller,May 5th 2012
Mike Massenzio,+250,Rousimar Palhares,-350,UFC 142: Aldo vs. Mendes,Jan 14th 2012
Mike Massenzio,+135,Steve Cantwell,-165,UFC 136: Edgar vs. Maynard 3,Oct 8th 2011
Mike Massenzio,+280,Krzysztof Soszynski,-400,UFC 131: Carwin vs. Dos Santos,Jun 11th 2011
Mike Massenzio,-135,Brian Stann,+105,UFC On Versus 2,Aug 1st 2010
Mike Massenzio,+150,C.B. Dollaway,-180,UFC 92: The Ultimate 2008,Dec 27th 2008
Mike Massenzio,+175,Drew McFedries,-225,UFC Fight Night 15: Diaz vs Neer,Sep 17th 2008
Elves Brener,-110,Joel Alvarez,-120,UFC,Aug 3rd 2024
Elves Brener,+142,Myktybek Orolbai,-170,UFC,May 5th 2024
Elves Brener,-135,Esteban Ribovics,+110,UFC,Nov 5th 2023
Alexandre Pantoja,-250,Steve Erceg,+205,UFC,May 5th 2024
Alexandre Pantoja,-250,Brandon Royval,+205,UFC,Dec 17th 2023
Alexandre Pantoja,+144,Brandon Moreno,-186,UFC,Jul 9th 2023
Alexandre Pantoja,-275,Alex Perez,+235,UFC 277: Pena vs. Nunes 2,Jul 30th 2022
Alexandre Pantoja,-125,Brandon Royval,+105,UFC on ESPN: Cannonier vs. Gastelum,Aug 21st 2021
Alexandre Pantoja,-130,Manel Kape,+110,UFC Fight Night 184: Overeem vs. Volkov,Feb 6th 2021
Alexandre Pantoja,-180,Askar Askarov,+155,UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,Jul 18th 2020
Alexandre Pantoja,-135,Deiveson Figueiredo,-105,UFC 240: Holloway vs. Edgar,Jul 27th 2019
Alexandre Pantoja,-245,Wilson Reis,+175,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
Alexandre Pantoja,-305,Ulka Sasaki,+225,UFC Fight Night 140: Magny vs. Ponzinibbio,Nov 17th 2018
Alexandre Pantoja,+130,Brandon Moreno,-170,UFC Fight Night 129: Maia vs. Usman,May 19th 2018
Alexandre Pantoja,-150,Dustin Ortiz,+110,UFC 220: Miocic vs. Ngannou,Jan 20th 2018
Alexandre Pantoja,-305,Neil Seery,+225,UFC Fight Night 113: Nelson vs. Ponzinibbio,Jul 16th 2017
Alexandre Pantoja,-140,Eric Shelton,+100,UFC on FOX 23: Shevchenko vs. Pena,Jan 28th 2017
Adriano Martins,-260,Kajan Johnson,+180,UFC 215: Nunes vs. Shevchenko 2,Sep 9th 2017
Adriano Martins,-280,Leonardo Santos,+240,UFC 204: Bisping vs. Henderson 2,Oct 8th 2016
Adriano Martins,-120,Islam Makhachev,-120,UFC 192: Cormier vs. Gustafsson,Oct 3rd 2015
Adriano Martins,+160,Rustam Khabilov,-210,UFC Fight Night 61: Bigfoot vs. Mir,Feb 22nd 2015
Adriano Martins,-400,Juan Manuel Puig,+280,UFC: The Ultimate Fighter 19 Finale,Jul 6th 2014
Adriano Martins,+185,Donald Cerrone,-265,UFC on FOX 10: Henderson vs. Thomson,Jan 25th 2014
Adriano Martins,-160,Daron Cruickshank,+120,UFC Fight Night 32: Belfort vs. Henderson,Nov 9th 2013
Joe Brammer,+145,Aaron Riley,-175,UFC 114: Jackson vs. Evans,May 29th 2010
Ramiz Brahimaj,+205,Themba Gorimbo,-250,Road to UFC,May 19th 2024
Ramiz Brahimaj,-400,Micheal Gillmore,+330,UFC Fight Night 203,Feb 26th 2022
Ramiz Brahimaj,+100,Court McGee,-120,UFC Fight Night 201,Jan 15th 2022
Ramiz Brahimaj,-110,Sasha Palatnikov,-110,UFC on ESPN: Cannonier vs. Gastelum,Aug 21st 2021
Ramiz Brahimaj,+160,Max Griffin,-195,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 7th 2020
David Branch,-120,Jack Hermansson,-120,UFC on ESPN 2: Barboza vs. Gaethje,Mar 30th 2019
David Branch,-300,Jared Cannonier,+220,UFC 230: Cormier vs. Lewis,Nov 3rd 2018
David Branch,+145,Thiago Santos,-185,UFC Fight Night 128: Barboza vs. Lee,Apr 21st 2018
David Branch,+280,Luke Rockhold,-400,UFC Fight Night 116: Rockhold vs. Branch,Sep 16th 2017
David Branch,+110,Krzysztof Jotko,-150,UFC 211: Miocic vs. Dos Santos 2,May 13th 2017
David Branch,+145,Rousimar Palhares,-175,UFC On Versus 3: Sanchez vs. Kampmann,Mar 3rd 2011
David Branch,-165,Rich Attonito,+145,UFC: The Ultimate Fighter 12 Finale,Dec 4th 2010
David Branch,+130,Tomasz Drwal,-150,UFC Fight Night 22: Marquardt vs. Palhares,Sep 15th 2010
David Branch,+200,Gerald Harris,-260,UFC 116: Lesnar vs. Carwin,Jul 3rd 2010
Ruel Panales,+300,Kiru Singh Sahota,-450,Road to UFC,Aug 24th 2024
Ruel Panales,+130,Toki Matsui,-175,Road to UFC,May 19th 2024
Soa Palelei,-230,Antonio Silva,+170,UFC 190: Rousey vs. Correia,Aug 1st 2015
Soa Palelei,-165,Walt Harris,+125,UFC Fight Night 55: Rockhold vs. Bisping,Nov 7th 2014
Soa Palelei,+170,Jared Rosholt,-230,UFC Fight Night 43: Te Huna vs. Marquardt,Jun 28th 2014
Soa Palelei,-190,Ruan Potts,+150,UFC Fight Night 40: Brown vs. Silva,May 10th 2014
Soa Palelei,+180,Pat Barry,-260,UFC Fight Night 33: Hunt vs. Bigfoot,Dec 6th 2013
Soa Palelei,+100,Nikita Krylov,-140,UFC 164: Henderson vs. Pettis II,Aug 31st 2013
Rousimar Palhares,+150,Mike Pierce,-190,UFC Fight Night 29: Maia vs. Shields,Oct 9th 2013
Rousimar Palhares,+175,Hector Lombard,-245,UFC on FX 6: Sotiropoulos vs. Pearson,Dec 14th 2012
Rousimar Palhares,-385,Alan Belcher,+265,UFC on FOX 3: Diaz vs. Miller,May 5th 2012
Rousimar Palhares,-350,Mike Massenzio,+250,UFC 142: Aldo vs. Mendes,Jan 14th 2012
Rousimar Palhares,-270,Dan Miller,+190,UFC 134: Silva vs. Okami,Aug 27th 2011
Rousimar Palhares,-175,David Branch,+145,UFC On Versus 3: Sanchez vs. Kampmann,Mar 3rd 2011
Rousimar Palhares,+200,Nate Marquardt,-260,UFC Fight Night 22: Marquardt vs. Palhares,Sep 15th 2010
Rousimar Palhares,-270,Tomasz Drwal,+210,UFC 111: St-Pierre vs. Hardy,Mar 27th 2010
Rousimar Palhares,-350,Lucio Linhares,+260,UFC 107: Penn vs Sanchez,Dec 12th 2009
Rousimar Palhares,-420,Jeremy Horn,+300,UFC 93: Franklin vs Henderson,Jan 17th 2009
Rousimar Palhares,-120,Dan Henderson,-120,UFC 88: Breakthrough,Sep 6th 2008
Rousimar Palhares,+140,Ivan Salaverry,-160,UFC 84: Ill Will,May 24th 2008
Bart Palaszewski,-190,Cole Miller,+150,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
