,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
59,Ihor Potieria,245.0,Carlos Ulberg,-285.0,UFC Fight Night: Smith vs Walker,May 13th 2023
60,Ihor Potieria,-240.0,Mauricio Rua,205.0,UFC 283,Jan 21st 2023
61,Joaquin Buckley,-150.0,Stephen Thompson,110.0,UFC 307,Oct 5th 2024
62,Joaquin Buckley,-148.0,Nursulton Ruziboev,124.0,UFC,May 12th 2024
63,Joaquin Buckley,136.0,Vicente Luque,-162.0,UFC,Mar 31st 2024
64,Joaquin Buckley,-175.0,Alex Morono,130.0,UFC,Oct 8th 2023
65,Joaquin Buckley,-180.0,Andre Fialho,155.0,UFC Fight Night 226,May 20th 2023
66,Joaquin Buckley,-125.0,Chris Curtis,105.0,UFC 282,Dec 10th 2022
67,Joaquin Buckley,155.0,Nassourdine Imavov,-180.0,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
68,Joaquin Buckley,140.0,Albert Duraev,-160.0,UFC Fight Night: Kattar vs. Emmett,Jun 18th 2022
69,Joaquin Buckley,-150.0,Abdul Razak Alhassan,130.0,UFC,Feb 19th 2022
70,Joaquin Buckley,-165.0,Abdul Razak Alhassan,135.0,UFC Fight Night 201,Jan 15th 2022
71,Joaquin Buckley,-190.0,Antonio Arroyo,165.0,UFC Fight Night: Smith vs. Spann,Sep 18th 2021
72,Joaquin Buckley,-275.0,Alessio Di Chirico,235.0,UFC on ABC 1: Holloway vs. Kattar,Jan 16th 2021
73,Joaquin Buckley,-175.0,Jordan Wright,150.0,UFC 255: Figueiredo vs. Perez,Nov 21st 2020
74,Joaquin Buckley,185.0,Impa Kasanganay,-245.0,UFC on ESPN+ 37: Moraes vs. Sandhagen,Oct 10th 2020
75,Joaquin Buckley,235.0,Kevin Holland,-275.0,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 8th 2020
76,Jose Aldo,130.0,Mario Bautista,-175.0,UFC 307,Oct 5th 2024
77,Jose Aldo,-107.0,Jonathan Martinez,-117.0,UFC,May 5th 2024
78,Jose Aldo,-170.0,Merab Dvalishvili,145.0,UFC 278: Usman vs. Edwards 2,Aug 20th 2022
79,Jose Aldo,-105.0,Rob Font,-115.0,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
80,Jose Aldo,-138.0,Pedro Munhoz,115.0,UFC 265: Lewis vs. Gane,Aug 7th 2021
81,Jose Aldo,-125.0,Marlon Vera,105.0,UFC Fight Night 183: Thompson vs. Neal,Dec 19th 2020
82,Jose Aldo,205.0,Petr Yan,-240.0,UFC 251: Usman vs. Masvidal,Jul 11th 2020
83,Jose Aldo,-185.0,Alex Volkanovski,145.0,UFC 237: Namajunas vs. Andrade,May 11th 2019
84,Jose Aldo,-120.0,Renato Moicano,-120.0,UFC on ESPN+ 2: Assuncao vs. Moraes 2,Feb 2nd 2019
85,Jose Aldo,-135.0,Jeremy Stephens,-105.0,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 28th 2018
86,Jose Aldo,190.0,Max Holloway,-270.0,UFC 218: Holloway vs. Aldo 2,Dec 2nd 2017
87,Jose Aldo,-130.0,Max Holloway,100.0,UFC 212: Aldo vs. Holloway,Jun 3rd 2017
88,Jose Aldo,-130.0,Frankie Edgar,100.0,UFC 200: Tate vs. Nunes,Jul 9th 2016
89,Jose Aldo,150.0,Conor McGregor,-180.0,UFC 194: Aldo vs. McGregor,Dec 12th 2015
90,Jose Aldo,-190.0,Chad Mendes,150.0,UFC 179: Aldo vs. Mendes II,Oct 25th 2014
91,Jose Aldo,-600.0,Ricardo Lamas,400.0,UFC 169: Barao vs. Faber,Feb 1st 2014
92,Jose Aldo,135.0,Marlon Moraes,-175.0,UFC 245: Usman vs. Covington,Dec 14th 2019
93,Jose Aldo,-505.0,Chan Sung Jung,335.0,UFC 163: Aldo vs. Jung,Aug 3rd 2013
94,Jose Aldo,-195.0,Frankie Edgar,155.0,UFC 156: Aldo vs. Edgar,Feb 2nd 2013
95,Jose Aldo,-320.0,Chad Mendes,240.0,UFC 142: Aldo vs. Mendes,Jan 14th 2012
96,Jose Aldo,-250.0,Kenny Florian,190.0,UFC 136: Edgar vs. Maynard 3,Oct 8th 2011
97,Jose Aldo,-450.0,Mark Hominick,330.0,UFC 129: St-Pierre vs. Shields,Apr 30th 2011
98,Julianna Pena,130.0,Raquel Pennington,-175.0,UFC,Oct 6th 2024
99,Julianna Pena,210.0,Amanda Nunes,-250.0,UFC 277: Pena vs. Nunes 2,Jul 30th 2022
100,Julianna Pena,500.0,Amanda Nunes,-800.0,UFC 269,Dec 11th 2021
101,Julianna Pena,-140.0,Sara McMann,120.0,UFC 257: Poirier vs. McGregor 2,Jan 23rd 2021
102,Julianna Pena,160.0,Germaine de Randamie,-185.0,UFC on ESPN 16: Holm vs. Aldana,Oct 3rd 2020
103,Julianna Pena,-155.0,Nicco Montano,115.0,UFC on ESPN+ 13: De Randamie vs. Ladd,Jul 13th 2019
104,Julianna Pena,130.0,Valentina Shevchenko,-170.0,UFC on FOX 23: Shevchenko vs. Pena,Jan 28th 2017
105,Julianna Pena,120.0,Cat Zingano,-160.0,UFC 200: Tate vs. Nunes,Jul 9th 2016
106,Julianna Pena,-180.0,Jessica Eye,140.0,UFC 192: Cormier vs. Gustafsson,Oct 3rd 2015
107,Julianna Pena,-305.0,Milana Dudieva,225.0,UFC Fight Night 63: Mendes vs. Lamas,Apr 4th 2015
108,Kayla Harrison,-649.0,Ketlen Vieira,400.0,UFC 307,Oct 5th 2024
109,Kayla Harrison,-310.0,Holly Holm,250.0,UFC 300,Apr 14th 2024
111,Ketlen Vieira,-250.0,Macy Chiasson,190.0,UFC,Jan 13th 2024
112,Ketlen Vieira,-200.0,Pannie Kianzad,150.0,UFC 292,Jul 22nd 2023
113,Ketlen Vieira,-145.0,Raquel Pennington,125.0,UFC Fight Night 218,Jan 14th 2023
114,Ketlen Vieira,180.0,Holly Holm,-210.0,UFC Fight Night 2010,May 21st 2022
115,Ketlen Vieira,-160.0,Miesha Tate,140.0,UFC Fight Night: Vieira vs. Tate,Nov 20th 2021
116,Ketlen Vieira,-275.0,Yana Kunitskaya,235.0,UFC Fight Night 185: Blaydes vs. Lewis,Feb 20th 2021
117,Ketlen Vieira,-280.0,Sijara Eubanks,240.0,UFC 253: Adesanya vs. Costa,Sep 26th 2020
118,Ketlen Vieira,-245.0,Irene Aldana,195.0,UFC 245: Usman vs. Covington,Dec 14th 2019
119,Ketlen Vieira,-180.0,Cat Zingano,140.0,UFC 222: Cyborg vs. Kunitskaya,Mar 3rd 2018
120,Ketlen Vieira,185.0,Sara McMann,-265.0,UFC 215: Nunes vs. Shevchenko 2,Sep 9th 2017
121,Ketlen Vieira,130.0,Ashlee Evans-Smith,-170.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
122,Ketlen Vieira,-110.0,Kelly Faszholz,-130.0,UFC Fight Night 96: Lineker vs. Dodson,Oct 1st 2016
123,Kevin Holland,-163.0,Roman Dolidze,120.0,UFC 307,Oct 5th 2024
124,Kevin Holland,-200.0,Michal Oleksiejczuk,165.0,UFC,Jun 2nd 2024
125,Kevin Holland,-138.0,Michael Page,105.0,UFC 299,Mar 10th 2024
126,Kevin Holland,-162.0,Jack Della Maddalena,136.0,UFC,Sep 17th 2023
127,Kevin Holland,-186.0,Michael Chiesa,144.0,UFC,Jul 30th 2023
128,Kevin Holland,-200.0,Santiago Ponzinibbio,170.0,UFC 287,Apr 8th 2023
129,Kevin Holland,-110.0,Stephen Thompson,-110.0,UFC Fight Night 214,Dec 3rd 2022
130,Kevin Holland,675.0,Khamzat Chimaev,-1000.0,UFC 279,Sep 10th 2022
131,Kevin Holland,-225.0,Daniel Rodriguez,180.0,UFC 279,Sep 10th 2022
132,Kevin Holland,-310.0,Tim Means,260.0,UFC Fight Night: Kattar vs. Emmett,Jun 18th 2022
133,Kevin Holland,-200.0,Alex Oliveira,170.0,UFC Fight Night 204,Mar 5th 2022
134,Kevin Holland,-110.0,Kyle Daukaus,-110.0,UFC Fight Night: Santos vs. Walker,Oct 2nd 2021
135,Kevin Holland,188.0,Marvin Vettori,-230.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
136,Kevin Holland,-175.0,Ronaldo Souza,135.0,UFC 256: Figueiredo vs. Moreno,Dec 12th 2020
137,Kevin Holland,-800.0,Charlie Ontiveros,550.0,UFC on ESPN+ 39: Hall vs. Silva,Oct 31st 2020
138,Kevin Holland,-265.0,Darren Stewart,225.0,UFC on ESPN+ 36: Covington vs. Woodley,Sep 19th 2020
140,Kevin Holland,-150.0,Anthony Hernandez,130.0,UFC on ESPN 8: Overeem vs. Harris,May 16th 2020
141,Kevin Holland,-230.0,Brendan Allen,170.0,UFC on ESPN 6: Reyes vs. Weidman,Oct 18th 2019
142,Kevin Holland,-195.0,Alessio Di Chirico,155.0,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,Jun 22nd 2019
143,Kevin Holland,-265.0,Gerald Meerschaert,185.0,UFC on ESPN 2: Barboza vs. Gaethje,Mar 30th 2019
144,Kevin Holland,-270.0,John Phillips,190.0,UFC Fight Night 141: Blaydes vs. Ngannou 2,Nov 24th 2018
145,Kevin Holland,215.0,Thiago Santos,-275.0,UFC 227: Dillashaw vs. Garbrandt 2,Aug 4th 2018
146,Kevin Holland,100.0,Derek Brunson,-120.0,UFC on ESPN 21: Brunson vs. Holland,Mar 20th 2021
147,Kevin Holland,-195.0,Daniel Rodriguez,155.0,UFC on ESPN 9: Woodley vs. Burns,May 30th 2020
149,Khalil Rountree Jr.,145.0,Azamat Murzakanov,-175.0,UFC Fight Night,Dec 2nd 2023
150,Khalil Rountree Jr.,-225.0,Chris Daukaus,175.0,UFC Fight Night 226,Aug 12th 2023
151,Khalil Rountree Jr.,160.0,Dustin Jacoby,-185.0,UFC Fight Night 213,Oct 29th 2022
153,Marina Rodriguez,145.0,Jessica Andrade,-175.0,UFC,Apr 13th 2024
154,Marina Rodriguez,-350.0,Michelle Waterson Gomez,240.0,UFC on ESPN 53,Sep 23rd 2023
155,Marina Rodriguez,-275.0,Virna Jandiroba,235.0,UFC Fight Night 225,May 6th 2023
156,Marina Rodriguez,-161.0,Amanda Lemos,130.0,UFC Fight Night 214ting Championship,Nov 5th 2022
157,Marina Rodriguez,-185.0,Yan Xiaonan,160.0,UFC Fight Night 204,Mar 5th 2022
158,Marina Rodriguez,160.0,Mackenzie Dern,-185.0,UFC Fight Night: Dern vs. Rodriguez,Oct 9th 2021
159,Marina Rodriguez,230.0,Amanda Ribas,-270.0,UFC 257: Poirier vs. McGregor 2,Jan 23rd 2021
161,Marina Rodriguez,115.0,Tecia Torres,-155.0,UFC on ESPN+ 14: Shevchenko vs. Carmouche 2,Aug 10th 2019
162,Marina Rodriguez,-335.0,Jessica Aguilar,245.0,UFC on ESPN 2: Barboza vs. Gaethje,Mar 30th 2019
163,Marina Rodriguez,-160.0,Randa Markos,120.0,UFC Fight Night 137: Santos vs. Anders,Sep 22nd 2018
164,Marina Rodriguez,-155.0,Michelle Waterson,135.0,UFC on ESPN 24: Rodriguez vs. Waterson,May 8th 2021
165,Marina Rodriguez,110.0,Cynthia Calvillo,-140.0,UFC on ESPN 7: Overeem vs. Rozenstruik,Dec 7th 2019
167,Mario Bautista,-110.0,Ricky Simon,-110.0,UFC,Jan 13th 2024
168,Mario Bautista,-245.0,Da'mon Blackshear,186.0,UFC,Aug 20th 2023
169,Mario Bautista,-350.0,Guido Cannetti,285.0,UFC Fight Night 221,Mar 11th 2023
170,Mario Bautista,-260.0,Benito Lopez,220.0,UFC Fight Night 214ting Championship,Nov 5th 2022
171,Mario Bautista,-140.0,Brian Kelleher,120.0,UFC on ESPN: Tsarukyan vs. Gamrot,Jun 25th 2022
172,Mario Bautista,-115.0,Khalid Taha,-105.0,UFC,Feb 19th 2022
173,Mario Bautista,-270.0,Jay Perrin,230.0,UFC,Feb 19th 2022
174,Mario Bautista,-130.0,Trevin Jones,110.0,UFC 259: Blachowicz vs. Adesanya,Mar 6th 2021
175,Mario Bautista,175.0,Miles Johns,-245.0,UFC 247: Jones vs. Reyes,Feb 8th 2020
176,Mario Bautista,185.0,Jin Soo Son,-265.0,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 20th 2019
177,Mario Bautista,325.0,Cory Sandhagen,-475.0,UFC on ESPN+ 1: Cejudo vs. Dillashaw,Jan 19th 2019
179,Raquel Pennington,105.0,Mayra Bueno Silva,-125.0,UFC 297,Jan 21st 2024
181,Raquel Pennington,-145.0,Aspen Ladd,125.0,UFC 273,Apr 9th 2022
182,Raquel Pennington,-135.0,Julia Avila,110.0,UFC Fight Night: Lewis vs. Daukaus,Dec 18th 2021
183,Raquel Pennington,-300.0,Macy Chiasson,250.0,UFC Fight Night: Lewis vs. Daukaus,Dec 18th 2021
184,Raquel Pennington,-115.0,Pannie Kianzad,-105.0,UFC Fight Night: Smith vs. Spann,Sep 18th 2021
185,Raquel Pennington,-175.0,Marion Reneau,135.0,UFC on ESPN 11: Blaydes vs. Volkov,Jun 20th 2020
186,Raquel Pennington,105.0,Irene Aldana,-145.0,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 20th 2019
187,Raquel Pennington,135.0,Germaine de Randamie,-175.0,UFC Fight Night 139: Korean Zombie vs. Rodriguez,Nov 10th 2018
188,Raquel Pennington,350.0,Amanda Nunes,-530.0,UFC 224: Nunes vs. Pennington,May 12th 2018
