,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
191,Yan Xiaonan,260.0,Zhang Weili,-325.0,UFC 300,Apr 14th 2024
192,Alexander Volkov,-140.0,Roy Nelson,100.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
193,Aljamain Sterling,-215.0,Augusto Mendes,165.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
194,Andrew Sanchez,-210.0,Anthony Smith,160.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
196,Demetrious Johnson,-1050.0,Wilson Reis,550.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
197,Devin Clark,-150.0,Jake Collier,110.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
198,Jeremy Stephens,-165.0,Renato Moicano,125.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
199,Ketlen Vieira,130.0,Ashlee Evans-Smith,-170.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
200,Louis Smolka,170.0,Tim Elliott,-230.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
201,Nathan Coy,200.0,Zak Cummings,-280.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
202,Patrick Williams,265.0,Tom Duquesnoy,-385.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
203,Rashid Magomedov,-260.0,Bobby Green,180.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
205,Robert Whittaker,150.0,Ronaldo Souza,-190.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
206,Rose Namajunas,-135.0,Michelle Waterson,-105.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
212,Aaron Phillips,140.0,Gaston Bolanos,-160.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
213,Arnold Allen,125.0,Max Holloway,-145.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
214,Azamat Murzakanov,170.0,Dustin Jacoby,-200.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
215,Bill Algeo,-139.0,Tj Brown,119.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
216,Billy Quarantillo,-155.0,Edson Barboza,135.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
217,Brandon Royval,125.0,Matheus Nicolau,-145.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
218,Bruna Brasil,-160.0,Denise Gomes,140.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
219,Chris Gutierrez,-235.0,Pedro Munhoz,200.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
220,Clay Guida,140.0,Rafa Garcia,-160.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
221,Daniel Zellhuber,-175.0,Lando Vannata,150.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
224,Ed Herman,210.0,Zak Cummings,-250.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
227,Gillian Robertson,115.0,Piera Rodriguez,-135.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
228,Jake Collier,-185.0,Martin Buday,160.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
229,Joselyne Edwards,150.0,Lucie Pudilova,-175.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
238,Tanner Boser,-160.0,Ion Curelaba,140.0,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
240,Akira Corassani,335.0,Dustin Poirier,-505.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
241,Chad Laprise,-150.0,Olivier Aubin-Mercier,110.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
242,Dustin Kimura,-140.0,George Roop,100.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
244,Elias Theodorou,-270.0,Sheldon Westcott,190.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
246,Kyle Noke,-110.0,Patrick Cote,-130.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
247,Leslie Smith,190.0,Sarah Kaufman,-270.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
248,Mark Bocek,-405.0,Mike de La Torre,285.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
249,Michael Bisping,-165.0,Tim Kennedy,125.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
250,Mitch Gagnon,-275.0,Tim Gorman,195.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
251,Nordine Taleb,-270.0,Vik Grujic,190.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
253,Ryan Jimmo,-385.0,Sean O'Connell,265.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
254,Sam Stout,-165.0,K.J. Noons,125.0,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
259,Beneil Dariush,-210.0,Michael Chiesa,160.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
260,Bethe Correia,185.0,Raquel Pennington,-265.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
261,Cezar Ferreira,130.0,Oluwale Bamgbose,-170.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
262,Court McGee,-140.0,Santiago Ponzinibbio,100.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
263,Cub Swanson,-135.0,Hacran Dias,-105.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
264,Darrell Horcher,435.0,Khabib Nurmagomedov,-705.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
265,Glover Teixeira,-190.0,Rashad Evans,150.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
267,John Dodson,-505.0,Manny Gamburyan,335.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
270,Michael Graves,-160.0,Randy Brown,120.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
272,Omari Akhmedov,-210.0,Elizeu Zaleski,160.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
276,Rose Namajunas,-140.0,Tecia Torres,100.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
278,Ange Loosa,210.0,Mounir Lazzez,-250.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
279,Belal Muhammad,180.0,Vicente Luque,-210.0,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
