,Name
0,Ailin Perez
1,Benoit Saint Denis
2,Bolaji Oki
3,Brendan Allen
4,Bryan Battle
5,Chris Duncan
6,Da Woon Jung
7,Daniel Barez
8,Daria Zhelezniakova
9,Fares Ziam
10,Gabriel Miranda
11,Ion Cutelaba
12,Ivan Erslan
13,Jacqueline Cavalcanti
14,Joanderson Brito
15,Kevin Jousset
16,Ludovit Klein
17,Matt Frevola
18,Morgan Charriere
19,Nassourdine Imavov
20,Nora Cornolle
21,Oumar Sy
22,Renato Moicano
23,Roosevelt Roberts
24,Taylor Lapilus
25,Victor Altamirano
26,Vince Morales
27,William Gomis
