,Name
0,Alex Pereira
1,Carla Esparza
2,Cesar Almeida
3,Court McGee
4,Iasmin Lucindo
5,Ihor Potieria
6,Joaquin Buckley
7,Jose Aldo
8,Julianna Pena
9,Kayla Harrison
10,Ketlen Vieira
11,Kevin Holland
12,Khalil Rountree Jr.
13,Marina Rodriguez
14,Mario Bautista
15,Ovince Saint Preux
16,Raquel Pennington
17,Roman Dolidze
18,Ryan Spann
19,Stephen Thompson
20,Tecia Pennington
21,Tim Means
