Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
Harry Hunsucker,+550,Tyson Pedro,-750,UFC 278: Usman vs. Edwards 2,Aug 20th 2022
Harry Hunsucker,+275,Justin Tafa,-325,UFC Fight Night: Lewis vs. Daukaus,Dec 18th 2021
Yan Cabral,-165,Reza Madadi,+125,UFC Fight Night 87: Overeem vs. Arlovski,May 8th 2016
Yan Cabral,+110,Johnny Case,-150,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 7th 2015
Yan Cabral,-555,Naoyuki Kotani,+365,UFC 179: Aldo vs. Mendes II,Oct 25th 2014
Yan Cabral,-305,Zak Cummings,+225,UFC Fight Night 40: Brown vs. Silva,May 10th 2014
Yan Cabral,-260,David Mitchell,+180,UFC Fight Night 29: Maia vs. Shields,Oct 9th 2013
Mark Hunt,-155,Justin Willis,+115,UFC Fight Night 142: Dos Santos vs. Tuivasa,Dec 1st 2018
Mark Hunt,-215,Aleksei Oleinik,+165,UFC Fight Night 136: Hunt vs. Oleinik,Sep 15th 2018
Mark Hunt,-120,Curtis Blaydes,-120,UFC 221: Romero vs. Rockhold,Feb 10th 2018
Mark Hunt,+135,Derrick Lewis,-175,UFC Fight Night 110: Lewis vs. Hunt,Jun 10th 2017
Mark Hunt,-105,Alistair Overeem,-135,UFC 209: Woodley vs. Thompson 2,Mar 4th 2017
Mark Hunt,-165,Frank Mir,+125,UFC Fight Night 85: Hunt vs. Mir,Mar 19th 2016
Mark Hunt,-190,Antonio Silva,+150,UFC 193: Rousey vs. Holm,Nov 14th 2015
Mark Hunt,+120,Stipe Miocic,-160,UFC Fight Night 65: Hunt vs. Miocic,May 9th 2015
Mark Hunt,+220,Fabricio Werdum,-300,UFC 180: Werdum vs. Hunt,Nov 15th 2014
Mark Hunt,-140,Roy Nelson,+100,UFC Fight Night 52: Hunt vs. Nelson,Sep 20th 2014
Mark Hunt,-150,Brock Lesnar,+120,UFC 200: Tate vs. Nunes,Jul 9th 2016
Mark Hunt,-125,Antonio Silva,-115,UFC Fight Night 33: Hunt vs. Bigfoot,Dec 6th 2013
Mark Hunt,+320,Junior Dos Santos,-460,UFC 160: Velasquez vs. Silva II,May 25th 2013
Mark Hunt,+140,Stefan Struve,-180,UFC on Fuel TV 8: Silva vs. Stann,Mar 2nd 2013
Mark Hunt,+160,Cheick Kongo,-210,UFC 144: Edgar vs. Henderson,Feb 25th 2012
Mark Hunt,+300,Ben Rothwell,-420,UFC 135: Jones vs. Rampage,Sep 24th 2011
Mark Hunt,-275,Chris Tuchscherer,+215,UFC 127: Penn vs. Fitch,Feb 26th 2011
Mark Hunt,-170,Sean McCorkle,+140,UFC 119: Mir vs. Cro Cop,Sep 25th 2010
Kajan Johnson,+325,Rustam Khabilov,-475,UFC Fight Night 136: Hunt vs. Oleinik,Sep 15th 2018
Kajan Johnson,+300,Islam Makhachev,-420,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 28th 2018
Kajan Johnson,+135,Stevie Ray,-175,UFC Fight Night 127: Werdum vs. Volkov,Mar 17th 2018
Kajan Johnson,+180,Adriano Martins,-260,UFC 215: Nunes vs. Shevchenko 2,Sep 9th 2017
Kajan Johnson,-270,Naoyuki Kotani,+190,UFC Fight Night 75: Nelson vs. Barnett,Sep 26th 2015
Kajan Johnson,-140,Lipeng Zhang,+100,UFC Fight Night 66: Edgar vs. Faber,May 16th 2015
Kajan Johnson,-170,Tae Hyun Bang,+130,UFC 174: Johnson vs. Bagautinov,Jun 14th 2014
Demetrious Johnson,-475,Henry Cejudo,+325,UFC 227: Dillashaw vs. Garbrandt 2,Aug 4th 2018
Demetrious Johnson,-1350,Ray Borg,+650,UFC 216: Ferguson vs. Lee,Oct 7th 2017
Demetrious Johnson,-900,Tim Elliott,+500,UFC: The Ultimate Fighter 24 Finale,Dec 3rd 2016
Demetrious Johnson,-405,Henry Cejudo,+285,UFC 197: Jones vs. Saint Preux,Apr 23rd 2016
Demetrious Johnson,-400,John Dodson,+310,UFC 191: Johnson vs. Dodson II,Sep 5th 2015
Demetrious Johnson,-505,Kyoji Horiguchi,+335,UFC 186: Johnson vs. Horiguchi,Apr 25th 2015
Demetrious Johnson,-1425,Chris Cariaso,+675,UFC 178: Johnson vs. Cariaso,Sep 27th 2014
Demetrious Johnson,-425,Ali Bagautinov,+305,UFC 174: Johnson vs. Bagautinov,Jun 14th 2014
Demetrious Johnson,-1050,Wilson Reis,+550,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
Demetrious Johnson,-140,Joseph Benavidez,+100,UFC on FOX 9: Johnson vs. Benavidez,Dec 14th 2013
Demetrious Johnson,-380,John Moraga,+260,UFC on FOX 8: Johnson vs. Moraga,Jul 27th 2013
Demetrious Johnson,-230,John Dodson,+170,UFC on FOX 6: Johnson vs. Dodson,Jan 26th 2013
Demetrious Johnson,+200,Joseph Benavidez,-280,UFC 152: Jones vs. Belfort,Sep 22nd 2012
Demetrious Johnson,-210,Ian McCall,+160,UFC on FX 3: Johnson vs. McCall,Jun 8th 2012
Demetrious Johnson,-400,Ian McCall,+280,UFC on FX 2: Alves vs. Kampmann,Mar 2nd 2012
