Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
Dequan Townsend,+225,Dusko Todorovic,-305,UFC on ESPN 16: Holm vs. Aldana,Oct 3rd 2020
Dequan Townsend,+170,Devin Clark,-230,UFC on ESPN+ 25: Anderson vs. Blachowicz 2,Feb 15th 2020
Dequan Townsend,+275,Bevon Lewis,-350,UFC on ESPN+ 24: Blaydes vs. Dos Santos,Jan 25th 2020
Dequan Townsend,+170,Dalcha Lungiambula,-230,UFC on ESPN 3: Ngannou vs. Dos Santos,Jun 29th 2019
Manuel Torres,+130,Ignacio Bahamondes,-175,UFC,Sep 15th 2024
Manuel Torres,-192,Chris Duncan,+160,UFC,Feb 25th 2024
Manuel Torres,-163,Nikolas Motta,+120,UFC Fight Night 227,Jun 17th 2023
Manuel Torres,-195,Trey Ogden,+160,UFC Fight Night 222,Mar 25th 2023
Manuel Torres,-225,Frank Camacho,+190,UFC Fight Night 208,May 14th 2022
Jacob Volkmann,-295,Bobby Green,+235,UFC 156: Aldo vs. Edgar,Feb 2nd 2013
Jacob Volkmann,-210,Shane Roller,+160,UFC on FX 5: Browne vs. Bigfoot,Oct 5th 2012
Jacob Volkmann,-170,Paul Sass,+140,UFC 146: Dos Santos vs. Mir,May 26th 2012
Jacob Volkmann,-270,Efrain Escudero,+190,UFC 141: Lesnar vs. Overeem,Dec 30th 2011
Jacob Volkmann,-105,Danny Castillo,-125,UFC On Versus 5: Hardy vs. Lytle,Aug 14th 2011
Jacob Volkmann,+165,Antonio McKee,-205,UFC 125: Resolution,Jan 1st 2011
Jacob Volkmann,-120,Paul Kelly,-110,UFC On Versus 2,Aug 1st 2010
Jacob Volkmann,+180,Ronnys Torres,-240,UFC Fight Night 21: Florian vs. Gomi,Mar 31st 2010
Jacob Volkmann,+180,Martin Kampmann,-240,UFC 108: Evans vs Silva,Jan 2nd 2010
Jacob Volkmann,+200,Paulo Thiago,-260,UFC 106: Ortiz vs Griffin 2,Nov 21st 2009
Jose Torres,-120,Alex Perez,-120,UFC 227: Dillashaw vs. Garbrandt 2,Aug 4th 2018
Jose Torres,-265,Jarred Brooks,+185,UFC Fight Night 131: Rivera vs. Moraes,Jun 1st 2018
Rodney Wallace,+445,Phil Davis,-660,UFC 117: Silva vs. Sonnen,Aug 7th 2010
Rodney Wallace,-125,Jared Hamman,-105,UFC 111: St-Pierre vs. Hardy,Mar 27th 2010
Valter Walker,-115,Junior Tafa,-105,UFC,Aug 18th 2024
Ben Wall,+160,Justin Salas,-210,UFC Fight Night 40: Brown vs. Silva,May 10th 2014
Brogan Walker,+250,Iasmin Lucindo,-300,UFC Fight Night 223,Apr 22nd 2023
Brogan Walker,-350,Liang Na,+260,UFC Fight Night 222,Mar 25th 2023
Brogan Walker,-160,Juliana Miller,+140,UFC on ESPN: Santos vs. Hill,Aug 6th 2022
Johnny Walker,-150,Volkan Oezdemir,+110,UFC,Jun 22nd 2024
Johnny Walker,+300,Magomed Ankalaev,-380,UFC,Jan 13th 2024
Johnny Walker,+300,Magomed Ankalaev,-450,UFC 294,Oct 21st 2023
Johnny Walker,-155,Anthony Smith,+135,UFC Fight Night: Smith vs Walker,May 13th 2023
Johnny Walker,-150,Paul Craig,+130,UFC 283,Jan 21st 2023
Johnny Walker,+155,Ion Cutelaba,-180,UFC 279,Sep 10th 2022
Johnny Walker,+198,Jamahal Hill,-240,UFC,Feb 19th 2022
Johnny Walker,+132,Thiago Santos,-160,UFC Fight Night: Santos vs. Walker,Oct 2nd 2021
Johnny Walker,-115,Ryan Spann,-105,UFC on ESPN+ 36: Covington vs. Woodley,Sep 19th 2020
Johnny Walker,-195,Corey Anderson,+155,UFC 244: Masvidal vs. Diaz,Nov 2nd 2019
Johnny Walker,-215,Misha Cirkunov,+165,UFC 235: Jones vs. Smith,Mar 2nd 2019
Johnny Walker,-400,Justin Ledet,+280,UFC on ESPN+ 2: Assuncao vs. Moraes 2,Feb 2nd 2019
Johnny Walker,+205,Khalil Rountree,-285,UFC Fight Night 140: Magny vs. Ponzinibbio,Nov 17th 2018
Johnny Walker,-195,Nikita Krylov,+155,UFC on ESPN+ 28: Lee vs. Oliveira,Mar 14th 2020
Donny Walker,+100,Ken Stone,-120,UFC Fight Night 25: Battle on the Bayou,Sep 17th 2011
Bobby Voelker,-130,Lance Benoist,-110,UFC Fight Night 42: Henderson vs. Khabilov,Jun 7th 2014
Bobby Voelker,-150,William Macario,+110,UFC 168: Weidman vs. Silva II,Dec 28th 2013
