First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Scott,Junk,,"6' 1""",265 lbs.,--,Orthodox,8,3,1,,5.13,60%,1.81,45%,N/A,0.00,0%,0%,0.0
Cheick,Kongo,,"6' 4""",240 lbs.,"82.0""",Orthodox,27,10,2,,3.33,56%,1.28,54%,N/A,2.30,56%,52%,0.2
Yuki,Kondo,,"5' 11""",183 lbs.,--,Southpaw,60,33,9,,1.14,42%,2.57,51%,N/A,0.76,41%,37%,0.5
Syuri,Kondo,,"5' 4""",115 lbs.,"66.0""",Orthodox,6,3,0,,5.40,44%,7.22,58%,N/A,0.00,0%,83%,0.3
Charlie,Kohler,,"5' 9""",155 lbs.,--,Orthodox,8,4,1,,0.81,33%,4.31,46%,N/A,0.00,0%,0%,4.0
Shingo,Kohara,,"5' 6""",135 lbs.,--,,1,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Tsuyoshi,Kohsaka,TK,"5' 11""",225 lbs.,--,Orthodox,27,19,2,,1.88,38%,4.41,54%,N/A,1.32,20%,33%,0.4
Sokun,Koh,,"6' 1""",205 lbs.,--,,4,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
John,Kolosci,,"5' 11""",185 lbs.,--,Orthodox,15,9,0,,0.21,20%,0.85,50%,N/A,0.00,0%,0%,0.0
Roger,Gracie,,"6' 4""",185 lbs.,"79.0""",Orthodox,8,2,0,,1.78,35%,1.79,61%,N/A,1.87,53%,60%,1.9
Kaloyan,Kolev,,"6' 2""",205 lbs.,"73.0""",Orthodox,10,1,0,,1.12,45%,4.49,42%,N/A,10.11,60%,0%,0.0
Rolles,Gracie,,"6' 4""",242 lbs.,--,Orthodox,8,4,0,,2.30,32%,3.38,55%,N/A,2.30,10%,0%,0.0
Ryan,Gracie,,"5' 9""",200 lbs.,--,Orthodox,5,2,0,,0.82,61%,0.50,40%,N/A,2.83,75%,25%,0.9
Cesar,Gracie,,"5' 10""",181 lbs.,--,Orthodox,0,1,0,,0.00,0%,17.14,50%,N/A,0.00,0%,0%,0.0
Ralek,Gracie,,"6' 2""",210 lbs.,--,Orthodox,3,1,0,,1.61,46%,1.05,55%,N/A,2.50,75%,0%,1.7
Royler,Gracie,,"5' 8""",150 lbs.,--,Southpaw,5,5,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Rickson,Gracie,,"5' 10""",185 lbs.,--,Switch,11,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Rodrigo,Gracie,,"6' 0""",183 lbs.,--,Orthodox,6,2,1,,1.34,51%,0.86,46%,N/A,1.49,50%,75%,0.4
Brad,Kohler,,"5' 9""",220 lbs.,--,Orthodox,12,15,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Paul,Bradley,The Gentleman,"5' 9""",170 lbs.,--,Orthodox,23,8,0,,2.26,32%,4.13,56%,N/A,1.12,16%,100%,0.0
Ralph,Gracie,,"5' 9""",183 lbs.,--,Orthodox,6,1,0,,0.86,37%,1.72,31%,N/A,0.00,0%,25%,4.0
