First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,9,0,0,,4.73,54%,2.16,61%,N/A,0.68,33%,78%,2.0
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,4,0,,4.55,57%,3.70,54%,N/A,3.43,39%,63%,0.0
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,,4.43,46%,2.22,59%,N/A,4.89,50%,83%,0.0
Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,,1.84,44%,8.97,43%,N/A,0.00,0%,50%,0.0
Marko,Damiani,,"6' 0""",170 lbs.,--,,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Uriah,Hall,Prime Time,"6' 0""",185 lbs.,"79.0""",Orthodox,18,11,0,,3.23,48%,3.85,54%,N/A,0.54,38%,64%,0.1
Rami,Hamed,,--,170 lbs.,--,,12,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Bahatebole,Batebolati,Lion King,"5' 8""",170 lbs.,"71.0""",Southpaw,10,1,1,,4.02,45%,4.83,61%,N/A,1.34,66%,100%,0.0
Fabiano,Iha,,"5' 8""",155 lbs.,--,Orthodox,9,5,0,,1.73,47%,2.49,42%,N/A,2.88,40%,50%,2.9
Sergey,Ignatov,,"5' 9""",210 lbs.,--,Orthodox,0,1,0,,0.35,50%,3.25,42%,N/A,0.00,0%,0%,0.0
James,Gabert,,--,178 lbs.,--,,6,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jeremy,Jackson,Scorpion,"5' 10""",170 lbs.,--,Orthodox,9,5,0,,0.71,27%,2.03,25%,N/A,1.52,40%,58%,0.0
Quinton,Jackson,Rampage,"6' 1""",205 lbs.,"73.0""",Orthodox,37,12,0,,3.25,54%,2.51,55%,N/A,1.52,56%,73%,0.1
Tokitaka,Nakanishi,Toky,"5' 6""",135 lbs.,"66.0""",Orthodox,12,3,0,,0.87,30%,1.53,46%,N/A,4.00,66%,0%,0.0
Muhammad,Naimov,Hillman,"5' 9""",145 lbs.,"70.0""",Orthodox,11,3,0,,3.18,43%,4.28,42%,N/A,1.80,30%,57%,0.0
Michel,Quinones,El Capo,"5' 10""",155 lbs.,"73.0""",Orthodox,8,3,0,,2.91,29%,5.98,48%,N/A,0.00,0%,36%,0.0
Rodrigo,Nascimento,Ze Colmeia,"6' 2""",246 lbs.,"80.0""",Orthodox,11,2,0,,4.05,49%,4.62,43%,N/A,1.23,37%,76%,0.6
Cristian,Quinonez,Problema,"5' 8""",135 lbs.,"70.0""",Orthodox,18,5,0,,4.19,40%,4.55,55%,N/A,1.37,37%,84%,0.0
Jose,Quinonez,Teco,"5' 8""",135 lbs.,"69.0""",Southpaw,9,5,0,,3.60,45%,3.00,64%,N/A,2.70,47%,42%,0.6
Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4,0,,0.75,39%,1.10,46%,N/A,3.00,100%,0%,0.8
Sean,O'Haire,,"6' 5""",270 lbs.,--,Orthodox,4,2,0,,8.28,57%,22.76,21%,N/A,0.00,0%,0%,0.0
Sean,O'Malley,Suga,"5' 11""",135 lbs.,"72.0""",Switch,18,1,0,,7.63,61%,3.52,62%,N/A,0.35,42%,62%,0.3
Ben,Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Noad,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,0,,2.79,46%,1.47,63%,N/A,2.37,26%,16%,2.4
Volkan,Oezdemir,No Time,"6' 2""",205 lbs.,"75.0""",Orthodox,20,7,0,,4.79,48%,3.96,55%,N/A,0.56,33%,80%,0.1
Dong Hyun,Ma,Maestro,"5' 11""",155 lbs.,"70.0""",Orthodox,16,11,3,,2.84,41%,4.10,54%,N/A,1.27,53%,33%,0.0
Aaron,Lanfranco,,--,155 lbs.,--,,5,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Ilima,Macfarlane,,"5' 4""",125 lbs.,--,,6,0,0,,4.13,43%,2.93,65%,N/A,0.00,0%,50%,1.0
Valesca,Machado,Tina Black,"5' 4""",115 lbs.,"63.0""",Orthodox,8,3,0,,2.40,32%,2.87,64%,N/A,0.00,0%,76%,0.0
Caio,Machado,Bigfoot,"6' 4""",250 lbs.,"78.0""",Southpaw,8,3,1,,6.07,58%,2.73,63%,N/A,0.00,0%,82%,0.0
Victor,Madrigal,Periquito,"5' 7""",135 lbs.,"71.0""",Orthodox,15,5,0,,2.31,38%,9.56,50%,N/A,0.00,0%,0%,0.0
Jon,Madsen,,"6' 0""",240 lbs.,"72.0""",Orthodox,8,2,0,,2.46,41%,1.18,81%,N/A,1.32,71%,70%,0.0
,Maheshate,,"6' 0""",155 lbs.,"71.0""",Orthodox,10,3,0,,3.90,28%,5.76,53%,N/A,0.00,0%,45%,0.0
Mark,Madsen,The Olympian,"5' 8""",155 lbs.,"72.0""",Orthodox,12,2,0,,3.56,49%,3.97,52%,N/A,2.86,66%,62%,0.0
Raquel,Pa'aluhi,Rocky,"5' 7""",135 lbs.,--,,6,5,0,,1.71,56%,3.42,46%,N/A,0.00,0%,18%,0.0
Chris,Padilla,Taco,"5' 9""",155 lbs.,"74.0""",Orthodox,14,6,0,,2.64,46%,4.18,52%,N/A,9.89,100%,0%,3.3
Fernando,Padilla,El Valiente,"6' 1""",145 lbs.,"76.0""",Orthodox,16,5,0,,6.48,42%,5.25,53%,N/A,0.00,0%,100%,0.8
Damacio,Page,The Angel of Death,"5' 6""",135 lbs.,"66.0""",Orthodox,19,10,0,,2.05,38%,2.47,51%,N/A,2.63,64%,23%,0.9
Ricky,Palacios,El Gallero,"5' 6""",145 lbs.,--,Orthodox,10,1,0,,7.73,53%,3.27,59%,N/A,0.00,0%,100%,0.0
Willie,Parks,Slick,"5' 10""",185 lbs.,--,,5,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Bart,Palaszewski,Bartimus,"5' 9""",145 lbs.,"70.0""",Orthodox,36,17,0,,2.67,32%,3.97,57%,N/A,0.65,31%,53%,0.5
Jose,Palacios,,"5' 9""",145 lbs.,--,Orthodox,3,2,0,,2.67,70%,1.00,79%,N/A,0.00,0%,50%,1.7
Mick,Parkin,,"6' 4""",265 lbs.,"79.0""",Orthodox,9,0,0,,4.54,51%,3.94,59%,N/A,1.60,41%,50%,0.3
Windri,Patilima,,"5' 6""",155 lbs.,"71.0""",Southpaw,8,1,0,,0.31,50%,7.64,31%,N/A,0.00,0%,0%,0.0
Russell,Patrick,,"5' 9""",145 lbs.,--,,6,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jorge,Patino,Macaco,"5' 8""",170 lbs.,--,Orthodox,38,19,2,,1.33,30%,3.14,53%,N/A,0.54,25%,50%,0.0
Pawel,Pawlak,,"6' 0""",170 lbs.,"73.0""",Orthodox,12,3,0,,1.67,33%,2.22,53%,N/A,1.00,37%,70%,0.0
Tyson,Pedro,,"6' 3""",205 lbs.,"79.0""",Orthodox,10,5,0,,2.90,59%,2.39,56%,N/A,0.76,30%,50%,0.8
Matt,Pedro,,--,--,--,,3,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Erik,Perez,Goyito,"5' 8""",135 lbs.,"68.0""",Orthodox,17,6,0,,3.16,40%,2.09,66%,N/A,3.16,55%,69%,0.2
Philip,Perez,,"5' 5""",155 lbs.,--,Southpaw,7,5,1,,1.36,100%,0.68,66%,N/A,10.23,100%,0%,10.2
Forrest,Petz,The Meat Cleaver,"5' 9""",170 lbs.,"71.0""",Orthodox,26,10,0,,2.27,29%,2.20,57%,N/A,1.30,100%,66%,0.0
Cole,Province,,"5' 9""",145 lbs.,"68.0""",Orthodox,6,2,0,,1.47,44%,2.72,43%,N/A,2.40,50%,83%,1.0
Anthony,Pettis,Showtime,"5' 10""",155 lbs.,"72.0""",Orthodox,24,10,0,,3.05,47%,3.44,54%,N/A,0.61,50%,60%,1.1
Joe,Proctor,,"5' 10""",155 lbs.,"72.0""",Orthodox,11,5,0,,3.39,36%,3.93,59%,N/A,0.00,0%,70%,1.8
,Mizuki,,"5' 3""",115 lbs.,"65.0""",Orthodox,15,6,0,,4.56,50%,5.62,48%,N/A,0.33,14%,85%,0.0
Sergio,Pettis,,"5' 6""",125 lbs.,"69.0""",Orthodox,18,5,0,,3.88,37%,2.91,65%,N/A,0.85,40%,67%,0.4
Carlton,Minus,Clutch,"5' 10""",170 lbs.,"75.0""",Orthodox,10,3,0,,3.50,40%,4.97,50%,N/A,0.00,0%,58%,0.0
Lara,Procopio,,"5' 4""",125 lbs.,"67.0""",Orthodox,7,2,0,,5.64,58%,6.50,47%,N/A,3.15,47%,50%,0.3
Erick,Montano,Perry,"6' 0""",170 lbs.,"73.0""",Orthodox,7,5,0,,2.79,44%,2.06,64%,N/A,2.29,36%,66%,0.0
Taylor,Moore,,"5' 10""",135 lbs.,"70.0""",Southpaw,10,5,0,,0.20,75%,2.07,42%,N/A,0.00,0%,25%,0.0
Fiona,Muxlow,,"5' 4""",145 lbs.,--,,6,3,0,,1.44,27%,5.45,34%,N/A,0.00,0%,0%,0.0
Ho Bae,Myeon,,"5' 11""",168 lbs.,--,Orthodox,13,5,1,,3.16,16%,3.16,83%,N/A,0.00,0%,0%,0.0
Magomed,Mustafaev,The Sniper,"5' 8""",155 lbs.,"71.0""",Orthodox,14,4,0,,2.59,58%,2.68,41%,N/A,3.31,50%,23%,0.4
Elvis,Mutapcic,The King,"6' 0""",185 lbs.,"72.0""",Orthodox,15,6,1,,3.41,40%,4.27,38%,N/A,0.00,0%,81%,0.0
Belal,Muhammad,Remember the Name,"5' 11""",170 lbs.,"72.0""",Orthodox,23,3,0,,4.55,43%,3.64,57%,N/A,1.98,35%,93%,0.2
Azamat,Murzakanov,The Professional,"5' 10""",205 lbs.,"71.0""",Southpaw,13,0,0,,4.57,57%,3.12,57%,N/A,0.75,16%,83%,0.0
Max,Mustaki,,"6' 0""",155 lbs.,--,Orthodox,6,3,0,,8.20,50%,13.00,45%,N/A,0.00,0%,0%,0.0
Josias,Musasa,The K.O. Wizard,--,145 lbs.,--,,6,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Andre,Mussi,,"6' 3""",242 lbs.,--,Orthodox,11,5,0,,0.00,0%,10.59,35%,N/A,0.00,0%,0%,0.0
Nicholas,Musoke,Nico,"6' 0""",170 lbs.,"75.0""",Orthodox,13,5,0,,3.56,35%,3.80,57%,N/A,1.16,19%,82%,0.2
Khalid,Murtazaliev,,"6' 0""",185 lbs.,"76.0""",Orthodox,14,2,0,,4.80,69%,0.40,78%,N/A,7.50,100%,33%,0.0
Jesse,Murray,Hollywood,"6' 3""",205 lbs.,"78.0""",Orthodox,8,4,0,,2.38,28%,7.72,43%,N/A,0.00,0%,0%,0.0
Lee,Murray,Lightning,"6' 3""",185 lbs.,--,Orthodox,8,2,1,,0.36,15%,3.28,32%,N/A,0.90,100%,42%,1.8
Lerone,Murphy,The Miracle,"5' 9""",145 lbs.,"73.0""",Orthodox,14,0,1,,5.01,54%,2.60,60%,N/A,1.59,52%,46%,0.6
Patrick,Murphy,,"6' 0""",170 lbs.,--,,5,3,0,,3.40,66%,0.80,42%,N/A,0.00,0%,50%,1.0
Jon,Murphy,Man of Faith,"6' 3""",260 lbs.,--,Orthodox,6,4,0,,3.93,66%,8.85,43%,N/A,0.00,0%,0%,0.0
Samandar,Murodov,,"6' 1""",170 lbs.,"75.0""",Orthodox,8,0,0,,3.41,80%,0.80,0%,N/A,3.01,100%,0%,3.0
Lauren,Murphy,Lucky,"5' 5""",125 lbs.,"67.0""",Orthodox,16,6,0,,4.05,39%,5.25,55%,N/A,1.03,25%,69%,0.1
Ian,Murphy,,"6' 1""",185 lbs.,--,Orthodox,1,1,0,,0.00,0%,1.93,30%,N/A,4.13,100%,0%,0.0
Tom,Murphy,,"6' 2""",227 lbs.,--,Southpaw,8,0,0,,2.50,71%,0.17,84%,N/A,7.51,85%,0%,2.5
Ailiya,Muratbek,,--,155 lbs.,--,,9,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Vince,Murdock,,"5' 6""",145 lbs.,"64.0""",Orthodox,12,4,0,,1.21,21%,7.17,40%,N/A,0.00,0%,0%,0.0
Kazunari,Murakami,,"6' 1""",220 lbs.,--,Orthodox,5,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Kanako,Murata,,"5' 1""",115 lbs.,"62.0""",Orthodox,12,3,0,,2.15,56%,2.40,53%,N/A,3.38,56%,100%,0.8
Makhmud,Muradov,,"6' 2""",185 lbs.,"75.0""",Orthodox,26,8,0,,4.21,43%,2.57,61%,N/A,3.03,66%,77%,0.2
Ryuichi,Murata,,"5' 8""",183 lbs.,--,Orthodox,8,3,1,,0.84,36%,1.89,50%,N/A,4.74,50%,100%,3.2
Olivier,Murad,Warrior of God,"5' 10""",145 lbs.,"72.0""",Southpaw,6,0,0,,2.60,36%,2.20,61%,N/A,1.00,100%,55%,0.0
Andy,Murad,The Tooth Fairy,"5' 9""",185 lbs.,--,,15,2,0,,2.60,76%,2.87,32%,N/A,1.00,20%,42%,0.0
Johnny,Munoz,Kid Kvenbo,"5' 9""",135 lbs.,"71.0""",Orthodox,12,4,0,,2.44,36%,2.66,55%,N/A,2.40,25%,45%,1.8
Andre,Muniz,Sergipano,"6' 1""",185 lbs.,"78.0""",Southpaw,24,6,0,,1.97,50%,1.99,54%,N/A,4.23,50%,35%,1.2
Alexander,Munoz,,"5' 9""",155 lbs.,"72.0""",Switch,7,2,0,,3.70,42%,4.73,55%,N/A,3.00,40%,100%,0.0
Mark,Munoz,The Filipino Wrecking Machine,"6' 0""",185 lbs.,"71.0""",Orthodox,14,6,0,,3.12,51%,2.26,57%,N/A,3.17,29%,57%,0.6
Melissa,Mullins,No Mess,"5' 7""",135 lbs.,"68.0""",Orthodox,6,1,0,,2.73,52%,3.64,47%,N/A,0.65,20%,75%,0.0
Pedro,Munhoz,The Young Punisher,"5' 6""",135 lbs.,"65.0""",Orthodox,20,9,0,,5.32,43%,6.23,56%,N/A,0.51,18%,82%,0.5
Jim,Mullen,,"6' 1""",215 lbs.,--,Southpaw,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jamie,Mullarkey,,"6' 0""",155 lbs.,"74.0""",Orthodox,17,8,0,,4.39,46%,4.53,53%,N/A,2.31,34%,78%,0.1
James,Mulheron,,"5' 10""",243 lbs.,"73.0""",Orthodox,11,2,0,,2.40,31%,3.47,42%,N/A,0.00,0%,25%,0.0
Fazlo,Mulabitinovic,,--,135 lbs.,--,,4,2,0,,0.54,16%,0.00,100%,N/A,0.00,0%,0%,8.0
Quinn,Mulhern,,"6' 3""",155 lbs.,--,Orthodox,18,4,0,,1.48,28%,2.09,51%,N/A,1.36,20%,33%,0.0
Garrett,Mueller,,"5' 9""",135 lbs.,--,,3,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Askar,Mozharov,,"6' 3""",205 lbs.,"74.0""",Orthodox,19,13,0,,0.43,18%,4.07,13%,N/A,0.00,0%,33%,0.0
Lauren,Mueller,Princess Tiger,"5' 5""",125 lbs.,"67.0""",Orthodox,5,3,0,,4.08,41%,3.77,58%,N/A,0.70,50%,71%,0.0
Jamie,Moyle,,"5' 1""",115 lbs.,"65.0""",Orthodox,4,3,0,,4.51,51%,4.00,65%,N/A,1.00,21%,50%,0.0
Kin,Moy,Kong,"5' 5""",135 lbs.,--,,8,3,0,,2.30,33%,1.93,62%,N/A,1.67,42%,50%,1.7
Kris,Moutinho,,"5' 7""",135 lbs.,"68.0""",Southpaw,9,6,0,,4.86,32%,15.48,28%,N/A,0.00,0%,0%,0.0
Nikolas,Motta,Iron,"5' 9""",155 lbs.,"70.0""",Orthodox,14,5,0,,3.08,33%,4.78,51%,N/A,0.00,0%,82%,0.0
Flavio Luiz,Moura,,"5' 11""",183 lbs.,--,Open Stance,19,7,0,,0.67,16%,0.00,0%,N/A,0.00,0%,0%,0.0
Eduarda,Moura,Ronda,"5' 6""",115 lbs.,"66.0""",Orthodox,10,1,0,,3.09,57%,2.10,51%,N/A,5.15,30%,100%,0.6
Juan,Mott,,"6' 0""",190 lbs.,--,Switch,3,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Carlos,Mota,Tizil,"5' 4""",125 lbs.,"69.0""",Orthodox,8,2,0,,0.80,41%,1.13,54%,N/A,0.00,0%,50%,1.0
Gegard,Mousasi,,"6' 2""",185 lbs.,"76.0""",Orthodox,42,6,2,,3.75,50%,1.21,68%,N/A,1.59,60%,59%,1.1
Miki,Motono,,"5' 3""",115 lbs.,--,Southpaw,8,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jack,Morrison,,"5' 11""",205 lbs.,--,,0,3,0,,0.00,0%,19.31,40%,N/A,0.00,0%,0%,0.0
Harry,Moskowitz,Dirty,"6' 5""",275 lbs.,--,Orthodox,6,12,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Scott,Morris,,"5' 10""",210 lbs.,--,Orthodox,2,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Anthony,Morrison,Cheesesteak,"5' 7""",145 lbs.,--,Orthodox,20,12,0,,1.70,33%,0.49,80%,N/A,0.00,0%,50%,0.0
Sergey,Morozov,,"5' 6""",135 lbs.,"67.0""",Orthodox,19,5,0,,3.01,43%,2.97,61%,N/A,3.63,31%,68%,0.0
Brad,Morris,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,,0.50,62%,6.95,27%,N/A,0.00,0%,0%,0.0
Maryna,Moroz,Iron Lady,"5' 7""",125 lbs.,"67.0""",Orthodox,11,6,0,,4.42,33%,4.89,51%,N/A,0.70,24%,42%,0.6
Peggy,Morgan,The Daywalker,"6' 1""",135 lbs.,--,,4,4,0,,2.27,23%,8.20,33%,N/A,0.00,0%,50%,0.0
Alexander,Morgan,The Chess Master,"5' 10""",145 lbs.,"71.0""",Orthodox,11,5,0,,3.71,44%,2.78,47%,N/A,0.00,0%,0%,0.0
Alex,Morono,The Great White,"5' 11""",170 lbs.,"72.0""",Orthodox,24,10,0,,4.96,41%,4.34,57%,N/A,0.36,26%,48%,0.4
Mike,Moreno,El Palo Duro,"6' 0""",185 lbs.,--,,6,5,0,,1.27,51%,1.07,58%,N/A,0.00,0%,44%,0.0
Sammy,Morgan,The Squeeze,"5' 10""",170 lbs.,--,Orthodox,18,12,0,,1.05,22%,3.74,40%,N/A,1.43,20%,0%,0.5
Dan,Moret,The Hitman,"6' 0""",155 lbs.,"73.0""",Southpaw,13,6,0,,2.67,43%,3.56,43%,N/A,1.25,27%,45%,0.4
Brandon,Moreno,The Assassin Baby,"5' 7""",125 lbs.,"70.0""",Orthodox,21,8,2,,3.87,44%,3.63,59%,N/A,1.74,46%,63%,0.5
Jesse,Moreng,Arturo,"5' 7""",145 lbs.,--,Orthodox,9,1,0,,1.26,40%,2.08,48%,N/A,5.56,100%,100%,0.0
Vinicius,Moreira,Mamute,"6' 4""",205 lbs.,"76.0""",Orthodox,9,5,0,,3.15,59%,5.07,43%,N/A,1.97,18%,0%,1.3
Richardson,Moreira,Rick Monstro,"6' 2""",185 lbs.,--,Orthodox,7,4,0,,1.17,28%,1.83,67%,N/A,0.00,0%,100%,0.0
Gisele,Moreira,,"5' 6""",135 lbs.,--,Orthodox,8,3,0,,5.93,42%,6.33,48%,N/A,4.00,57%,0%,0.0
Joe,Moreira,,"5' 11""",195 lbs.,--,Southpaw,2,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Christian,Morecraft,,"6' 6""",260 lbs.,"81.0""",Orthodox,8,3,0,,2.82,34%,2.46,46%,N/A,3.26,66%,50%,2.2
Michael,Morales,,"6' 0""",170 lbs.,"79.0""",Orthodox,16,0,0,,5.28,46%,3.60,52%,N/A,1.24,41%,91%,0.0
Sarah,Moras,Cheesecake,"5' 7""",135 lbs.,"67.0""",Orthodox,6,8,0,,2.28,34%,3.58,50%,N/A,0.67,21%,33%,0.8
Joseph,Morales,,"5' 6""",125 lbs.,"69.0""",Switch,9,2,0,,1.58,37%,1.72,60%,N/A,0.53,50%,23%,2.6
Omar,Morales,Venezuelan Fighter,"5' 11""",155 lbs.,"73.0""",Orthodox,11,4,0,,3.42,40%,3.18,58%,N/A,0.46,100%,63%,0.0
Vince,Morales,Vandetta,"5' 9""",135 lbs.,"70.0""",Orthodox,11,7,0,,4.17,37%,4.24,53%,N/A,0.14,25%,64%,0.0
Albert,Morales,The Warrior,"5' 9""",135 lbs.,"72.0""",Orthodox,7,4,1,,3.81,35%,3.96,56%,N/A,0.91,35%,70%,0.2
Ricardo,Morais,The Mutant,"6' 8""",270 lbs.,--,Orthodox,10,4,1,,2.86,37%,2.39,53%,N/A,0.00,0%,0%,0.0
John,Moraga,,"5' 6""",125 lbs.,"66.0""",Orthodox,19,7,0,,2.57,43%,2.55,56%,N/A,0.62,23%,44%,1.1
Leonardo,Morales,Chimy,"5' 8""",135 lbs.,--,Southpaw,6,2,0,,2.05,47%,2.05,58%,N/A,0.00,0%,62%,0.0
Marlon,Moraes,Magic,"5' 6""",135 lbs.,"67.0""",Orthodox,23,10,1,,3.37,40%,4.53,54%,N/A,0.87,41%,46%,0.3
Sheymon,Moraes,,"5' 8""",145 lbs.,"72.0""",Orthodox,11,4,0,,3.00,42%,3.64,63%,N/A,0.00,0%,53%,0.0
Sergio,Moraes,The Panther,"6' 0""",170 lbs.,"72.0""",Orthodox,14,6,1,,2.42,42%,3.73,59%,N/A,1.20,38%,75%,0.4
Dustin,Moore,,"5' 4""",125 lbs.,--,,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Todd,Moore,,"5' 9""",170 lbs.,"71.0""",Southpaw,16,7,0,,1.83,26%,2.30,57%,N/A,0.78,14%,54%,0.0
James,Moontasri,Moon Walker,"5' 10""",170 lbs.,"71.0""",Switch,9,5,0,,2.39,48%,3.86,40%,N/A,0.00,0%,79%,0.2
Nate,Moore,,"6' 0""",170 lbs.,--,,8,4,0,,2.21,25%,2.87,42%,N/A,1.23,16%,25%,0.0
Homer,Moore,The Rock,"5' 10""",205 lbs.,--,Orthodox,26,9,2,,0.68,50%,0.68,0%,N/A,5.07,66%,0%,0.0
Steve,Montgomery,The Creepy Weasel,"6' 4""",185 lbs.,--,Southpaw,9,5,0,,4.85,39%,4.12,47%,N/A,0.00,0%,64%,0.0
Alberto,Montes,The Promise,"5' 7""",135 lbs.,--,,4,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Nicco,Montano,,"5' 5""",135 lbs.,"65.0""",Southpaw,5,3,0,,5.60,41%,4.43,64%,N/A,2.25,54%,69%,0.4
Augusto,Montano,Dodger,"6' 1""",170 lbs.,"73.0""",Orthodox,15,3,0,,3.46,46%,2.66,56%,N/A,0.00,0%,66%,0.0
Andrew,Montanez,,--,185 lbs.,--,,9,12,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Darrell,Montague,Mongoose,"5' 6""",125 lbs.,"67.0""",Southpaw,13,5,0,,1.92,25%,5.38,52%,N/A,0.72,25%,33%,1.4
Hidetaka,Monma,,"6' 0""",168 lbs.,--,Orthodox,18,11,4,,1.67,25%,9.76,34%,N/A,0.00,0%,0%,0.0
Rudyard,Moncayo,,"5' 10""",195 lbs.,--,Orthodox,0,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Suman,Mokhtarian,,"5' 8""",145 lbs.,"72.0""",Orthodox,8,5,0,,2.21,43%,6.85,48%,N/A,0.00,0%,0%,0.0
Jeff,Monson,The Snowman,"5' 9""",247 lbs.,"74.0""",Orthodox,60,26,1,,0.97,30%,2.87,59%,N/A,1.06,12%,66%,0.7
Jeff,Molina,El Jefe,"5' 6""",125 lbs.,"69.0""",Orthodox,11,2,0,,7.25,48%,5.04,55%,N/A,0.00,0%,66%,0.0
Dan,Molina,,"5' 10""",216 lbs.,--,,13,9,0,,0.00,0%,5.58,60%,N/A,0.00,0%,0%,20.9
Ashkan,Mokhtarian,The Assassin,"5' 6""",125 lbs.,"67.0""",Southpaw,13,3,0,,1.95,43%,3.66,43%,N/A,0.54,16%,33%,0.0
Muhammad,Mokaev,The Punisher,"5' 7""",125 lbs.,"70.0""",Orthodox,12,0,0,,1.53,48%,1.36,57%,N/A,5.75,41%,0%,1.0
Nate,Mohr,,"5' 9""",155 lbs.,"72.0""",Orthodox,9,7,0,,3.79,41%,2.50,74%,N/A,0.45,50%,71%,0.0
Renato,Moicano,,"5' 11""",155 lbs.,"72.0""",Orthodox,19,5,1,,4.38,48%,3.68,60%,N/A,1.89,45%,72%,0.6
Thiago,Moises,,"5' 9""",155 lbs.,"70.0""",Orthodox,18,8,0,,2.39,40%,4.14,54%,N/A,1.47,35%,55%,1.3
Bronson,Mohika,,--,135 lbs.,--,,1,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Roxanne,Modafferi,The Happy Warrior,"5' 7""",125 lbs.,"69.0""",Orthodox,25,21,0,,3.35,30%,5.70,51%,N/A,1.35,23%,30%,0.1
Bobby,Moffett,The Wolfman,"5' 10""",145 lbs.,"73.0""",Orthodox,13,5,0,,3.41,39%,3.15,61%,N/A,2.74,66%,66%,1.4
Tatsuya,Mizuno,,"6' 1""",205 lbs.,--,Southpaw,16,12,1,,2.25,37%,3.52,53%,N/A,1.19,25%,40%,3.6
Motoki,Miyazawa,,"5' 11""",168 lbs.,--,Southpaw,7,3,0,,1.23,28%,3.91,61%,N/A,0.00,0%,0%,0.0
Tomoya,Miyashita,,"5' 7""",139 lbs.,--,Southpaw,17,9,7,,1.67,65%,0.93,33%,N/A,4.00,80%,0%,2.0
Takeya,Mizugaki,,"5' 7""",135 lbs.,"69.0""",Orthodox,21,11,2,,3.37,37%,3.27,57%,N/A,1.46,57%,70%,0.1
Kazuyuki,Miyata,,"5' 8""",139 lbs.,--,Orthodox,15,9,0,,2.04,52%,1.82,63%,N/A,4.31,46%,68%,0.0
Jonathan,Mix,,"6' 0""",168 lbs.,--,,7,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Hiromitsu,Miura,,"5' 9""",170 lbs.,"71.0""",Orthodox,12,7,0,,2.12,34%,2.12,58%,N/A,2.23,50%,69%,0.6
Eiji,Mitsuoka,,"5' 7""",145 lbs.,--,Southpaw,18,9,2,,1.49,49%,2.26,45%,N/A,2.30,36%,20%,1.6
Roman,Mitichyan,,"5' 10""",170 lbs.,--,Orthodox,8,3,0,,0.26,16%,2.70,43%,N/A,1.93,100%,25%,1.9
Matt,Mitrione,,"6' 3""",265 lbs.,"82.0""",Switch,12,5,0,,3.55,50%,2.79,64%,N/A,0.00,0%,55%,0.7
Maurice,Mitchell,The AK Kid,"5' 9""",145 lbs.,--,Orthodox,11,2,0,,3.80,55%,3.54,60%,N/A,0.00,0%,100%,0.0
Terrence,Mitchell,,"5' 10""",135 lbs.,"74.0""",Orthodox,14,4,0,,2.21,34%,8.85,41%,N/A,3.69,50%,0%,0.0
Brad,Mitchell,,"5' 11""",145 lbs.,--,,4,2,0,,1.15,33%,4.20,52%,N/A,0.00,0%,100%,1.9
