SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.80,55%,3.15,48%,N/A,3.47,57%,50%,1.3
2.05,40%,2.90,55%,N/A,0.64,20%,80%,0.0
3.52,36%,2.85,62%,N/A,0.33,20%,81%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.90,52%,6.28,44%,N/A,0.00,0%,0%,0.0
3.79,31%,3.98,68%,N/A,2.13,42%,100%,0.7
7.09,55%,4.06,34%,N/A,0.91,66%,57%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.80,33%,4.49,56%,N/A,0.33,50%,0%,0.0
1.71,36%,3.11,63%,N/A,0.00,0%,33%,0.0
2.41,44%,3.02,55%,N/A,1.01,23%,45%,0.1
3.87,52%,3.13,59%,N/A,3.00,75%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.92,53%,2.08,58%,N/A,1.97,34%,67%,1.3
3.00,20%,5.67,46%,N/A,0.00,0%,66%,0.0
1.35,30%,3.55,38%,N/A,1.07,33%,66%,0.0
0.76,45%,1.97,27%,N/A,2.28,11%,0%,0.0
3.53,37%,3.59,58%,N/A,0.00,0%,50%,0.3
2.16,39%,2.76,57%,N/A,1.07,50%,45%,0.3
4.38,43%,4.32,51%,N/A,1.00,37%,42%,0.0
5.73,51%,4.96,48%,N/A,0.00,0%,100%,0.0
0.93,19%,4.93,50%,N/A,0.00,0%,0%,0.0
2.59,43%,2.86,50%,N/A,0.54,33%,50%,0.3
0.83,25%,5.00,33%,N/A,0.00,0%,0%,0.0
2.13,26%,1.87,60%,N/A,0.50,16%,100%,0.5
2.37,30%,4.17,48%,N/A,0.00,0%,46%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.42,33%,2.27,59%,N/A,1.69,27%,27%,1.3
3.33,25%,10.00,57%,N/A,0.00,0%,0%,0.0
1.17,12%,4.31,41%,N/A,0.80,50%,0%,0.0
2.34,47%,3.36,43%,N/A,2.37,80%,50%,1.8
2.48,51%,2.97,55%,N/A,2.36,33%,70%,0.5
2.28,47%,2.13,59%,N/A,0.74,37%,75%,0.0
0.87,41%,3.14,49%,N/A,1.00,33%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.22,42%,2.50,66%,N/A,1.65,39%,78%,0.2
3.31,62%,2.06,44%,N/A,2.43,24%,66%,0.7
1.27,43%,3.20,36%,N/A,2.00,50%,66%,1.0
6.83,45%,4.53,64%,N/A,0.00,0%,100%,0.0
3.64,49%,5.66,36%,N/A,4.33,55%,0%,0.9
3.03,46%,3.52,52%,N/A,0.44,18%,65%,0.7
3.35,39%,5.82,35%,N/A,4.41,62%,100%,0.9
2.00,26%,4.13,56%,N/A,0.00,0%,66%,0.0
3.05,54%,2.80,57%,N/A,2.60,24%,66%,0.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.08,42%,5.35,59%,N/A,0.92,50%,50%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
7.27,61%,6.80,28%,N/A,0.00,0%,100%,0.0
7.72,66%,2.77,66%,N/A,3.46,100%,100%,1.7
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.06,10%,2.45,32%,N/A,0.00,0%,0%,0.0
3.20,36%,1.92,65%,N/A,0.00,0%,40%,0.0
5.37,45%,5.20,56%,N/A,7.32,75%,0%,2.4
2.32,45%,4.01,56%,N/A,1.07,100%,33%,0.4
1.62,47%,2.01,58%,N/A,2.12,36%,100%,5.3
