First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt
Tom,Aaron,,--,155 lbs.,--,,5,3,0,
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,
Mansur,Abdul-Malik,,--,185 lbs.,--,,5,0,0,
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,
Cyborg,Abreu,,--,--,--,,0,0,0,
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,3,0,
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,
Mariya,Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10,5,0,
Kantharaj,Agasa,Kannadiga,--,135 lbs.,--,,12,3,0,
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,10,2,0,
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,
Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,2,0,
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,
Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15,4,0,
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,
Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,
,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,17,9,2,
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,1,0,
Brett,Albee,,--,225 lbs.,--,,3,2,0,
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,
Juan,Alcain,,--,--,--,,1,2,0,
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15,7,0,
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,32,8,0,
JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,13,7,0,
Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,2,0,
Talita,Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,5,0,1,
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,4,0,
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,
Levi,Alford,,--,--,--,,1,7,0,
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,8,0,
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0,
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,15,2,0,
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,19,3,0,
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,24,5,0,
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0,
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,
Asu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,20,2,0,
Bekzat,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,11,2,0,
John Dave,Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0,
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,21,3,0,
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,15,3,0,
Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,5,1,0,
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,4,0,
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,
Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0,
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,20,3,0,
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,
Anthony,Alves,,--,--,--,,1,4,0,
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,
Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,8,0,
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,
Chris,Amarante,,--,185 lbs.,--,,2,0,0,
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,9,0,0,
Hamid,Amiri,The Storm,--,145 lbs.,--,,9,0,0,
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,
Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,8,1,0,
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,16,8,0,
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,
Liam,Anderson,,--,185 lbs.,--,,6,2,0,
Tatsuya,Ando,Kirinji,"5' 4""",145 lbs.,"68.0""",Southpaw,14,4,1,
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,26,12,0,
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,
Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0,
Fellipe,Andrew,,--,--,--,,0,0,0,
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,13,7,0,
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,19,1,1,
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,10,0,
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,
