Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Renato Moicano,Benoit Saint Denis,,,,,,,,,Lightweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Nassourdine Imavov,Brendan Allen,,,,,,,,,Middleweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,William Gomis,Joanderson Brito,,,,,,,,,Featherweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Kevin Jousset,Bryan Battle,,,,,,,,,Welterweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Morgan Charriere,Gabriel Miranda,,,,,,,,,Featherweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Fares Ziam,Matt Frevola,,,,,,,,,Lightweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Ion Cutelaba,Ivan Erslan,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Oumar Sy,Da Woon Jung,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Ludovit Klein,Roosevelt Roberts,,,,,,,,,Lightweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Daria Zhelezniakova,Ailin Perez,,,,,,,,,Women's Bantamweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Daniel Barez,Victor Altamirano,,,,,,,,,Flyweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Bolaji Oki,Chris Duncan,,,,,,,,,Lightweight,,,
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",win,,Luana Santos,Mariya Agapova,0,0,2,3,1 of 1,0 of 0,3,0,Women's Flyweight,SUB,1,3:27
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,,Magomed Gadzhiyasulov,Brendson Ribeiro,0,0,26,17,5 of 5,3 of 6,0,1,Light Heavyweight,M-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 15, 2024","Las Vegas, Nevada, USA",win,,Asu Almabayev,Jose Johnson,0,0,20,5,6 of 11,1 of 1,4,1,Flyweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",win,,ChangHo Lee,Xiao Long,0,0,84,68,2 of 5,2 of 9,0,0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,"June 15, 2024","Las Vegas, Nevada, USA",win,,Josefine Knutsson,Julia Polastri,0,0,124,64,0 of 0,3 of 3,0,1,Women's Strawweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA",win,,Rei Tsuruya,Carlos Hernandez,0,0,17,16,3 of 8,1 of 2,0,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Jacqueline Cavalcanti,Josiane Nunes,0,0,91,52,0 of 0,0 of 0,0,0,Women's Bantamweight,S-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Andre Petroski,Dylan Budka,0,0,23,17,3 of 5,0 of 0,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Michael Morales,Neil Magny,1,0,34,5,0 of 2,0 of 0,0,0,Welterweight,KO/TKO,1,4:39
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",win,,Puja Tomar,Rayanne dos Santos,0,0,95,84,0 of 3,0 of 0,0,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Jaqueline Amorim,Vanessa Demopoulos,0,0,2,2,1 of 1,0 of 0,1,0,Women's Strawweight,SUB,1,3:28
UFC 305: Du Plessis vs. Adesanya,"August 17, 2024","Perth, Western Australia, Australia",win,,Jairzinho Rozenstruik,Tai Tuivasa,0,0,91,37,0 of 0,0 of 0,0,0,Heavyweight,S-DEC,3,5:00
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Stefan Struve,Lavar Johnson,0,0,0,4,0 of 0,0 of 0,1,0,Heavyweight,SUB,1,1:05
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Nathan Fletcher,Zygimantas Ramaska,0,0,14,6,0 of 0,4 of 6,1,1,Featherweight,SUB,2,1:14
UFC 88: Breakthrough,"September 06, 2008","Atlanta, Georgia, USA",win,,Ryo Chonan,Roan Carneiro,0,0,23,18,0 of 0,2 of 6,0,1,Welterweight,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Wang Cong,Victoria Leonardo,1,0,10,1,0 of 0,0 of 0,0,0,Women's Flyweight,KO/TKO,1,1:02
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Gabriel Santos,Yizha,1,0,76,41,0 of 4,2 of 2,0,0,Featherweight,U-DEC,3,5:00
UFC 88: Breakthrough,"September 06, 2008","Atlanta, Georgia, USA",win,,Tim Boetsch,Michael Patt,1,0,15,9,0 of 0,0 of 1,0,0,Light Heavyweight,KO/TKO,1,2:03
UFC 88: Breakthrough,"September 06, 2008","Atlanta, Georgia, USA",win,,Jason MacDonald,Jason Lambert,0,0,10,1,2 of 2,0 of 0,1,2,Middleweight,SUB,2,1:20
UFC 88: Breakthrough,"September 06, 2008","Atlanta, Georgia, USA",win,,Kurt Pellegrino,Thiago Tavares,2,0,61,18,1 of 2,1 of 11,1,0,Lightweight,U-DEC,3,5:00
UFC 88: Breakthrough,"September 06, 2008","Atlanta, Georgia, USA",win,,Dong Hyun Kim,Matt Brown,0,0,12,48,3 of 14,1 of 2,1,2,Welterweight,S-DEC,3,5:00
UFC 88: Breakthrough,"September 06, 2008","Atlanta, Georgia, USA",win,,Rashad Evans,Chuck Liddell,1,0,13,10,0 of 0,0 of 0,0,0,Light Heavyweight,KO/TKO,2,1:51
UFC 88: Breakthrough,"September 06, 2008","Atlanta, Georgia, USA",win,,Rich Franklin,Matt Hamill,1,0,71,13,0 of 0,1 of 6,0,0,Light Heavyweight,KO/TKO,3,0:39
UFC 88: Breakthrough,"September 06, 2008","Atlanta, Georgia, USA",win,,Nate Marquardt,Martin Kampmann,1,0,22,1,0 of 0,0 of 0,0,0,Middleweight,KO/TKO,1,1:22
UFC 88: Breakthrough,"September 06, 2008","Atlanta, Georgia, USA",win,,Dan Henderson,Rousimar Palhares,1,0,42,27,0 of 0,2 of 16,0,1,Middleweight,U-DEC,3,5:00
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Glover Teixeira,Kyle Kingsbury,0,0,15,5,0 of 1,0 of 0,1,0,Light Heavyweight,SUB,1,1:53
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Mike Brown,Daniel Pineda,0,0,38,28,2 of 5,1 of 3,0,0,Featherweight,U-DEC,3,5:00
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Paul Sass,Jacob Volkmann,0,0,1,2,0 of 0,0 of 0,2,0,Lightweight,SUB,1,1:54
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,CB Dollaway,Jason Miller,0,0,29,14,0 of 0,4 of 7,1,2,Middleweight,U-DEC,3,5:00
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Jamie Varner,Edson Barboza,1,0,20,11,0 of 0,2 of 2,0,0,Lightweight,KO/TKO,1,3:23
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Darren Elkins,Diego Brandao,0,0,36,23,0 of 0,1 of 6,1,0,Featherweight,U-DEC,3,5:00
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Dan Hardy,Duane Ludwig,1,0,18,17,0 of 2,0 of 0,0,0,Welterweight,KO/TKO,1,3:51
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Cristiano Marcello,Reza Madadi,0,0,72,77,0 of 1,3 of 4,0,0,Lightweight,S-DEC,3,5:00
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Diego Brandao,Joey Gambino,1,0,33,39,3 of 4,0 of 4,0,1,Featherweight,U-DEC,3,5:00
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Sergio Moraes,Renee Forte,0,0,16,26,4 of 11,0 of 0,1,0,Welterweight,SUB,3,3:10
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Chris Camozzi,Luiz Cane,0,0,97,55,1 of 3,0 of 1,0,1,Middleweight,U-DEC,3,5:00
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Demian Maia,Rick Story,0,0,5,3,3 of 5,0 of 0,1,0,Welterweight,SUB,1,2:30
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Gleison Tibau,Francisco Trinaldo,0,1,36,45,5 of 6,0 of 0,2,2,Lightweight,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",win,,Joshua Van,Edgar Chairez,0,0,118,79,0 of 2,3 of 3,0,1,Flyweight,U-DEC,3,5:00
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Rony Jason,Sam Sicilia,0,0,46,39,1 of 1,1 of 1,1,0,Featherweight,KO/TKO,2,4:16
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",win,,Ketlen Souza,Yazmin Jauregui,1,0,21,35,0 of 2,0 of 0,1,0,Women's Strawweight,SUB,1,3:02
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",win,,Norma Dumont,Irene Aldana,0,0,159,69,0 of 0,0 of 5,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",win,,Raul Rosas Jr.,Aoriqileng,0,0,41,22,3 of 7,0 of 0,0,0,Bantamweight,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",win,,Ignacio Bahamondes,Manuel Torres,2,0,31,20,0 of 0,0 of 0,0,0,Lightweight,KO/TKO,1,4:02
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Stipe Miocic,Shane del Rosario,0,0,32,32,2 of 2,0 of 0,0,0,Heavyweight,KO/TKO,2,3:14
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Jon Fitch,Erick Silva,0,0,82,19,6 of 9,2 of 3,2,2,Welterweight,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",win,,Ronaldo Rodriguez,Ode Osbourne,0,1,35,37,1 of 2,1 of 3,0,2,Flyweight,U-DEC,3,5:00
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Roy Nelson,Dave Herman,1,0,2,3,0 of 0,0 of 0,0,0,Heavyweight,KO/TKO,1,0:51
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Phil Davis,Wagner Prado,0,0,29,2,5 of 6,0 of 0,2,0,Light Heavyweight,SUB,2,4:29
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Cain Velasquez,Antonio Silva,0,0,28,1,1 of 1,0 of 0,0,0,Heavyweight,KO/TKO,1,3:36
UFC 146: Dos Santos vs Mir,"May 26, 2012","Las Vegas, Nevada, USA",win,,Junior Dos Santos,Frank Mir,1,0,59,17,0 of 0,0 of 4,0,0,Heavyweight,KO/TKO,2,3:04
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Glover Teixeira,Fabio Maldonado,1,0,85,10,3 of 3,0 of 0,1,0,Light Heavyweight,KO/TKO,2,5:00
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",win,,Diego Lopes,Brian Ortega,0,0,106,63,0 of 2,1 of 1,0,0,Featherweight,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",win,,Merab Dvalishvili,Sean O'Malley,0,0,82,47,0 of 0,6 of 15,0,0,Bantamweight,U-DEC,5,5:00
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Antonio Rodrigo Nogueira,Dave Herman,1,0,20,13,1 of 3,2 of 2,3,0,Heavyweight,SUB,2,4:31
UFC 153: Silva vs Bonnar,"October 13, 2012","Rio de Janeiro, Brazil",win,,Anderson Silva,Stephan Bonnar,1,0,19,12,0 of 0,0 of 3,0,0,Light Heavyweight,KO/TKO,1,4:40
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",win,,Esteban Ribovics,Daniel Zellhuber,0,1,156,121,0 of 1,0 of 0,0,0,Lightweight,S-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",win,,Valentina Shevchenko,Alexa Grasso,0,0,45,18,1 of 4,8 of 12,0,2,Women's Flyweight,U-DEC,5,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Miranda Maverick,Andrea Lee,0,0,66,36,2 of 3,3 of 8,0,1,Women's Flyweight,U-DEC,3,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Marcos Rogerio de Lima,Junior Tafa,1,0,33,11,1 of 3,0 of 0,0,0,Heavyweight,KO/TKO,2,1:14
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Danny Barlow,Josh Quinlan,1,0,95,39,0 of 1,0 of 0,0,0,Welterweight,KO/TKO,3,1:18
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Oban Elliott,Val Woodburn,0,1,70,23,3 of 5,2 of 2,0,0,Welterweight,U-DEC,3,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Zhang Mingyang,Brendson Ribeiro,1,0,17,14,0 of 0,0 of 0,0,0,Light Heavyweight,KO/TKO,1,1:41
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Merab Dvalishvili,Henry Cejudo,0,0,74,29,5 of 11,1 of 7,1,0,Bantamweight,U-DEC,3,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Ilia Topuria,Alexander Volkanovski,1,0,35,47,0 of 0,0 of 0,0,0,Featherweight,KO/TKO,2,3:32
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Rinya Nakamura,Carlos Vera,0,0,38,12,3 of 3,0 of 0,0,0,Bantamweight,U-DEC,3,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Amanda Lemos,Mackenzie Dern,1,0,41,21,2 of 2,1 of 3,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Pedro Munhoz,Justin Scoggins,0,0,28,44,0 of 4,1 of 1,1,0,Bantamweight,SUB,2,1:55
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Luis Henrique,Christian Colombo,0,0,31,3,6 of 6,0 of 0,2,0,Heavyweight,SUB,3,2:12
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Anthony Hernandez,Roman Kopylov,0,0,34,35,3 of 14,0 of 0,2,0,Middleweight,SUB,2,3:23
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Robert Whittaker,Paulo Costa,0,0,95,67,0 of 1,0 of 0,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",nc,nc,Francimar Barroso,Darren Stewart,0,0,0,7,0 of 0,1 of 2,0,0,Light Heavyweight,Overturned,1,1:34
UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA",win,,Ian Machado Garry,Geoff Neal,0,0,67,46,0 of 0,0 of 0,0,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Sergio Moraes,Zak Ottow,0,0,35,44,1 of 3,0 of 1,0,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Johnny Eduardo,Manvel Gamburyan,1,0,26,11,0 of 0,0 of 3,0,0,Bantamweight,KO/TKO,2,0:46
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Gadzhimurad Antigulov,Marcos Rogerio de Lima,0,0,0,2,0 of 0,1 of 1,1,0,Light Heavyweight,SUB,1,1:07
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Kamaru Usman,Warlley Alves,0,0,71,25,0 of 0,1 of 2,1,1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Claudia Gadelha,Cortney Casey,0,0,34,22,6 of 6,0 of 1,1,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Krzysztof Jotko,Thales Leites,0,0,42,4,1 of 8,1 of 2,0,1,Middleweight,U-DEC,3,5:00
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Cezar Ferreira,Jack Hermansson,0,0,10,14,1 of 1,0 of 0,1,0,Middleweight,SUB,2,2:11
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Thomas Almeida,Albert Morales,1,0,41,18,0 of 0,1 of 2,0,0,Bantamweight,KO/TKO,2,1:37
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Andre Lima,Felipe dos Santos,0,0,18,38,0 of 8,2 of 2,2,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Isaac Dulgarian,Brendon Marotte,0,0,41,3,2 of 2,0 of 0,2,0,Featherweight,SUB,2,4:19
UFC Fight Night: Bader vs. Nogueira,"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",win,,Ryan Bader,Rogerio Nogueira,0,0,86,3,5 of 5,0 of 0,1,0,Light Heavyweight,KO/TKO,3,3:51
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Yanal Ashmouz,Trevor Peek,0,0,42,55,0 of 1,9 of 18,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Chris Padilla,Rongzhu,0,0,68,49,0 of 0,0 of 1,0,0,Lightweight,KO/TKO,2,4:14
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Sean Brady,Gilbert Burns,0,0,130,47,1 of 6,7 of 17,0,0,Welterweight,U-DEC,5,5:00
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Francis Marshall,Dennis Buzukja,1,0,57,66,0 of 1,1 of 6,0,0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Cody Durden,Matt Schnell,0,0,34,40,0 of 1,0 of 0,1,0,Bantamweight,SUB,2,0:29
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Steve Garcia,Kyle Nelson,0,0,22,1,0 of 0,0 of 0,0,0,Featherweight,KO/TKO,1,3:59
UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA",win,,Natalia Silva,Jessica Andrade,0,0,117,50,0 of 1,0 of 1,0,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Viacheslav Borshchev,James Llontop,0,0,96,93,0 of 1,0 of 0,0,0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Mairon Santos,Kaan Ofli,1,0,31,12,0 of 0,0 of 0,0,0,Featherweight,KO/TKO,2,1:30
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Zachary Reese,Jose Daniel Medina,0,0,75,32,5 of 9,1 of 2,1,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Ryan Loder,Robert Valentin,0,0,42,1,0 of 1,1 of 3,1,2,Middleweight,KO/TKO,2,1:49
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Gerald Meerschaert,Edmen Shahbazyan,0,0,21,48,0 of 0,1 of 6,1,0,Middleweight,SUB,2,4:12
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Caio Borralho,Jared Cannonier,1,0,153,83,0 of 0,0 of 1,1,0,Middleweight,U-DEC,5,5:00
UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA",win,,Tabatha Ricci,Angela Hill,0,0,101,112,0 of 2,3 of 4,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Jai Herbert,Rolando Bedoya,1,0,82,67,2 of 3,0 of 1,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Shamil Gaziev,Don'Tale Mayes,0,0,31,27,2 of 3,0 of 2,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Sedriques Dumas,Denis Tiuliulin,0,0,49,26,3 of 10,3 of 5,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Sam Hughes,Viktoriia Dudakova,0,0,97,61,3 of 10,0 of 0,0,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Guram Kutateladze,Jordan Vucenic,0,1,30,34,1 of 4,0 of 5,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Azamat Murzakanov,Alonzo Menifield,1,0,45,15,0 of 1,0 of 0,0,0,Light Heavyweight,KO/TKO,2,3:18
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Joel Alvarez,Elves Brener,1,0,95,45,0 of 1,0 of 5,1,0,Lightweight,KO/TKO,3,3:36
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Kaue Fernandes,Mohammad Yahya,1,0,37,4,0 of 0,0 of 0,0,0,Lightweight,KO/TKO,1,4:45
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Michael Chiesa,Tony Ferguson,0,0,4,10,0 of 0,1 of 1,1,0,Welterweight,SUB,1,3:44
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Mackenzie Dern,Loopy Godinez,0,0,72,67,2 of 5,2 of 3,0,1,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Deiveson Figueiredo,Marlon Vera,1,0,45,52,0 of 0,2 of 14,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Shara Magomedov,Michal Oleksiejczuk,0,0,97,77,0 of 0,3 of 7,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Umar Nurmagomedov,Cory Sandhagen,0,0,98,71,0 of 2,5 of 13,0,0,Bantamweight,U-DEC,5,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 10, 2024","Las Vegas, Nevada, USA",win,,Jhonata Diniz,Karl Williams,0,0,59,29,0 of 0,2 of 5,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 10, 2024","Las Vegas, Nevada, USA",win,,Karol Rosa,Pannie Kianzad,0,0,117,92,1 of 2,0 of 0,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 10, 2024","Las Vegas, Nevada, USA",win,,Danny Barlow,Nikolay Veretennikov,0,0,47,50,0 of 2,0 of 2,0,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 10, 2024","Las Vegas, Nevada, USA",win,,Toshiomi Kazama,Charalampos Grigoriou,0,1,2,26,1 of 9,0 of 0,1,0,Bantamweight,SUB,2,1:55
UFC Fight Night: Tybura vs. Spivac 2,"August 10, 2024","Las Vegas, Nevada, USA",win,,Yana Santos,Chelsea Chandler,1,0,94,56,0 of 0,0 of 0,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 10, 2024","Las Vegas, Nevada, USA",win,,Youssef Zalal,Jarno Errens,0,0,10,6,1 of 2,0 of 0,1,0,Featherweight,SUB,1,3:52
