Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC 286: Edwards vs. Usman 3,"March 18, 2023","London, England, United Kingdom",win,,Chris Duncan,Omar Morales,0,0,53,47,5 of 14,0 of 0,0,0,Lightweight,S-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023","London, England, United Kingdom",win,,Joanne Wood,Luana Carolina,0,0,131,100,2 of 4,0 of 0,0,0,Women's Flyweight,S-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023","London, England, United Kingdom",win,,Marvin Vettori,Roman Dolidze,0,0,106,71,0 of 0,0 of 1,0,0,Middleweight,U-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023","London, England, United Kingdom",win,,Jack Shore,Makwan Amirkhani,0,0,28,10,1 of 1,1 of 3,1,0,Featherweight,SUB,2,4:27
UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023","Las Vegas, Nevada, USA",nc,nc,King Green,Jared Gordon,0,0,23,17,0 of 1,0 of 1,0,0,Lightweight,CNC,1,4:35
UFC 286: Edwards vs. Usman 3,"March 18, 2023","London, England, United Kingdom",win,,Leon Edwards,Kamaru Usman,0,0,120,87,0 of 1,4 of 15,0,0,Welterweight,M-DEC,5,5:00
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Joselyne Edwards,Lucie Pudilova,0,0,56,39,0 of 1,2 of 7,0,0,Women's Bantamweight,S-DEC,3,5:00
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Gaston Bolanos,Aaron Phillips,0,0,63,17,3 of 5,0 of 0,0,1,Bantamweight,U-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023","London, England, United Kingdom",win,,Jennifer Maia,Casey O'Neill,0,0,145,137,0 of 4,0 of 1,0,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Daniel Zellhuber,Lando Vannata,1,0,78,51,0 of 3,0 of 1,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Brandon Royval,Matheus Nicolau,1,0,13,2,0 of 0,0 of 0,0,0,Flyweight,KO/TKO,1,2:09
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Denise Gomes,Bruna Brasil,1,0,54,15,0 of 1,3 of 3,0,0,Women's Strawweight,KO/TKO,2,2:42
UFC 286: Edwards vs. Usman 3,"March 18, 2023","London, England, United Kingdom",win,,Justin Gaethje,Rafael Fiziev,0,0,103,97,1 of 3,0 of 0,0,0,Lightweight,M-DEC,3,5:00
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Pedro Munhoz,Chris Gutierrez,1,0,60,77,0 of 1,0 of 0,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA",win,,Gillian Robertson,Piera Rodriguez,0,0,26,12,2 of 3,1 of 1,1,0,Women's Strawweight,SUB,2,4:21
