First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,10,2,0,,1.49,50%,1.11,59%,N/A,1.90,33%,40%,1.4
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,,2.87,33%,6.33,59%,N/A,0.00,0%,71%,0.0
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,,3.96,40%,4.81,52%,N/A,0.16,16%,78%,0.0
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,,4.93,50%,7.19,53%,N/A,0.94,25%,50%,0.2
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Kantharaj,Agasa,Kannadiga,--,135 lbs.,--,,12,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Mariya,Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10,5,0,,4.43,54%,3.62,52%,N/A,0.55,66%,45%,0.8
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,3,0,,3.93,48%,3.11,56%,N/A,0.05,14%,77%,0.1
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,,0.69,11%,4.56,42%,N/A,0.00,0%,0%,0.0
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,,3.65,40%,3.04,64%,N/A,0.00,0%,100%,0.5
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,,3.80,33%,4.49,56%,N/A,0.33,50%,0%,0.0
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,,2.80,55%,3.15,48%,N/A,3.47,57%,50%,1.3
