First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,,1.33,44%,2.98,46%,N/A,3.96,43%,35%,1.1
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,,3.16,69%,6.32,33%,N/A,0.00,0%,50%,0.0
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,,0.99,30%,3.85,46%,N/A,0.00,0%,0%,0.0
Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,8,1,0,,3.33,52%,1.85,62%,N/A,1.48,23%,0%,5.4
Chris,Amarante,,--,185 lbs.,--,,2,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,,0.83,29%,3.76,40%,N/A,3.13,57%,100%,0.8
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,,3.29,47%,0.82,78%,N/A,5.84,56%,100%,0.0
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,,2.27,24%,5.91,63%,N/A,0.00,0%,20%,0.0
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,,1.85,48%,3.30,58%,N/A,0.29,25%,44%,1.5
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,,5.53,35%,24.47,33%,N/A,0.00,0%,100%,0.0
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,,0.50,46%,2.02,30%,N/A,0.00,0%,53%,0.0
Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,8,0,,3.04,48%,3.95,50%,N/A,1.22,50%,62%,0.8
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,20,3,0,,3.65,46%,3.37,50%,N/A,0.00,0%,11%,1.3
Anthony,Alves,,--,--,--,,1,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,,2.73,40%,4.53,56%,N/A,1.00,33%,50%,0.0
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,,3.73,41%,3.42,62%,N/A,0.71,60%,63%,0.3
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,,3.28,44%,3.63,52%,N/A,0.06,14%,82%,0.1
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,,0.89,37%,3.25,47%,N/A,0.00,0%,0%,0.0
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,,1.56,20%,2.08,75%,N/A,0.00,0%,0%,0.0
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,,4.32,41%,4.39,55%,N/A,2.92,36%,92%,0.5
Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0,,5.83,31%,9.25,44%,N/A,0.00,0%,0%,0.0
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,4,0,,4.55,57%,3.70,54%,N/A,3.43,39%,63%,0.0
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,,2.36,44%,6.06,38%,N/A,1.61,26%,20%,0.4
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,,5.74,34%,1.91,67%,N/A,0.00,0%,0%,0.0
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,,2.43,42%,1.97,56%,N/A,3.50,29%,60%,1.0
Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,5,1,0,,4.25,61%,1.88,46%,N/A,0.00,0%,56%,0.0
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,,3.13,37%,6.07,42%,N/A,0.00,0%,0%,0.0
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,21,3,0,,2.46,64%,0.72,40%,N/A,6.85,59%,75%,2.6
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,15,3,0,,4.94,43%,4.92,46%,N/A,0.00,0%,50%,0.0
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,,1.67,36%,2.60,41%,N/A,0.00,0%,40%,5.0
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,,1.07,39%,3.33,43%,N/A,0.50,33%,37%,0.0
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,,4.84,43%,4.93,61%,N/A,0.17,14%,75%,0.0
John Dave,Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0,,1.92,41%,5.75,27%,N/A,0.00,0%,0%,0.0
Bekzat,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,11,2,0,,0.20,18%,4.53,30%,N/A,0.00,0%,0%,0.0
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,,1.28,49%,1.90,59%,N/A,0.62,50%,26%,0.0
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,,2.02,49%,1.20,61%,N/A,3.74,38%,31%,1.2
Asu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,20,2,0,,2.36,61%,1.00,58%,N/A,6.68,56%,0%,2.4
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0,,7.60,51%,5.87,53%,N/A,2.00,66%,100%,0.0
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,,0.80,38%,3.10,43%,N/A,0.00,0%,50%,0.0
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,19,3,0,,3.39,40%,2.91,61%,N/A,1.02,50%,75%,0.4
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,,3.56,42%,5.74,52%,N/A,1.40,71%,50%,0.8
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,24,5,0,,3.98,53%,3.83,47%,N/A,1.74,47%,58%,1.4
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,,6.32,50%,10.11,38%,N/A,0.00,0%,0%,0.0
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,15,2,0,,7.03,60%,7.27,36%,N/A,1.82,33%,0%,1.8
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0,,2.50,51%,0.46,59%,N/A,3.06,44%,0%,0.0
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,,1.41,45%,2.20,56%,N/A,1.76,38%,100%,0.0
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Levi,Alford,,--,--,--,,1,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
