Event,W/L,Fighter 1,Fighter 2,Kd,Str,Td,Sub,Weight class,Method,Round,Time
UFC 301: Pantoja vs. Erceg,,Michel Pereira,Ihor Potieria,0,6,0,1,Middleweight,SUB,1,0:54
UFC 301: Pantoja vs. Erceg,,Caio Borralho,Paul Craig,1,36,0,0,Middleweight,KO/TKO,2,2:10
UFC 301: Pantoja vs. Erceg,,Joanderson Brito,Jack Shore,0,30,1,0,Featherweight,KO/TKO,2,3:35
UFC 301: Pantoja vs. Erceg,,Iasmin Lucindo,Karolina Kowalkiewicz,0,83,2,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,,,,,,,,,,,
UFC Fight Night: Lewis vs. Nascimento,,Derrick Lewis,Rodrigo Nascimento,1,41,1,0,Heavyweight,KO/TKO,3,0:49
UFC Fight Night: Lewis vs. Nascimento,,Joaquin Buckley,Nursulton Ruziboev,1,86,4,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,,Carlos Ulberg,Alonzo Menifield,1,7,0,0,Light Heavyweight,KO/TKO,1,0:12
UFC Fight Night: Lewis vs. Nascimento,,Diego Ferreira,Mateusz Rebecki,0,123,3,0,Lightweight,KO/TKO,3,4:51
UFC Fight Night: Lewis vs. Nascimento,,Sean Woodson,Alex Caceres,0,101,0,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,,Waldo Cortes-Acosta,Robelis Despaigne,0,52,3,1,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,,Chase Hooper,Viacheslav Borshchev,1,62,1,2,Lightweight,SUB,2,3:00
UFC Fight Night: Lewis vs. Nascimento,,Esteban Ribovics,Terrance McKinney,1,5,0,0,Lightweight,KO/TKO,1,0:37
UFC 301: Pantoja vs. Erceg,,Myktybek Orolbai,Elves Brener,1,65,5,0,Lightweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,,Drakkar Klose,Joaquim Silva,0,70,0,0,Lightweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,,Mauricio Ruffy,Jamie Mullarkey,1,25,0,0,Lightweight,KO/TKO,1,4:42
UFC 301: Pantoja vs. Erceg,,Dione Barbosa,Ernesta Kareckaite,0,39,2,1,Women's Flyweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,,Ismael Bonfim,Vinc Pichel,0,111,1,0,Lightweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,,Alessandro Costa,Kevin Borjas,1,46,0,0,Flyweight,KO/TKO,2,1:35
UFC Fight Night: Lewis vs. Nascimento,,Tabatha Ricci,Tecia Pennington,0,54,1,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,,Trey Waters,Billy Ray Goff,0,96,0,1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,,Charles Johnson,Jake Hadley,1,70,0,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,,Veronica Hardy,JJ Aldrich,0,36,0,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,,,,,,,,,,,
UFC Fight Night: Blanchfield vs. Fiorot,,Manon Fiorot,Erin Blanchfield,0,172,1,0,Women's Flyweight,U-DEC,5,5:00
UFC Fight Night: Blanchfield vs. Fiorot,,Joaquin Buckley,Vicente Luque,0,55,0,0,Welterweight,KO/TKO,2,3:17
UFC Fight Night: Blanchfield vs. Fiorot,,Chris Weidman,Bruno Silva,1,75,1,0,Middleweight,U-DEC,3,2:18
UFC Fight Night: Blanchfield vs. Fiorot,,Nursulton Ruziboev,Sedriques Dumas,1,12,0,0,Middleweight,KO/TKO,1,3:18
UFC Fight Night: Blanchfield vs. Fiorot,,Kyle Nelson,Bill Algeo,0,32,0,0,Featherweight,KO/TKO,1,4:00
UFC Fight Night: Blanchfield vs. Fiorot,,Chidi Njokuani,Rhys McKee,0,64,0,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,,Nate Landwehr,Jamall Emmers,1,37,0,0,Featherweight,KO/TKO,1,4:43
UFC Fight Night: Blanchfield vs. Fiorot,,Virna Jandiroba,Loopy Godinez,0,30,2,3,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,,Julio Arce,Herbert Burns,2,29,0,0,Featherweight,KO/TKO,2,2:00
UFC Fight Night: Blanchfield vs. Fiorot,,Dennis Buzukja,Connor Matthews,1,83,0,0,Featherweight,KO/TKO,3,0:22
UFC Fight Night: Blanchfield vs. Fiorot,,Ibo Aslan,Anton Turkalj,1,74,0,0,Light Heavyweight,KO/TKO,3,1:32
UFC Fight Night: Blanchfield vs. Fiorot,,Jacob Malkoun,Andre Petroski,0,20,0,0,Middleweight,KO/TKO,2,0:39
UFC Fight Night: Blanchfield vs. Fiorot,,Caolan Loughran,Angel Pacheco,0,140,3,0,Bantamweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,,,,,,,,,,,
UFC 303: Pereira vs. Prochazka 2,,Alex Pereira,Jiri Prochazka,2,38,0,0,Light Heavyweight,KO/TKO,2,0:13
UFC 303: Pereira vs. Prochazka 2,,Diego Lopes,Dan Ige,0,49,1,1,Catch Weight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,,Roman Dolidze,Anthony Smith,0,100,1,0,Light Heavyweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,,Macy Chiasson,Mayra Bueno Silva,0,50,1,0,Women's Bantamweight,KO/TKO,2,1:58
UFC 303: Pereira vs. Prochazka 2,,Ian Machado Garry,Michael Page,0,19,2,2,Welterweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,,Joe Pyfer,Marc-Andre Barriault,1,8,0,0,Middleweight,KO/TKO,1,1:25
UFC 303: Pereira vs. Prochazka 2,,Andre Fili,Cub Swanson,0,67,2,0,Featherweight,S-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,,Jean Silva,Charles Jourdain,2,34,0,0,Featherweight,KO/TKO,2,1:22
UFC 303: Pereira vs. Prochazka 2,,Payton Talbott,Yanis Ghemmouri,1,13,0,0,Bantamweight,KO/TKO,1,0:19
UFC 303: Pereira vs. Prochazka 2,,Gillian Robertson,Michelle Waterson-Gomez,0,77,2,2,Women's Strawweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,,Martin Buday,Andrei Arlovski,0,54,0,0,Heavyweight,S-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,,Rei Tsuruya,Carlos Hernandez,0,17,3,0,Flyweight,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,,Vinicius Oliveira,Ricky Simon,0,96,1,0,Bantamweight,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,,,,,,,,,,,
UFC 300: Pereira vs. Hill,,Alex Pereira,Jamahal Hill,1,24,0,0,Light Heavyweight,KO/TKO,1,3:14
UFC 300: Pereira vs. Hill,,Zhang Weili,Yan Xiaonan,0,106,6,2,Women's Strawweight,U-DEC,5,5:00
UFC 300: Pereira vs. Hill,,Max Holloway,Justin Gaethje,1,181,0,0,Lightweight,KO/TKO,5,4:59
UFC 300: Pereira vs. Hill,,Arman Tsarukyan,Charles Oliveira,0,49,2,0,Lightweight,S-DEC,3,5:00
UFC 300: Pereira vs. Hill,,Bo Nickal,Cody Brundage,0,8,3,2,Middleweight,SUB,2,3:38
UFC 300: Pereira vs. Hill,,Jiri Prochazka,Aleksandar Rakic,0,69,1,0,Light Heavyweight,KO/TKO,2,3:17
UFC Fight Night: Namajunas vs. Cortez,,,,,,,,,,,
UFC Fight Night: Namajunas vs. Cortez,,Rose Namajunas,Tracy Cortez,1,96,5,0,Women's Flyweight,U-DEC,5,5:00
UFC Fight Night: Namajunas vs. Cortez,,Muslim Salikhov,Santiago Ponzinibbio,0,46,0,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,,Jean Silva,Drew Dober,0,53,0,0,Lightweight,KO/TKO,3,1:28
UFC Fight Night: Namajunas vs. Cortez,,Gabriel Bonfim,Ange Loosa,0,101,1,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,,Julian Erosa,Christian Rodriguez,0,35,1,1,Featherweight,SUB,1,4:49
UFC Fight Night: Namajunas vs. Cortez,,Abdul Razak Alhassan,Cody Brundage,0,23,0,0,Middleweight,CNC,1,0:37
UFC Fight Night: Namajunas vs. Cortez,,Charles Johnson,Joshua Van,1,88,0,0,Flyweight,KO/TKO,3,0:20
UFC Fight Night: Allen vs. Curtis 2,,,,,,,,,,,
UFC Fight Night: Allen vs. Curtis 2,,Brendan Allen,Chris Curtis,0,112,6,0,Middleweight,S-DEC,5,5:00
UFC Fight Night: Allen vs. Curtis 2,,Damon Jackson,Alexander Hernandez,0,42,3,0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,,Chepe Mariscal,Morgan Charriere,0,71,1,0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,,Ignacio Bahamondes,Christos Giagos,1,40,0,0,Lightweight,KO/TKO,1,3:34
UFC Fight Night: Allen vs. Curtis 2,,Charlie Campbell,Trevor Peek,0,54,4,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,,Alex Morono,Court McGee,0,38,0,1,Welterweight,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,,Aljamain Sterling,Calvin Kattar,0,39,8,0,Featherweight,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,,Kayla Harrison,Holly Holm,0,51,2,1,Women's Bantamweight,SUB,2,1:47
UFC 300: Pereira vs. Hill,,Diego Lopes,Sodiq Yusuff,2,26,0,0,Featherweight,KO/TKO,1,1:29
UFC 300: Pereira vs. Hill,,Renato Moicano,Jalin Turner,0,36,2,0,Lightweight,KO/TKO,2,4:11
UFC 300: Pereira vs. Hill,,Jessica Andrade,Marina Rodriguez,0,89,1,0,Women's Strawweight,S-DEC,3,5:00
UFC 300: Pereira vs. Hill,,Bobby Green,Jim Miller,1,186,1,0,Lightweight,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,,Deiveson Figueiredo,Cody Garbrandt,0,13,1,2,Bantamweight,SUB,2,4:02
UFC Fight Night: Namajunas vs. Cortez,,Jasmine Jasudavicius,Fatima Kline,0,40,4,1,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,,Montel Jackson,Da'Mon Blackshear,1,4,0,0,Bantamweight,KO/TKO,1,0:18
UFC Fight Night: Namajunas vs. Cortez,,Luana Santos,Mariya Agapova,0,2,1,3,Women's Flyweight,SUB,1,3:27
UFC Fight Night: Namajunas vs. Cortez,,Andre Petroski,Josh Fremd,0,12,3,1,Middleweight,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,,Evan Elder,Darrius Flowers,0,45,0,1,Welterweight,SUB,2,1:46
UFC Fight Night: Allen vs. Curtis 2,,Lukasz Brzeski,Valter Walker,0,58,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,,Norma Dumont,Germaine de Randamie,0,11,6,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,,Victor Hugo,Pedro Falcao,1,68,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,,Jean Matsumoto,Dan Argueta,0,19,2,1,Bantamweight,SUB,2,4:59
UFC Fight Night: Allen vs. Curtis 2,,Cesar Almeida,Dylan Budka,0,29,0,0,Middleweight,KO/TKO,2,2:13
UFC Fight Night: Allen vs. Curtis 2,,Nora Cornolle,Melissa Mullins,1,36,0,0,Women's Bantamweight,KO/TKO,2,3:06
UFC Fight Night: Cannonier vs. Imavov,,,,,,,,,,,
UFC Fight Night: Cannonier vs. Imavov,,Nassourdine Imavov,Jared Cannonier,0,82,2,0,Middleweight,KO/TKO,4,1:34
UFC Fight Night: Cannonier vs. Imavov,,Dominick Reyes,Dustin Jacoby,2,20,0,0,Light Heavyweight,KO/TKO,1,2:00
UFC Fight Night: Cannonier vs. Imavov,,Raul Rosas Jr.,Ricky Turcios,0,3,4,1,Bantamweight,SUB,2,2:22
UFC Fight Night: Cannonier vs. Imavov,,Brunno Ferreira,Dustin Stoltzfus,1,24,0,0,Middleweight,KO/TKO,1,4:51
UFC Fight Night: Cannonier vs. Imavov,,Zach Reese,Julian Marquez,1,6,0,0,Middleweight,KO/TKO,1,0:20
UFC Fight Night: Cannonier vs. Imavov,,Punahele Soriano,Miguel Baeza,0,144,5,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,,Ludovit Klein,Thiago Moises,2,56,1,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,,Carlos Prates,Charles Radtke,1,15,0,0,Welterweight,KO/TKO,1,4:47
UFC Fight Night: Cannonier vs. Imavov,,Brad Katona,Jesse Butler,0,68,3,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,,Montana De La Rosa,Andrea Lee,0,70,3,1,Women's Flyweight,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,,Daniel Marcos,John Castaneda,1,98,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,,Denise Gomes,Eduarda Moura,0,50,0,1,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,,Taylor Lapilus,Cody Stamann,0,100,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,,Puja Tomar,Rayanne dos Santos,0,95,0,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,,,,,,,,,,,
UFC Fight Night: Whittaker vs. Aliskerov,,Robert Whittaker,Ikram Aliskerov,1,14,0,0,Middleweight,KO/TKO,1,1:49
UFC Fight Night: Whittaker vs. Aliskerov,,Alexander Volkov,Sergei Pavlovich,0,83,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,,Kelvin Gastelum,Daniel Rodriguez,0,112,4,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,,Shara Magomedov,Antonio Trocoli,1,82,0,0,Middleweight,KO/TKO,3,2:27
UFC Fight Night: Whittaker vs. Aliskerov,,Volkan Oezdemir,Johnny Walker,2,37,0,0,Light Heavyweight,KO/TKO,1,2:28
UFC Fight Night: Whittaker vs. Aliskerov,,Nasrat Haqparast,Jared Gordon,0,146,0,0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,,Felipe Lima,Muhammad Naimov,0,37,1,1,Featherweight,SUB,3,1:15
UFC Fight Night: Whittaker vs. Aliskerov,,Rinat Fakhretdinov,Nicolas Dalby,0,68,5,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,,Muin Gafurov,Kyung Ho Kang,0,47,1,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,,Magomed Gadzhiyasulov,Brendson Ribeiro,0,26,5,0,Light Heavyweight,M-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,,ChangHo Lee,Xiao Long,0,84,2,0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,,,,,,,,,,,
UFC Fight Night: Perez vs. Taira,,Tatsuro Taira,Alex Perez,0,31,2,0,Flyweight,KO/TKO,2,2:59
UFC Fight Night: Perez vs. Taira,,Miles Johns,Douglas Silva de Andrade,0,50,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,,Lucas Almeida,Timmy Cuamba,1,70,0,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,,Brady Hiestand,Garrett Armfield,0,22,6,3,Bantamweight,SUB,3,1:52
UFC Fight Night: Perez vs. Taira,,Asu Almabayev,Jose Johnson,0,20,6,4,Flyweight,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,,Adam Fugitt,Josh Quinlan,0,80,0,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,,Nate Maness,Jimmy Flick,0,89,0,2,Flyweight,U-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,,Gabriella Fernandes,Carli Judice,0,119,2,0,Women's Flyweight,S-DEC,3,5:00
UFC Fight Night: Perez vs. Taira,,Westin Wilson,Jeka Saragih,0,0,1,3,Featherweight,SUB,1,1:49
UFC Fight Night: Perez vs. Taira,,Melquizael Costa,Shayilan Nuerdanbieke,0,16,2,2,Featherweight,SUB,3,1:50
UFC Fight Night: Perez vs. Taira,,Josefine Knutsson,Julia Polastri,0,124,0,0,Women's Strawweight,U-DEC,3,5:00
UFC 295: Prochazka vs. Pereira,,,,,,,,,,,
UFC 295: Prochazka vs. Pereira,,Alex Pereira,Jiri Prochazka,1,38,0,1,Light Heavyweight,KO/TKO,2,4:08
UFC 295: Prochazka vs. Pereira,,Tom Aspinall,Sergei Pavlovich,1,10,0,0,Heavyweight,KO/TKO,1,1:09
UFC 295: Prochazka vs. Pereira,,Jessica Andrade,Mackenzie Dern,4,53,0,0,Women's Strawweight,KO/TKO,2,3:15
UFC 295: Prochazka vs. Pereira,,Benoit Saint Denis,Matt Frevola,1,6,0,0,Lightweight,KO/TKO,1,1:31
UFC 295: Prochazka vs. Pereira,,Diego Lopes,Pat Sabatini,1,13,0,0,Featherweight,KO/TKO,1,1:30
UFC 295: Prochazka vs. Pereira,,Steve Erceg,Alessandro Costa,0,74,1,1,Flyweight,U-DEC,3,5:00
UFC 295: Prochazka vs. Pereira,,Loopy Godinez,Tabatha Ricci,0,98,0,0,Women's Strawweight,S-DEC,3,5:00
UFC 295: Prochazka vs. Pereira,,Mateusz Rebecki,Roosevelt Roberts,0,10,2,1,Lightweight,SUB,1,3:08
UFC 295: Prochazka vs. Pereira,,Nazim Sadykhov,Viacheslav Borshchev,1,91,4,0,Lightweight,M-DEC,3,5:00
UFC 295: Prochazka vs. Pereira,,Jared Gordon,Mark Madsen,1,36,0,0,Lightweight,KO/TKO,1,4:42
UFC 295: Prochazka vs. Pereira,,John Castaneda,Kyung Ho Kang,0,111,3,0,Catch Weight,U-DEC,3,5:00
UFC 295: Prochazka vs. Pereira,,Joshua Van,Kevin Borjas,0,156,2,0,Flyweight,U-DEC,3,5:00
UFC 295: Prochazka vs. Pereira,,Jamall Emmers,Dennis Buzukja,1,14,0,0,Featherweight,KO/TKO,1,0:49
UFC 3: The American Dream,,,,,,,,,,,
UFC 3: The American Dream,,Steve Jennum,Harold Howard,0,6,1,0,Open Weight,KO/TKO,1,1:27
UFC 3: The American Dream,,Ken Shamrock,Felix Lee Mitchell,0,4,1,1,Open Weight,SUB,1,4:34
UFC 3: The American Dream,,Royce Gracie,Kimo Leopoldo,0,2,0,1,Open Weight,SUB,1,4:40
UFC 3: The American Dream,,Harold Howard,Roland Payne,1,9,0,0,Open Weight,KO/TKO,1,0:46
UFC 3: The American Dream,,Ken Shamrock,Christophe Leninger,0,8,1,0,Open Weight,KO/TKO,1,4:49
UFC 3: The American Dream,,Keith Hackney,Emmanuel Yarborough,1,34,0,0,Open Weight,KO/TKO,1,1:59
UFC Fight Night: Smith vs. Clark,,,,,,,,,,,
UFC Fight Night: Smith vs. Clark,,Anthony Smith,Devin Clark,0,1,1,1,Light Heavyweight,SUB,1,2:34
UFC Fight Night: Smith vs. Clark,,Miguel Baeza,Takashi Sato,0,40,1,1,Welterweight,SUB,2,4:28
UFC Fight Night: Smith vs. Clark,,Parker Porter,Josh Parisian,0,126,2,1,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,,Bill Algeo,Spike Carlyle,0,70,1,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,,Norma Dumont,Ashlee Evans-Smith,1,94,2,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,,Jonathan Pearce,Kai Kamaka,0,51,5,1,Featherweight,KO/TKO,2,4:28
UFC Fight Night: Smith vs. Clark,,Anderson Dos Santos,Martin Day,0,11,1,1,Bantamweight,SUB,1,4:35
UFC Fight Night: Smith vs. Clark,,Gina Mazany,Rachael Ostovich,1,72,7,1,Women's Flyweight,KO/TKO,3,4:10
UFC Fight Night: Smith vs. Clark,,Sumudaerji,Malcolm Gordon,1,9,0,0,Flyweight,KO/TKO,1,0:44
UFC Fight Night: Smith vs. Clark,,Nate Maness,Luke Sanders,1,33,1,1,Catch Weight,SUB,2,2:29
