SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
4.96,41%,4.34,57%,N/A,0.36,26%,48%,0.4
2.67,43%,3.56,43%,N/A,1.25,27%,45%,0.4
1.27,51%,1.07,58%,N/A,0.00,0%,44%,0.0
1.05,22%,3.74,40%,N/A,1.43,20%,0%,0.5
2.27,23%,8.20,33%,N/A,0.00,0%,50%,0.0
3.87,44%,3.63,59%,N/A,1.74,46%,63%,0.5
5.93,42%,6.33,48%,N/A,4.00,57%,0%,0.0
3.15,59%,5.07,43%,N/A,1.97,18%,0%,1.3
1.26,40%,2.08,48%,N/A,5.56,100%,100%,0.0
2.82,34%,2.46,46%,N/A,3.26,66%,50%,2.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.28,34%,3.58,50%,N/A,0.67,21%,33%,0.8
5.28,46%,3.60,52%,N/A,1.24,41%,91%,0.0
1.17,28%,1.83,67%,N/A,0.00,0%,100%,0.0
3.42,40%,3.18,58%,N/A,0.46,100%,63%,0.0
1.58,37%,1.72,60%,N/A,0.53,50%,23%,2.6
3.81,35%,3.96,56%,N/A,0.91,35%,70%,0.2
4.17,37%,4.24,53%,N/A,0.14,25%,64%,0.0
2.86,37%,2.39,53%,N/A,0.00,0%,0%,0.0
2.05,47%,2.05,58%,N/A,0.00,0%,62%,0.0
3.00,42%,3.64,63%,N/A,0.00,0%,53%,0.0
2.57,43%,2.55,56%,N/A,0.62,23%,44%,1.1
2.42,42%,3.73,59%,N/A,1.20,38%,75%,0.4
3.37,40%,4.53,54%,N/A,0.87,41%,46%,0.3
0.20,75%,2.07,42%,N/A,0.00,0%,25%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.21,25%,2.87,42%,N/A,1.23,16%,25%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.83,26%,2.30,57%,N/A,0.78,14%,54%,0.0
2.39,48%,3.86,40%,N/A,0.00,0%,79%,0.2
4.85,39%,4.12,47%,N/A,0.00,0%,64%,0.0
3.46,46%,2.66,56%,N/A,0.00,0%,66%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.79,44%,2.06,64%,N/A,2.29,36%,66%,0.0
5.60,41%,4.43,64%,N/A,2.25,54%,69%,0.4
0.97,30%,2.87,59%,N/A,1.06,12%,66%,0.7
1.92,25%,5.38,52%,N/A,0.72,25%,33%,1.4
1.67,25%,9.76,34%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
7.25,48%,5.04,55%,N/A,0.00,0%,66%,0.0
1.95,43%,3.66,43%,N/A,0.54,16%,33%,0.0
0.00,0%,5.58,60%,N/A,0.00,0%,0%,20.9
2.21,43%,6.85,48%,N/A,0.00,0%,0%,0.0
2.39,40%,4.14,54%,N/A,1.47,35%,55%,1.3
3.79,41%,2.50,74%,N/A,0.45,50%,71%,0.0
1.53,48%,1.36,57%,N/A,5.75,41%,0%,1.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.56,50%,5.62,48%,N/A,0.33,14%,85%,0.0
2.25,37%,3.52,53%,N/A,1.19,25%,40%,3.6
3.35,30%,5.70,51%,N/A,1.35,23%,30%,0.1
3.37,37%,3.27,57%,N/A,1.46,57%,70%,0.1
1.23,28%,3.91,61%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.04,52%,1.82,63%,N/A,4.31,46%,68%,0.0
2.12,34%,2.12,58%,N/A,2.23,50%,69%,0.6
3.41,39%,3.15,61%,N/A,2.74,66%,66%,1.4
1.49,49%,2.26,45%,N/A,2.30,36%,20%,1.6
1.67,65%,0.93,33%,N/A,4.00,80%,0%,2.0
3.55,50%,2.79,64%,N/A,0.00,0%,55%,0.7
2.30,58%,1.63,58%,N/A,3.45,41%,33%,1.6
0.26,16%,2.70,43%,N/A,1.93,100%,25%,1.9
2.21,34%,8.85,41%,N/A,3.69,50%,0%,0.0
1.63,85%,0.00,0%,N/A,0.00,0%,100%,4.1
3.80,55%,3.54,60%,N/A,0.00,0%,100%,0.0
1.15,33%,4.20,52%,N/A,0.00,0%,100%,1.9
2.53,49%,2.53,52%,N/A,0.00,0%,100%,3.0
1.74,32%,2.06,55%,N/A,0.66,50%,29%,2.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.06,41%,1.22,52%,N/A,2.47,40%,25%,1.4
2.85,40%,2.74,63%,N/A,0.72,38%,51%,0.6
0.84,50%,9.86,35%,N/A,0.00,0%,0%,0.0
3.27,40%,7.73,46%,N/A,0.00,0%,0%,0.0
3.52,51%,6.88,39%,N/A,4.80,40%,0%,2.4
1.96,54%,2.46,36%,N/A,1.02,60%,54%,0.0
2.98,45%,2.95,58%,N/A,0.95,55%,50%,0.2
3.50,40%,4.97,50%,N/A,0.00,0%,58%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.82,53%,3.82,54%,N/A,1.86,34%,68%,0.0
2.18,47%,3.84,38%,N/A,2.02,40%,54%,2.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.10,23%,4.87,40%,N/A,0.87,11%,0%,0.0
3.72,41%,3.48,51%,N/A,1.45,41%,50%,0.9
2.74,45%,2.84,60%,N/A,1.80,35%,70%,1.5
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.47,63%,3.27,57%,N/A,4.00,66%,69%,0.0
2.87,67%,2.60,23%,N/A,4.00,57%,80%,0.0
2.12,37%,3.13,56%,N/A,0.22,33%,63%,0.3
4.91,23%,7.17,51%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.63,65%,2.28,35%,N/A,2.40,72%,66%,2.7
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.23,38%,3.70,47%,N/A,1.85,20%,50%,0.0
3.85,46%,4.79,43%,N/A,0.00,0%,64%,0.0
3.31,45%,4.75,32%,N/A,1.84,44%,0%,1.8
2.08,52%,2.87,43%,N/A,1.18,66%,58%,0.0
0.00,0%,3.36,22%,N/A,0.00,0%,0%,7.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.88,40%,1.66,49%,N/A,1.82,41%,5%,1.9
1.33,33%,2.15,54%,N/A,0.98,37%,21%,2.0
1.87,45%,1.33,60%,N/A,4.00,80%,0%,0.0
1.25,36%,2.16,54%,N/A,0.55,25%,60%,0.0
3.00,33%,3.88,59%,N/A,0.60,36%,38%,1.8
1.61,54%,1.93,50%,N/A,3.62,25%,100%,0.6
1.56,49%,2.78,46%,N/A,3.17,36%,60%,1.2
1.83,43%,2.30,49%,N/A,1.31,28%,43%,1.3
2.99,42%,3.50,56%,N/A,1.53,44%,47%,1.7
2.03,36%,3.06,49%,N/A,1.67,54%,47%,1.8
3.68,37%,3.83,51%,N/A,0.55,27%,66%,0.7
2.77,68%,1.17,38%,N/A,1.21,50%,81%,9.0
1.47,44%,2.72,43%,N/A,2.40,50%,83%,1.0
5.38,55%,5.59,39%,N/A,0.72,60%,68%,0.2
5.64,58%,6.50,47%,N/A,3.15,47%,50%,0.3
3.39,36%,3.93,59%,N/A,0.00,0%,70%,1.8
0.83,26%,2.25,62%,N/A,1.78,20%,0%,0.0
1.44,66%,2.59,48%,N/A,0.00,0%,33%,2.2
1.73,39%,2.27,59%,N/A,5.00,38%,0%,2.0
0.80,72%,0.70,63%,N/A,0.00,0%,0%,0.0
5.65,43%,5.69,49%,N/A,1.15,32%,62%,0.6
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.20,34%,4.70,54%,N/A,0.00,0%,40%,0.0
2.38,47%,2.51,57%,N/A,3.94,36%,47%,0.6
2.03,47%,4.07,35%,N/A,0.43,9%,57%,1.7
4.09,52%,5.23,39%,N/A,0.00,0%,80%,0.0
3.86,46%,2.95,61%,N/A,0.43,100%,57%,0.0
0.00,0%,1.25,33%,N/A,0.00,0%,0%,0.0
1.79,45%,1.66,63%,N/A,1.96,100%,54%,1.0
1.23,35%,5.95,47%,N/A,0.00,0%,33%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.60,61%,1.73,48%,N/A,2.00,28%,0%,1.0
0.70,43%,2.89,49%,N/A,0.00,0%,0%,0.0
3.03,27%,9.70,48%,N/A,0.00,0%,0%,0.0
2.90,51%,3.57,44%,N/A,1.12,27%,50%,0.0
3.25,43%,4.45,54%,N/A,2.53,58%,77%,0.7
5.56,53%,4.72,54%,N/A,0.70,12%,100%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.47,50%,1.43,69%,N/A,0.58,33%,58%,0.0
1.43,41%,1.62,64%,N/A,1.06,20%,18%,1.4
2.21,57%,7.83,37%,N/A,0.00,0%,0%,0.0
1.74,59%,0.27,60%,N/A,4.02,66%,100%,2.0
2.59,60%,2.02,48%,N/A,3.38,55%,74%,1.0
2.30,32%,1.36,72%,N/A,0.39,50%,88%,0.0
1.72,40%,3.06,50%,N/A,0.00,0%,22%,0.0
2.88,41%,3.67,51%,N/A,0.00,0%,0%,0.6
4.58,41%,5.66,52%,N/A,0.00,0%,25%,0.4
0.85,37%,5.92,22%,N/A,0.75,16%,33%,2.3
3.10,48%,5.78,46%,N/A,0.00,0%,33%,1.1
3.18,50%,4.72,58%,N/A,3.29,66%,100%,0.0
4.01,57%,9.81,33%,N/A,0.00,0%,0%,0.0
5.61,55%,3.30,54%,N/A,0.17,20%,58%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
5.13,50%,5.04,51%,N/A,0.00,0%,57%,0.0
3.63,37%,4.20,55%,N/A,0.00,0%,45%,0.0
2.00,38%,1.33,57%,N/A,0.00,0%,0%,0.0
6.55,50%,6.32,51%,N/A,1.35,26%,66%,0.5
5.45,52%,6.32,57%,N/A,1.54,100%,42%,0.8
4.74,41%,4.55,61%,N/A,0.59,32%,66%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.43,50%,0.00,0%,N/A,0.00,0%,0%,0.0
1.53,58%,0.73,66%,N/A,0.00,0%,68%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.63,50%,2.11,55%,N/A,7.89,100%,100%,7.9
0.00,0%,9.51,42%,N/A,0.00,0%,0%,0.0
2.78,37%,2.76,65%,N/A,0.56,28%,38%,1.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.92,57%,3.57,49%,N/A,0.67,33%,75%,0.3
1.66,40%,4.14,30%,N/A,2.54,27%,55%,0.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.84,44%,1.99,42%,N/A,0.46,50%,57%,2.5
2.42,34%,3.91,56%,N/A,1.75,33%,80%,0.0
1.71,33%,3.43,11%,N/A,0.00,0%,0%,0.0
1.34,47%,6.85,22%,N/A,2.51,50%,100%,0.0
2.78,49%,2.35,67%,N/A,4.13,55%,100%,0.3
0.86,35%,3.94,50%,N/A,0.00,0%,0%,0.0
5.30,50%,4.33,52%,N/A,1.24,36%,64%,1.3
2.60,26%,2.83,50%,N/A,0.00,0%,87%,0.7
2.25,45%,4.26,40%,N/A,0.87,29%,51%,0.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.36,44%,4.17,50%,N/A,2.40,48%,77%,0.0
3.48,30%,6.13,59%,N/A,0.00,0%,71%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.10,44%,3.93,55%,N/A,2.24,52%,50%,0.8
0.99,55%,2.44,42%,N/A,0.00,0%,30%,0.0
2.62,23%,2.77,58%,N/A,1.19,100%,0%,0.0
2.36,33%,2.99,54%,N/A,0.25,20%,56%,1.0
3.57,40%,4.17,63%,N/A,2.24,33%,66%,0.2
3.23,38%,4.37,52%,N/A,2.50,100%,100%,0.0
3.09,49%,3.18,46%,N/A,1.71,25%,48%,1.7
