SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
2.07,60%,2.40,53%,N/A,0.00,0%,50%,1.0
1.93,45%,2.64,46%,N/A,4.16,45%,35%,0.2
1.52,38%,3.29,33%,N/A,0.91,33%,20%,0.0
1.90,44%,1.62,59%,N/A,3.25,46%,70%,0.1
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.13,28%,8.07,30%,N/A,0.00,0%,0%,0.0
3.80,47%,2.60,59%,N/A,2.49,46%,40%,0.4
0.00,0%,3.53,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,10.12,12%,N/A,0.00,0%,0%,0.0
0.00,0%,6.58,27%,N/A,0.00,0%,0%,0.0
4.23,41%,2.61,61%,N/A,0.11,100%,75%,0.1
1.28,33%,2.55,33%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.59,25%,0.89,66%,N/A,4.43,100%,0%,0.0
3.16,47%,2.30,50%,N/A,1.94,55%,23%,0.8
3.66,46%,3.12,51%,N/A,1.17,33%,48%,1.2
2.45,43%,1.94,63%,N/A,2.90,54%,69%,0.8
2.90,59%,2.39,56%,N/A,0.76,30%,50%,0.8
0.00,0%,0.88,33%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.17,37%,4.12,61%,N/A,2.91,44%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.58,54%,4.17,44%,N/A,1.82,53%,54%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.59,18%,3.51,33%,N/A,0.00,0%,0%,4.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
5.32,54%,3.43,54%,N/A,5.24,50%,58%,0.8
5.30,44%,6.19,56%,N/A,2.97,53%,50%,0.7
3.68,40%,4.09,62%,N/A,0.74,35%,75%,0.0
0.29,16%,2.06,30%,N/A,0.00,0%,0%,0.0
3.30,32%,2.20,63%,N/A,1.50,100%,0%,0.0
5.11,52%,4.96,51%,N/A,0.00,0%,100%,0.0
2.70,47%,2.83,59%,N/A,9.00,52%,33%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.76,38%,4.52,51%,N/A,1.20,50%,56%,0.6
3.38,44%,2.54,61%,N/A,1.56,41%,64%,0.6
1.90,26%,3.50,31%,N/A,0.00,0%,0%,0.0
3.20,34%,3.43,69%,N/A,0.00,0%,16%,0.0
0.84,45%,1.69,55%,N/A,1.83,30%,43%,0.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
7.84,46%,6.70,58%,N/A,0.00,0%,0%,0.0
4.05,47%,3.05,64%,N/A,1.38,59%,72%,0.3
3.53,62%,2.58,50%,N/A,3.06,60%,0%,0.0
1.91,54%,2.62,55%,N/A,0.67,15%,50%,0.7
5.60,69%,4.03,48%,N/A,1.00,40%,77%,2.0
2.08,45%,3.59,54%,N/A,2.74,24%,50%,1.4
1.30,18%,1.73,79%,N/A,0.00,0%,75%,0.0
3.83,41%,2.23,53%,N/A,4.79,33%,100%,0.0
0.00,0%,0.81,25%,N/A,8.07,66%,0%,4.0
0.78,42%,1.57,40%,N/A,0.00,0%,33%,0.0
0.80,44%,3.20,40%,N/A,0.00,0%,0%,6.0
2.36,37%,2.29,54%,N/A,1.06,50%,61%,0.6
4.67,50%,3.86,59%,N/A,1.04,50%,63%,0.4
4.09,55%,11.73,51%,N/A,0.00,0%,0%,0.0
2.02,38%,5.91,38%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.07,83%,4.97,36%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.20,42%,3.53,48%,N/A,1.00,11%,0%,0.0
2.68,48%,7.64,34%,N/A,2.87,100%,0%,0.0
4.64,54%,2.73,61%,N/A,0.29,100%,66%,0.6
4.46,62%,2.73,58%,N/A,0.38,7%,100%,0.0
4.25,42%,3.58,57%,N/A,0.36,100%,60%,0.4
7.33,33%,8.67,64%,N/A,0.00,0%,0%,0.0
5.86,44%,5.03,51%,N/A,0.00,0%,75%,0.0
1.67,33%,2.22,53%,N/A,1.00,37%,70%,0.0
0.97,27%,1.87,48%,N/A,0.00,0%,37%,0.5
2.54,38%,3.41,49%,N/A,1.19,100%,33%,3.6
1.65,28%,5.53,55%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.82,40%,2.95,43%,N/A,3.01,33%,43%,0.3
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.80,55%,0.89,69%,N/A,2.32,53%,84%,1.7
1.33,30%,3.14,53%,N/A,0.54,25%,50%,0.0
2.88,53%,6.13,33%,N/A,2.70,100%,0%,0.0
3.87,57%,8.43,46%,N/A,1.81,19%,100%,0.0
0.65,20%,5.22,48%,N/A,0.00,0%,0%,4.9
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.40,63%,0.27,55%,N/A,0.00,0%,54%,0.0
0.31,50%,7.64,31%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.87,35%,4.14,60%,N/A,0.00,0%,76%,0.5
1.42,21%,4.40,47%,N/A,1.60,33%,14%,0.0
1.91,37%,5.43,42%,N/A,2.20,100%,100%,0.0
1.80,38%,2.14,65%,N/A,0.83,80%,81%,0.4
3.00,57%,2.53,45%,N/A,1.00,50%,0%,0.0
3.28,53%,4.90,56%,N/A,0.38,50%,53%,0.4
2.88,50%,2.16,51%,N/A,1.54,33%,50%,9.2
4.54,49%,3.87,57%,N/A,0.41,35%,68%,0.1
3.40,31%,2.30,47%,N/A,1.50,50%,0%,0.0
7.94,51%,7.66,53%,N/A,0.70,33%,80%,0.0
2.79,25%,4.01,60%,N/A,0.00,0%,80%,0.0
4.33,48%,4.94,50%,N/A,0.72,42%,25%,0.5
2.73,28%,3.77,63%,N/A,3.00,45%,36%,0.0
2.45,53%,4.29,51%,N/A,0.00,0%,0%,0.0
3.07,27%,7.33,52%,N/A,0.00,0%,0%,0.0
0.00,0%,2.40,42%,N/A,9.00,100%,0%,9.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.53,39%,2.42,57%,N/A,1.37,20%,38%,0.7
2.59,48%,2.45,71%,N/A,2.05,100%,66%,0.0
1.98,37%,2.19,70%,N/A,0.27,100%,88%,0.3
1.37,40%,2.08,53%,N/A,1.33,66%,0%,0.0
0.00,0%,0.22,80%,N/A,3.27,50%,0%,3.3
1.80,50%,1.20,63%,N/A,0.00,0%,60%,0.0
5.70,67%,4.89,28%,N/A,0.00,0%,100%,0.0
3.34,43%,8.85,47%,N/A,1.59,25%,33%,0.8
4.27,63%,1.38,51%,N/A,6.20,61%,100%,0.9
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.40,45%,4.07,40%,N/A,0.00,0%,66%,0.0
1.55,39%,2.23,33%,N/A,3.58,60%,50%,4.2
3.16,61%,2.84,41%,N/A,2.40,36%,62%,0.0
3.12,47%,4.04,46%,N/A,0.56,46%,55%,1.7
6.01,42%,4.48,61%,N/A,0.78,64%,77%,0.2
3.29,40%,2.37,60%,N/A,1.54,21%,50%,1.0
4.54,51%,3.94,59%,N/A,1.60,41%,50%,0.3
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.50,22%,9.00,14%,N/A,0.00,0%,0%,0.0
3.77,50%,7.21,33%,N/A,0.00,0%,0%,0.0
3.06,35%,2.88,64%,N/A,1.98,26%,77%,0.0
4.15,44%,3.43,59%,N/A,1.54,27%,100%,2.6
0.80,63%,1.00,21%,N/A,0.00,0%,22%,0.0
2.49,41%,2.19,58%,N/A,5.27,59%,59%,1.0
2.60,43%,2.20,47%,N/A,0.00,0%,0%,0.0
4.55,48%,4.88,41%,N/A,0.98,33%,46%,0.2
4.53,50%,3.30,53%,N/A,1.83,50%,57%,1.1
4.42,48%,6.64,55%,N/A,2.28,43%,25%,0.3
0.00,0%,2.86,45%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.73,40%,2.40,45%,N/A,0.00,0%,16%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.68,37%,2.59,58%,N/A,0.71,27%,68%,1.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.82,43%,3.13,54%,N/A,3.10,42%,92%,0.0
2.74,25%,4.19,56%,N/A,0.00,0%,20%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.66,33%,4.07,53%,N/A,3.29,50%,0%,0.7
6.99,46%,4.02,60%,N/A,0.00,0%,66%,2.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.93,27%,2.39,67%,N/A,0.47,33%,79%,0.9
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.83,42%,2.23,40%,N/A,0.43,100%,54%,0.4
4.85,45%,5.06,50%,N/A,0.00,0%,53%,2.6
0.00,0%,4.00,38%,N/A,0.00,0%,0%,16.4
0.84,34%,2.04,54%,N/A,3.21,36%,36%,0.9
1.44,79%,2.52,52%,N/A,3.93,28%,0%,0.8
4.76,43%,2.99,57%,N/A,0.84,15%,81%,1.1
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.04,45%,1.88,59%,N/A,0.72,33%,33%,0.0
5.03,51%,5.28,47%,N/A,3.87,57%,100%,0.0
4.17,28%,4.08,57%,N/A,0.63,38%,77%,0.1
0.69,67%,3.20,29%,N/A,0.00,0%,20%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.61,45%,4.04,58%,N/A,3.42,50%,83%,0.0
3.85,49%,2.90,48%,N/A,1.24,33%,60%,0.6
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.80,41%,2.17,62%,N/A,2.53,48%,63%,0.9
2.53,36%,2.53,71%,N/A,0.00,0%,0%,0.0
2.49,39%,4.54,46%,N/A,0.93,27%,54%,1.7
2.12,48%,2.25,49%,N/A,0.66,100%,55%,0.7
3.51,44%,3.40,47%,N/A,2.45,41%,46%,1.0
1.51,23%,6.06,36%,N/A,0.00,0%,80%,1.0
1.11,36%,4.59,45%,N/A,4.75,40%,33%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.00,23%,4.27,43%,N/A,0.00,0%,0%,0.0
3.33,39%,3.81,44%,N/A,0.00,0%,50%,0.0
4.41,49%,3.97,50%,N/A,2.61,47%,68%,0.8
2.33,52%,0.91,41%,N/A,0.00,0%,36%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.75,51%,2.04,59%,N/A,3.93,45%,0%,4.1
6.69,53%,5.44,52%,N/A,0.72,100%,70%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.67,32%,3.97,57%,N/A,0.65,31%,53%,0.5
2.47,57%,2.68,48%,N/A,2.20,47%,66%,0.0
2.67,70%,1.00,79%,N/A,0.00,0%,50%,1.7
7.73,53%,3.27,59%,N/A,0.00,0%,100%,0.0
2.71,49%,2.32,55%,N/A,1.87,51%,70%,0.8
3.00,100%,42.00,33%,N/A,0.00,0%,0%,0.0
5.00,58%,3.00,64%,N/A,7.50,100%,0%,0.0
2.17,53%,2.43,45%,N/A,3.13,40%,100%,0.5
4.70,52%,3.68,52%,N/A,2.35,28%,66%,0.4
0.25,27%,2.11,43%,N/A,0.00,0%,28%,0.0
1.98,21%,10.27,45%,N/A,0.00,0%,0%,0.0
2.97,43%,3.10,58%,N/A,1.12,28%,52%,0.2
1.43,33%,3.00,50%,N/A,2.50,38%,60%,1.0
3.20,53%,3.98,52%,N/A,2.32,27%,33%,2.3
5.94,52%,4.00,63%,N/A,0.25,50%,87%,0.0
1.47,41%,5.08,31%,N/A,1.90,33%,25%,0.4
2.53,40%,2.67,66%,N/A,1.00,20%,100%,0.0
3.43,54%,3.97,49%,N/A,0.53,18%,70%,0.4
5.93,56%,9.42,53%,N/A,0.00,0%,0%,0.0
2.56,33%,3.61,58%,N/A,0.44,11%,20%,0.9
3.18,70%,0.66,57%,N/A,1.64,100%,60%,0.0
1.82,29%,1.97,59%,N/A,0.00,0%,0%,0.0
1.13,20%,4.33,45%,N/A,1.00,7%,20%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.80,23%,4.60,56%,N/A,0.50,100%,0%,0.5
2.97,46%,4.42,37%,N/A,0.78,100%,100%,0.0
1.77,42%,1.45,52%,N/A,0.35,66%,66%,0.7
1.41,35%,2.42,43%,N/A,1.32,20%,60%,0.0
1.57,54%,3.13,33%,N/A,3.91,100%,50%,0.0
3.05,45%,3.29,48%,N/A,1.75,45%,67%,0.1
0.45,26%,1.79,46%,N/A,0.00,0%,0%,0.0
3.17,40%,3.05,58%,N/A,1.16,38%,65%,0.4
2.05,44%,2.44,60%,N/A,2.75,44%,39%,2.2
4.61,52%,2.30,58%,N/A,2.31,27%,45%,0.7
3.75,56%,2.34,53%,N/A,3.75,33%,50%,1.9
3.92,55%,1.86,49%,N/A,0.44,50%,58%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,100%,N/A,0.00,0%,0%,0.0
1.71,54%,2.31,62%,N/A,0.62,11%,10%,2.2
4.14,42%,5.01,48%,N/A,0.65,23%,77%,0.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.60,41%,2.73,67%,N/A,0.00,0%,81%,0.0
1.65,53%,2.96,41%,N/A,1.03,44%,55%,2.6
2.05,38%,2.47,51%,N/A,2.63,64%,23%,0.9
2.38,65%,1.45,54%,N/A,0.44,25%,63%,0.0
6.48,42%,5.25,53%,N/A,0.00,0%,100%,0.8
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.64,46%,4.18,52%,N/A,9.89,100%,0%,3.3
2.20,27%,2.00,76%,N/A,0.00,0%,50%,0.0
4.69,53%,2.68,63%,N/A,5.03,100%,100%,5.0
1.21,19%,4.14,55%,N/A,0.00,0%,0%,0.0
2.57,54%,3.91,47%,N/A,2.31,25%,100%,1.5
1.48,34%,3.14,57%,N/A,2.52,43%,54%,0.5
3.52,48%,2.64,51%,N/A,0.33,25%,78%,0.0
9.50,39%,11.47,41%,N/A,0.00,0%,28%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.94,33%,4.52,46%,N/A,19.35,50%,100%,0.0
1.58,54%,5.79,15%,N/A,0.00,0%,0%,0.0
3.14,50%,3.88,42%,N/A,0.68,75%,80%,0.7
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.52,56%,4.71,63%,N/A,3.10,66%,57%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.86,56%,2.48,52%,N/A,6.62,42%,20%,0.4
3.83,46%,3.33,52%,N/A,3.04,60%,16%,1.0
6.84,46%,6.96,62%,N/A,0.00,0%,78%,1.1
0.87,56%,3.47,43%,N/A,0.00,0%,20%,0.0
3.87,34%,3.27,69%,N/A,1.00,33%,0%,0.0
2.80,23%,5.23,55%,N/A,2.00,22%,66%,0.5
5.29,58%,4.31,53%,N/A,0.44,57%,61%,0.6
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.12,30%,2.24,36%,N/A,2.10,50%,0%,0.0
1.94,43%,2.24,62%,N/A,3.71,30%,56%,0.3
4.07,70%,2.93,50%,N/A,0.00,0%,91%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.32,49%,2.42,50%,N/A,2.95,42%,76%,0.0
1.94,33%,2.49,58%,N/A,1.94,100%,60%,0.0
1.60,25%,3.20,66%,N/A,12.00,100%,0%,0.0
3.31,34%,3.73,54%,N/A,0.83,26%,48%,0.0
2.71,48%,4.43,53%,N/A,1.46,33%,25%,0.6
1.86,36%,3.10,52%,N/A,2.64,35%,43%,0.6
3.22,54%,3.54,54%,N/A,0.00,0%,87%,1.0
1.09,37%,5.00,47%,N/A,0.00,0%,33%,0.0
3.28,42%,2.65,59%,N/A,0.12,12%,60%,0.3
4.35,47%,3.89,60%,N/A,2.22,37%,76%,0.0
2.50,50%,3.07,52%,N/A,0.85,100%,40%,1.7
3.22,60%,3.26,51%,N/A,0.00,0%,71%,0.0
2.83,37%,4.74,57%,N/A,1.55,66%,80%,0.0
1.00,20%,2.89,34%,N/A,7.48,45%,100%,0.0
2.65,59%,1.54,61%,N/A,3.19,53%,90%,1.1
2.87,54%,2.07,61%,N/A,3.67,42%,85%,0.0
5.52,49%,4.15,68%,N/A,0.00,0%,86%,0.0
4.35,38%,4.52,55%,N/A,0.42,27%,58%,0.1
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.60,36%,3.33,43%,N/A,1.00,33%,0%,1.0
1.54,85%,3.59,17%,N/A,0.00,0%,0%,3.9
1.53,42%,1.02,63%,N/A,3.83,100%,0%,7.7
1.71,29%,6.92,40%,N/A,2.44,40%,0%,0.0
1.80,43%,2.07,63%,N/A,2.49,24%,61%,1.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.41,41%,2.44,65%,N/A,2.80,46%,77%,1.1
3.90,28%,5.76,53%,N/A,0.00,0%,45%,0.0
7.10,74%,2.95,35%,N/A,0.00,0%,78%,0.0
4.89,48%,3.00,64%,N/A,5.22,56%,77%,0.8
3.78,53%,1.40,72%,N/A,4.16,74%,83%,1.1
2.88,44%,3.73,55%,N/A,2.65,77%,100%,0.0
4.02,47%,1.47,66%,N/A,0.33,100%,88%,0.0
3.54,57%,3.15,41%,N/A,3.37,40%,100%,0.8
1.63,48%,1.33,55%,N/A,0.30,100%,46%,0.3
4.40,49%,3.05,54%,N/A,0.67,57%,89%,0.2
2.42,49%,1.60,53%,N/A,0.00,0%,28%,2.5
3.71,45%,5.72,55%,N/A,1.31,20%,75%,1.0
10.00,100%,10.00,0%,N/A,0.00,0%,0%,0.0
2.81,52%,1.53,47%,N/A,2.09,42%,71%,1.4
2.60,35%,5.30,46%,N/A,0.74,66%,0%,0.0
3.54,49%,3.79,49%,N/A,4.56,64%,70%,0.5
1.40,25%,1.40,66%,N/A,0.00,0%,0%,0.0
3.27,62%,3.27,54%,N/A,1.75,11%,75%,1.8
3.21,48%,4.54,45%,N/A,1.18,18%,27%,0.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.24,32%,4.02,60%,N/A,0.14,33%,68%,0.0
2.56,51%,5.12,35%,N/A,2.02,33%,33%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.25,40%,3.89,44%,N/A,1.34,35%,47%,1.5
4.07,41%,4.75,41%,N/A,0.00,0%,0%,0.0
1.53,28%,4.92,42%,N/A,0.40,25%,28%,0.4
3.47,46%,2.42,52%,N/A,2.17,40%,54%,0.3
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.80,27%,3.37,68%,N/A,0.00,0%,0%,0.5
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.14,24%,3.97,68%,N/A,1.55,44%,66%,0.8
2.27,40%,2.78,56%,N/A,1.05,15%,58%,1.6
4.55,48%,4.38,43%,N/A,2.12,83%,69%,0.4
3.56,49%,3.97,52%,N/A,2.86,66%,62%,0.0
2.36,33%,2.55,63%,N/A,2.93,51%,50%,0.7
0.00,0%,3.35,47%,N/A,0.00,0%,0%,0.0
2.31,38%,9.56,50%,N/A,0.00,0%,0%,0.0
2.46,41%,1.18,81%,N/A,1.32,71%,70%,0.0
1.83,36%,1.95,60%,N/A,0.00,0%,50%,0.9
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.78,68%,2.03,60%,N/A,0.90,50%,50%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.73,39%,5.30,45%,N/A,0.50,16%,60%,0.0
1.75,45%,3.60,56%,N/A,2.54,45%,40%,1.4
4.65,44%,2.91,58%,N/A,0.00,0%,50%,0.0
2.82,50%,2.99,28%,N/A,0.52,25%,37%,0.5
0.99,39%,1.38,65%,N/A,3.98,78%,64%,1.3
2.53,47%,2.83,62%,N/A,2.57,39%,57%,1.3
1.43,23%,5.23,42%,N/A,0.00,0%,0%,0.0
3.21,63%,2.61,52%,N/A,1.49,27%,44%,1.0
2.95,25%,5.02,59%,N/A,2.82,30%,0%,0.0
2.77,44%,4.31,49%,N/A,1.25,53%,58%,0.2
3.36,41%,5.37,67%,N/A,0.85,21%,70%,1.9
0.80,29%,4.60,42%,N/A,2.00,18%,0%,0.0
2.51,46%,3.31,66%,N/A,3.17,33%,89%,0.5
2.61,27%,2.52,67%,N/A,2.32,31%,53%,1.6
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.32,60%,3.17,43%,N/A,1.16,50%,40%,0.0
6.07,58%,2.73,63%,N/A,0.00,0%,82%,0.0
4.13,43%,2.93,65%,N/A,0.00,0%,50%,1.0
2.08,52%,0.74,67%,N/A,2.22,25%,80%,0.7
5.50,55%,3.17,52%,N/A,0.77,55%,69%,0.3
1.33,52%,1.82,55%,N/A,1.05,33%,37%,0.0
2.59,53%,1.57,61%,N/A,1.21,65%,75%,0.4
2.40,32%,2.87,64%,N/A,0.00,0%,76%,0.0
1.80,50%,2.04,46%,N/A,7.19,80%,80%,5.4
2.28,29%,6.49,45%,N/A,0.00,0%,0%,0.0
3.75,42%,2.80,62%,N/A,1.77,47%,88%,0.4
0.89,44%,2.98,43%,N/A,0.00,0%,0%,0.0
4.92,54%,3.96,65%,N/A,1.85,45%,78%,0.0
2.31,31%,4.30,47%,N/A,0.00,0%,0%,0.0
1.55,52%,2.70,46%,N/A,1.43,16%,35%,2.0
4.89,53%,3.88,48%,N/A,1.48,56%,37%,0.0
2.95,70%,2.53,35%,N/A,3.16,66%,100%,3.2
3.37,39%,3.13,58%,N/A,0.52,25%,71%,1.0
3.18,61%,2.14,56%,N/A,1.33,55%,52%,0.0
3.06,52%,4.56,53%,N/A,3.06,75%,50%,0.0
3.08,43%,1.10,62%,N/A,3.81,59%,66%,0.4
5.10,36%,7.63,52%,N/A,1.50,25%,100%,0.0
4.79,50%,4.79,48%,N/A,0.00,0%,100%,8.3
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.47,46%,1.73,48%,N/A,5.00,21%,0%,0.0
3.33,58%,2.33,55%,N/A,0.00,0%,45%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.49,43%,3.96,55%,N/A,0.66,40%,72%,0.2
4.36,46%,6.38,50%,N/A,0.34,50%,61%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,2.80,37%,N/A,0.00,0%,33%,0.0
2.26,45%,2.61,56%,N/A,1.93,47%,78%,0.9
1.98,56%,1.77,48%,N/A,2.23,46%,20%,1.4
2.14,40%,2.90,58%,N/A,1.53,32%,77%,0.5
2.60,68%,6.73,25%,N/A,4.00,26%,100%,0.0
0.00,0%,5.45,33%,N/A,0.00,0%,0%,0.0
2.23,45%,1.53,57%,N/A,2.48,42%,65%,2.6
4.00,36%,13.00,35%,N/A,0.00,0%,0%,0.0
1.44,42%,3.81,55%,N/A,0.00,0%,75%,0.0
1.98,77%,2.26,65%,N/A,8.49,66%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.67,47%,4.11,53%,N/A,1.69,35%,32%,1.8
3.52,34%,8.67,56%,N/A,3.52,33%,50%,0.0
1.28,38%,2.04,35%,N/A,0.00,0%,33%,2.3
2.95,36%,3.53,68%,N/A,2.16,33%,57%,0.0
6.46,48%,11.54,32%,N/A,0.00,0%,100%,0.0
4.55,53%,3.91,49%,N/A,0.35,25%,85%,0.3
1.78,35%,1.96,49%,N/A,1.67,33%,45%,1.7
7.56,40%,8.41,51%,N/A,0.00,0%,62%,0.0
1.09,41%,2.73,35%,N/A,3.51,60%,0%,1.2
1.64,41%,2.30,51%,N/A,4.09,36%,25%,1.4
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.29,55%,3.31,51%,N/A,1.70,32%,60%,0.7
3.24,49%,4.60,46%,N/A,0.46,26%,50%,0.6
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.41,46%,0.47,60%,N/A,0.89,50%,20%,0.9
0.73,28%,1.40,54%,N/A,0.00,0%,57%,2.0
1.90,27%,5.87,50%,N/A,0.12,6%,58%,0.5
4.95,52%,5.05,54%,N/A,1.55,50%,100%,1.6
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.53,50%,2.40,32%,N/A,5.00,27%,100%,1.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.00,48%,1.85,70%,N/A,9.23,100%,100%,0.0
0.00,0%,0.54,0%,N/A,0.00,0%,66%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.01,40%,3.21,49%,N/A,1.74,34%,39%,2.3
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.87,32%,2.67,65%,N/A,0.87,32%,65%,0.3
2.80,42%,7.37,29%,N/A,0.00,0%,75%,0.0
1.13,37%,4.60,53%,N/A,0.00,0%,0%,1.2
5.50,56%,9.98,46%,N/A,1.53,20%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,19.51,23%,N/A,0.00,0%,0%,0.0
3.07,64%,2.40,33%,N/A,1.00,25%,40%,0.0
0.00,0%,9.05,27%,N/A,0.00,0%,0%,0.0
2.55,39%,2.42,63%,N/A,0.39,25%,64%,0.8
0.80,100%,3.41,19%,N/A,0.00,0%,0%,0.0
1.20,33%,1.73,73%,N/A,0.00,0%,50%,0.0
2.72,42%,6.17,57%,N/A,0.00,0%,75%,0.0
0.81,66%,2.19,30%,N/A,0.00,0%,42%,1.2
1.81,63%,0.76,65%,N/A,0.71,50%,50%,0.7
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.98,51%,2.95,37%,N/A,0.00,0%,40%,2.3
2.99,43%,3.84,61%,N/A,5.20,44%,75%,0.3
0.79,21%,1.92,74%,N/A,0.00,0%,50%,0.0
3.19,63%,4.56,47%,N/A,6.84,28%,0%,0.0
3.60,52%,2.53,56%,N/A,3.78,34%,83%,0.5
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.67,49%,2.97,51%,N/A,1.62,38%,85%,0.2
3.54,38%,3.93,57%,N/A,0.55,42%,72%,0.2
4.86,52%,9.85,44%,N/A,0.00,0%,0%,0.0
1.07,40%,0.54,50%,N/A,24.11,50%,0%,0.0
