Event,Date,Location,W/L,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC on FX: Belfort vs Bisping,"January 19, 2013","Sao Paulo, Brazil",,Gabriel Gonzaga,Ben Rothwell,0,0,17,12,3,0,1,0,Heavyweight,SUB,2,1:01
UFC on FX: Belfort vs Bisping,"January 19, 2013","Sao Paulo, Brazil",,Khabib Nurmagomedov,Thiago Tavares,1,0,22,2,0,0,0,0,Lightweight,KO/TKO,1,1:55
UFC on FX: Belfort vs Bisping,"January 19, 2013","Sao Paulo, Brazil",,Godofredo Pepey,Milton Vieira,0,0,36,17,0,5,0,0,Featherweight,S-DEC,3,5:00
UFC on FX: Belfort vs Bisping,"January 19, 2013","Sao Paulo, Brazil",,Ronny Markes,Andrew Craig,0,0,5,20,2,0,2,0,Middleweight,U-DEC,3,5:00
UFC on FX: Belfort vs Bisping,"January 19, 2013","Sao Paulo, Brazil",,Nik Lentz,Diego Nunes,0,0,56,18,10,0,0,0,Featherweight,U-DEC,3,5:00
UFC on FX: Belfort vs Bisping,"January 19, 2013","Sao Paulo, Brazil",,Edson Barboza,Lucas Martins,1,0,26,12,0,0,0,0,Lightweight,KO/TKO,1,2:38
UFC on FX: Belfort vs Bisping,"January 19, 2013","Sao Paulo, Brazil",,Iuri Alcantara,Pedro Nobre,0,0,20,3,1,0,1,0,Bantamweight,CNC,1,2:11
UFC on FX: Belfort vs Bisping,"January 19, 2013","Sao Paulo, Brazil",,Ildemar Alcantara,Wagner Prado,0,0,24,28,2,0,3,0,Light Heavyweight,SUB,2,2:39
UFC on FX: Belfort vs Bisping,"January 19, 2013","Sao Paulo, Brazil",,Francisco Trinaldo,CJ Keith,0,0,12,3,2,0,1,0,Lightweight,SUB,2,1:50
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Ronda Rousey,Liz Carmouche,0,0,7,4,1,0,1,1,Women's Bantamweight,SUB,1,4:49
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Lyoto Machida,Dan Henderson,0,0,27,20,1,1,0,0,Light Heavyweight,S-DEC,3,5:00
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Urijah Faber,Ivan Menjivar,0,0,17,3,0,1,1,0,Bantamweight,SUB,1,4:34
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Court McGee,Josh Neer,0,0,166,63,2,0,0,0,Welterweight,U-DEC,3,5:00
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Robbie Lawler,Josh Koscheck,0,0,9,2,0,2,0,0,Welterweight,KO/TKO,1,3:57
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Brendan Schaub,Lavar Johnson,0,0,18,36,5,1,1,0,Heavyweight,U-DEC,3,5:00
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Michael Chiesa,Anton Kuivanen,0,0,5,18,1,0,2,0,Lightweight,SUB,2,2:29
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Dennis Bermudez,Matt Grice,1,1,120,82,0,1,2,0,Featherweight,S-DEC,3,5:00
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Sam Stout,Caros Fodor,0,0,46,47,1,3,0,0,Lightweight,S-DEC,3,5:00
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Kenny Robertson,Brock Jardine,0,0,9,1,1,0,2,1,Welterweight,SUB,1,2:57
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Neil Magny,Jon Manley,0,0,65,17,4,1,0,0,Welterweight,U-DEC,3,5:00
UFC 157: Rousey vs Carmouche,"February 23, 2013","Anaheim, California, USA",,Nah-Shon Burrell,Yuri Villefort,0,0,121,48,0,3,1,1,Welterweight,U-DEC,3,5:00
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,Roy Nelson,Matt Mitrione,1,0,23,13,0,0,0,0,Heavyweight,KO/TKO,1,2:58
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,Colton Smith,Mike Ricci,0,0,15,9,7,0,1,0,Welterweight,U-DEC,3,5:00
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,Pat Barry,Shane del Rosario,1,0,11,14,0,1,0,2,Heavyweight,KO/TKO,2,0:26
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,Dustin Poirier,Jonathan Brookins,0,0,35,26,0,0,1,0,Featherweight,SUB,1,4:15
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,Mike Pyle,James Head,1,0,9,13,0,0,0,0,Welterweight,KO/TKO,1,1:55
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,Johnny Bedford,Marcos Vinicius,2,0,34,4,1,0,0,1,Bantamweight,KO/TKO,2,1:00
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,Rustam Khabilov,Vinc Pichel,0,0,13,0,5,0,0,0,Lightweight,KO/TKO,1,2:15
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,TJ Waldburger,Nick Catone,1,0,13,10,1,1,4,0,Welterweight,SUB,2,1:04
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,Hugo Viana,Reuben Duran,3,0,22,8,0,0,0,0,Bantamweight,KO/TKO,1,4:05
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,Mike Rio,John Cofer,0,0,30,31,4,0,1,0,Lightweight,SUB,3,4:11
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012","Las Vegas, Nevada, USA",,Tim Elliott,Jared Papazian,1,0,36,36,7,0,4,0,Flyweight,U-DEC,3,5:00
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,Georges St-Pierre,Nick Diaz,0,0,105,41,9,0,0,1,Welterweight,U-DEC,5,5:00
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,Johny Hendricks,Carlos Condit,0,0,30,42,12,0,0,0,Welterweight,U-DEC,3,5:00
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,Jake Ellenberger,Nate Marquardt,1,0,13,13,0,0,0,0,Welterweight,KO/TKO,1,3:00
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,Chris Camozzi,Nick Ring,0,0,64,86,0,0,0,0,Middleweight,S-DEC,3,5:00
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,Mike Ricci,Colin Fletcher,0,0,47,37,2,0,0,0,Lightweight,U-DEC,3,5:00
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,Patrick Cote,Bobby Voelker,0,0,72,83,0,4,0,0,Welterweight,U-DEC,3,5:00
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,Darren Elkins,Antonio Carvalho,1,0,14,9,0,0,0,0,Featherweight,KO/TKO,1,3:06
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,Jordan Mein,Dan Miller,1,0,29,11,0,1,0,1,Welterweight,KO/TKO,1,4:42
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,John Makdessi,Daron Cruickshank,0,0,86,51,0,0,0,0,Lightweight,U-DEC,3,5:00
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,Rick Story,Quinn Mulhern,1,0,20,9,1,0,0,0,Welterweight,KO/TKO,1,3:05
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,TJ Dillashaw,Issei Tamura,1,0,30,11,2,0,0,0,Bantamweight,KO/TKO,2,0:26
UFC 158: St-Pierre vs Diaz,"March 16, 2013","Montreal, Quebec, Canada",,George Roop,Reuben Duran,0,0,33,30,2,1,1,0,Bantamweight,U-DEC,3,5:00
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Renan Barao,Michael McDonald,0,0,36,26,4,0,1,0,Bantamweight,SUB,4,3:57
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Cub Swanson,Dustin Poirier,0,0,58,58,2,2,0,0,Featherweight,U-DEC,3,5:00
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Jimi Manuwa,Cyrille Diabate,0,0,18,9,3,0,0,0,Light Heavyweight,KO/TKO,1,5:00
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Gunnar Nelson,Jorge Santiago,0,0,42,43,2,0,0,0,Welterweight,U-DEC,3,5:00
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,James Te Huna,Ryan Jimmo,0,1,49,34,2,0,0,0,Light Heavyweight,U-DEC,3,5:00
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Che Mills,Matthew Riddle,0,0,28,23,0,5,0,0,Welterweight,Overturned,3,5:00
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Renee Forte,Terry Etim,1,0,47,13,2,0,0,0,Lightweight,U-DEC,3,5:00
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Danny Castillo,Paul Sass,0,0,38,4,4,0,0,5,Lightweight,U-DEC,3,5:00
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Andy Ogle,Josh Grispi,0,0,19,7,2,1,0,2,Featherweight,U-DEC,3,5:00
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Tom Watson,Stanislav Nedkov,1,0,56,39,0,5,0,0,Middleweight,KO/TKO,2,4:42
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Vaughan Lee,Motonobu Tezuka,0,0,20,4,0,1,0,1,Bantamweight,U-DEC,3,5:00
UFC on FUEL TV: Barao vs McDonald,"February 16, 2013","London, England, United Kingdom",,Phil Harris,Ulysses Gomez,0,0,33,35,1,0,0,0,Flyweight,U-DEC,3,5:00
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Gegard Mousasi,Ilir Latifi,0,0,80,18,0,1,0,0,Light Heavyweight,U-DEC,3,5:00
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Ross Pearson,Ryan Couture,1,0,28,29,1,1,0,0,Lightweight,KO/TKO,2,3:45
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Matt Mitrione,Philip De Fries,0,0,7,0,0,0,0,0,Heavyweight,KO/TKO,1,0:19
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Brad Pickett,Mike Easton,0,0,68,71,4,3,0,0,Bantamweight,S-DEC,3,5:00
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Diego Brandao,Pablo Garza,0,0,9,4,0,1,1,0,Featherweight,SUB,1,3:27
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Akira Corassani,Robert Peralta,0,0,48,67,2,0,0,0,Featherweight,U-DEC,3,5:00
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Reza Madadi,Michael Johnson,0,1,34,20,4,0,2,0,Lightweight,SUB,3,1:33
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Tor Troeng,Adam Cella,0,0,6,2,1,0,1,0,Middleweight,SUB,1,3:11
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Adlan Amagov,Chris Spang,0,0,38,5,6,0,0,0,Welterweight,U-DEC,3,5:00
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Conor McGregor,Marcus Brimage,1,0,21,12,0,0,0,0,Featherweight,KO/TKO,1,1:07
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Ryan LaFlare,Ben Alloway,0,0,37,9,6,1,1,0,Welterweight,U-DEC,3,5:00
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Tom Lawlor,Michael Kuiper,0,0,7,14,0,3,1,0,Middleweight,SUB,2,1:05
UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013","Stockholm, Sweden",,Papy Abedi,Besam Yousef,0,0,53,43,4,2,0,0,Welterweight,S-DEC,3,5:00
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Wanderlei Silva,Brian Stann,2,1,43,43,0,0,0,0,Light Heavyweight,KO/TKO,2,4:08
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Mark Hunt,Stefan Struve,1,0,47,24,1,0,0,1,Heavyweight,KO/TKO,3,1:44
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Diego Sanchez,Takanori Gomi,0,0,65,81,2,0,1,0,Lightweight,S-DEC,3,5:00
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Yushin Okami,Hector Lombard,0,0,37,45,3,0,0,0,Middleweight,S-DEC,3,5:00
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Rani Yahya,Mizuto Hirota,0,0,13,4,5,1,1,0,Featherweight,U-DEC,3,5:00
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Dong Hyun Kim,Siyar Bahadurzada,0,0,23,5,3,0,1,0,Welterweight,U-DEC,3,5:00
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Brad Tavares,Riki Fukuda,0,0,116,69,0,1,0,0,Middleweight,U-DEC,3,5:00
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Takeya Mizugaki,Bryan Caraway,0,0,67,37,0,2,0,1,Bantamweight,S-DEC,3,5:00
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Kazuki Tokudome,Cristiano Marcello,1,0,33,33,2,1,0,0,Lightweight,U-DEC,3,5:00
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Alex Caceres,Kyung Ho Kang,0,0,30,16,0,5,0,0,Bantamweight,Overturned,3,5:00
UFC on FUEL TV: Silva vs. Stann,"March 02, 2013","Saitama, Japan",,Hyun Gyu Lim,Marcelo Guimaraes,1,0,62,47,0,2,0,0,Welterweight,KO/TKO,2,4:00
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Benson Henderson,Gilbert Melendez,0,0,68,43,0,1,0,0,Lightweight,S-DEC,5,5:00
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Daniel Cormier,Frank Mir,0,0,59,24,0,0,0,0,Heavyweight,U-DEC,3,5:00
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Josh Thomson,Nate Diaz,1,0,36,21,1,1,0,1,Lightweight,KO/TKO,2,3:44
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Matt Brown,Jordan Mein,0,1,40,24,0,0,1,0,Welterweight,KO/TKO,2,1:00
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Chad Mendes,Darren Elkins,1,0,7,2,0,0,0,0,Featherweight,KO/TKO,1,1:08
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Francis Carmont,Lorenz Larkin,0,0,12,32,2,0,0,0,Middleweight,U-DEC,3,5:00
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Myles Jury,Ramsey Nijem,1,0,5,6,2,1,0,0,Lightweight,KO/TKO,2,1:02
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Joseph Benavidez,Darren Uyenoyama,2,0,57,11,2,0,0,0,Flyweight,KO/TKO,2,4:50
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Jorge Masvidal,Tim Means,0,0,50,43,6,0,0,0,Lightweight,U-DEC,3,5:00
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,TJ Dillashaw,Hugo Viana,1,0,21,11,1,0,0,0,Bantamweight,KO/TKO,1,4:22
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Anthony Njokuani,Roger Bowling,1,0,26,27,0,1,0,0,Lightweight,KO/TKO,2,2:52
UFC on FOX: Henderson vs Melendez,"April 20, 2013","San Jose, California, USA",,Yoel Romero,Clifford Starks,1,0,12,3,0,0,0,0,Middleweight,KO/TKO,1,1:32
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Vitor Belfort,Luke Rockhold,1,0,9,6,0,0,0,0,Middleweight,KO/TKO,1,2:32
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Jacare Souza,Chris Camozzi,0,0,8,4,1,0,1,0,Middleweight,SUB,1,3:37
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Rafael Dos Anjos,Evan Dunham,0,0,66,68,0,3,0,0,Lightweight,U-DEC,3,5:00
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Rafael Natal,Joao Zeferino,0,0,29,14,1,0,0,2,Middleweight,U-DEC,3,5:00
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Nik Lentz,Hacran Dias,1,0,42,40,4,1,0,1,Featherweight,U-DEC,3,5:00
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Francisco Trinaldo,Mike Rio,0,0,5,5,1,1,1,0,Lightweight,SUB,1,3:08
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Gleison Tibau,John Cholish,0,0,21,9,2,0,1,0,Lightweight,SUB,2,2:34
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Paulo Thiago,Michel Prazeres,0,0,46,30,2,3,0,0,Welterweight,U-DEC,3,5:00
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Iuri Alcantara,Iliarde Santos,0,0,19,3,0,0,0,0,Bantamweight,KO/TKO,1,2:31
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Fabio Maldonado,Roger Hollett,0,0,100,29,1,2,0,0,Light Heavyweight,U-DEC,3,5:00
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,John Lineker,Azamat Gashimov,3,0,36,7,0,0,0,0,Flyweight,KO/TKO,2,1:07
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Jussier Formiga,Chris Cariaso,0,0,10,26,4,1,0,1,Flyweight,U-DEC,3,5:00
UFC on FX: Belfort vs. Rockhold,"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",,Lucas Martins,Jeremy Larsen,1,1,39,52,0,2,0,0,Lightweight,KO/TKO,3,0:13
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Jon Jones,Chael Sonnen,0,0,20,6,3,0,0,0,Light Heavyweight,KO/TKO,1,4:33
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Michael Bisping,Alan Belcher,0,0,93,29,0,0,0,0,Middleweight,U-DEC,3,4:31
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Roy Nelson,Cheick Kongo,1,0,2,4,0,0,0,0,Heavyweight,KO/TKO,1,2:03
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Phil Davis,Vinny Magalhaes,0,0,79,29,0,1,0,0,Light Heavyweight,U-DEC,3,5:00
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Jim Miller,Pat Healy,0,0,27,53,1,5,0,2,Lightweight,Overturned,3,4:02
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Rustam Khabilov,Yancy Medeiros,0,0,3,4,1,0,0,0,Lightweight,KO/TKO,1,2:32
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Ovince Saint Preux,Gian Villante,0,0,47,28,0,0,0,0,Light Heavyweight,M-DEC,3,0:33
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Sara McMann,Sheila Gaff,0,0,8,7,2,0,0,0,Women's Bantamweight,KO/TKO,1,4:06
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Bryan Caraway,Johnny Bedford,0,0,43,50,3,0,1,0,Bantamweight,SUB,3,4:44
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Cody McKenzie,Leonard Garcia,0,0,30,15,5,0,4,0,Featherweight,U-DEC,3,5:00
UFC 159: Jones vs Sonnen,"April 27, 2013","Newark, New Jersey, USA",,Steven Siler,Kurt Holobaugh,0,0,50,41,1,1,2,2,Featherweight,U-DEC,3,5:00
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,Cain Velasquez,Antonio Silva,1,0,18,1,0,0,0,0,Heavyweight,KO/TKO,1,1:21
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,Junior Dos Santos,Mark Hunt,2,0,74,29,1,0,0,0,Heavyweight,KO/TKO,3,4:18
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,Glover Teixeira,James Te Huna,0,0,12,8,1,0,1,0,Light Heavyweight,SUB,1,2:38
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,TJ Grant,Gray Maynard,3,0,26,13,0,0,0,0,Lightweight,KO/TKO,1,2:07
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,Donald Cerrone,KJ Noons,0,0,78,42,4,0,0,0,Lightweight,U-DEC,3,5:00
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,Mike Pyle,Rick Story,0,1,33,57,0,3,2,0,Welterweight,S-DEC,3,5:00
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,Dennis Bermudez,Max Holloway,0,0,73,75,4,0,0,0,Featherweight,S-DEC,3,5:00
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,Robert Whittaker,Colton Smith,2,1,53,33,1,0,0,1,Welterweight,KO/TKO,3,0:41
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,Khabib Nurmagomedov,Abel Trujillo,0,0,23,11,21,1,2,0,Lightweight,U-DEC,3,5:00
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,Stephen Thompson,Nah-Shon Burrell,0,0,65,56,2,0,0,0,Welterweight,U-DEC,3,5:00
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,George Roop,Brian Bowles,1,1,44,24,0,0,0,1,Bantamweight,KO/TKO,2,1:43
UFC 160: Velasquez vs Silva 2,"May 25, 2013","Las Vegas, Nevada, USA",,Jeremy Stephens,Estevan Payan,0,0,49,25,6,0,1,1,Featherweight,U-DEC,3,5:00
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Chris Weidman,Anderson Silva,1,0,16,14,1,0,2,0,Middleweight,KO/TKO,2,1:18
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Frankie Edgar,Charles Oliveira,0,0,81,38,2,0,0,1,Featherweight,U-DEC,3,5:00
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Tim Kennedy,Roger Gracie,0,0,54,12,2,2,0,0,Middleweight,U-DEC,3,5:00
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Mark Munoz,Tim Boetsch,0,0,69,23,5,1,2,3,Middleweight,U-DEC,3,5:00
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Cub Swanson,Dennis Siver,1,0,43,26,1,1,0,0,Featherweight,KO/TKO,3,2:24
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Andrew Craig,Chris Leben,0,0,64,30,2,0,0,0,Middleweight,S-DEC,3,5:00
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Norman Parke,Kazuki Tokudome,0,0,68,43,2,1,0,0,Lightweight,U-DEC,3,5:00
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Gabriel Gonzaga,Dave Herman,1,0,3,3,0,0,0,0,Heavyweight,KO/TKO,1,0:17
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Edson Barboza,Rafaello Oliveira,1,0,49,19,0,0,0,0,Lightweight,KO/TKO,2,1:44
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Brian Melancon,Seth Baczynski,1,0,24,13,1,0,0,0,Welterweight,KO/TKO,1,4:59
UFC 162: Silva vs Weidman,"July 06, 2013","Las Vegas, Nevada, USA",,Mike Pierce,David Mitchell,1,0,17,17,0,0,0,0,Welterweight,KO/TKO,2,2:55
UFC on FOX: Johnson vs Dodson,"January 26, 2013","Chicago, Illinois, USA",,Demetrious Johnson,John Dodson,0,1,127,57,5,1,0,0,Flyweight,U-DEC,5,5:00
UFC on FOX: Johnson vs Dodson,"January 26, 2013","Chicago, Illinois, USA",,Glover Teixeira,Quinton Jackson,1,0,80,53,5,0,0,0,Light Heavyweight,U-DEC,3,5:00
UFC on FOX: Johnson vs Dodson,"January 26, 2013","Chicago, Illinois, USA",,Anthony Pettis,Donald Cerrone,1,0,18,4,0,0,0,0,Lightweight,KO/TKO,1,2:35
UFC on FOX: Johnson vs Dodson,"January 26, 2013","Chicago, Illinois, USA",,Ricardo Lamas,Erik Koch,0,0,32,14,2,0,0,0,Featherweight,KO/TKO,2,2:32
UFC on FOX: Johnson vs Dodson,"January 26, 2013","Chicago, Illinois, USA",,TJ Grant,Matt Wiman,1,0,54,18,0,0,0,0,Lightweight,KO/TKO,1,4:51
UFC on FOX: Johnson vs Dodson,"January 26, 2013","Chicago, Illinois, USA",,Clay Guida,Hatsu Hioki,0,0,26,41,3,0,0,1,Featherweight,S-DEC,3,5:00
UFC on FOX: Johnson vs Dodson,"January 26, 2013","Chicago, Illinois, USA",,Pascal Krauss,Mike Stumpf,0,0,163,63,1,2,1,0,Welterweight,U-DEC,3,5:00
