Name,SLpM,Str. Acc,SApM,Str. Def,TD Avg.,TD Acc.,TD Def,Sub. Avg.,First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt
Jim Alers,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Irina Alekseeva,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Jose Aldo,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Lucas Alexander,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Talita Alencar,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Jose Alday,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Hector Aldana,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
JJ Aldrich,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Irene Aldana,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Alfonso Alcarez,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Gilbert Aldana,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Ildemar Alcantara,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Juan Alcain,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Israel Albuquerque,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Iuri Alcantara,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Wes Albritton,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Aleksandra Albu,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Junior Albini,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Brett Albee,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Amir Albazi,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
John Albert,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Javi Alanis,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Alatengheili,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Abdul-Kareem Al-Selwady,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Herdem Alacabek,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Mostapha Al-Turk,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Omari Akhmedov,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Rostem Akman,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Razak Al-Hassan,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Hitomi Akano,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Ashiek Ajim,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Yoshihiro Akiyama,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Mike Aina,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Nick Aguirre,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Kevin Aguilar,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Jessica Aguilar,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Christian Aguilera,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Edwin Aguilar,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Jesus Aguilar,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Fabio Aguiar,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Papy Abedi,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Hiroyuki Abe,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Shamil Abdurakhimov,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Daichi Abe,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Mansur Abdul-Malik,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Hamdy Abdelwahab,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Nariman Abbasov,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
Danny Abbadi,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
David Abbott,,,,,,,,,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:
