First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt
Benardo,Sopaj,Lion King,"5' 6""",135 lbs.,"66.0""",Orthodox,11,3,0,
Emiliano,Sordi,He-Man,"6' 2""",205 lbs.,--,Orthodox,16,7,0,
Sean,Soriano,,"5' 9""",145 lbs.,"70.0""",Orthodox,14,8,0,
Punahele,Soriano,Puna,"5' 11""",170 lbs.,"72.0""",Southpaw,10,4,0,
Dmitry,Sosnovskiy,Wicked Machine,"6' 3""",240 lbs.,"77.0""",Orthodox,11,0,0,
Ben,Sosoli,Combat Wombat,"6' 0""",265 lbs.,"72.0""",Southpaw,7,3,0,
Krzysztof,Soszynski,The Polish Experiment,"6' 1""",205 lbs.,"77.0""",Open Stance,26,12,1,
George,Sotiropoulos,,"5' 10""",155 lbs.,"71.0""",Orthodox,14,7,0,
Greg,Soto,,"5' 11""",170 lbs.,"73.0""",Orthodox,9,4,0,
Alex,Soto,Extremo,"5' 8""",135 lbs.,--,Southpaw,8,3,1,
Joe,Soto,One Bad Mofo,"5' 6""",135 lbs.,"65.0""",Orthodox,18,7,0,
Mario,Soto,Dr. Mario,"6' 0""",145 lbs.,--,,7,2,0,
Andre,Soukhamthath,The Asian Sensation,"5' 9""",135 lbs.,"70.0""",Orthodox,13,8,0,
Mario,Sousa,Coracao Valente,"6' 3""",185 lbs.,"79.0""",Orthodox,15,3,0,
Bobby,Southworth,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,
Jacare,Souza,,"6' 1""",185 lbs.,"72.0""",Orthodox,26,10,0,
Edimilson,Souza,Kevin,"6' 0""",145 lbs.,"74.0""",Orthodox,15,5,0,
Livinha,Souza,The Brazilian Gangsta,"5' 3""",115 lbs.,"63.0""",Orthodox,14,4,0,
Bruno,Souza,The Tiger,"5' 10""",145 lbs.,"70.0""",Orthodox,10,3,0,
Ketlen,Souza,Esquentadinha,"5' 3""",115 lbs.,"63.0""",Orthodox,14,4,0,
Jose Heraldo,Souza,,--,185 lbs.,--,,9,1,1,
Charon,Spain,,"5' 9""",155 lbs.,--,,14,26,0,
Chris,Spang,The Kiss,"6' 2""",170 lbs.,--,Orthodox,6,3,0,
Andreas,Spang,Sweet Swede,"6' 1""",185 lbs.,--,,9,3,0,
Ryan,Spann,Superman,"6' 5""",205 lbs.,"79.0""",Orthodox,21,10,0,
Ron,Sparks,The Monster,"6' 5""",265 lbs.,--,,8,3,0,
Tommy,Speer,,"5' 10""",170 lbs.,"71.0""",Orthodox,21,7,0,
Patrick,Speight,,"6' 1""",170 lbs.,--,Orthodox,7,3,0,
Sean,Spencer,Black Magic,"5' 10""",170 lbs.,"74.0""",Orthodox,12,6,0,
Felicia,Spencer,FeeNom,"5' 6""",145 lbs.,"68.0""",Orthodox,9,3,0,
Sam,Spengler,The Ram,"5' 11""",185 lbs.,--,Orthodox,9,5,0,
Nick,Sperling,,--,135 lbs.,--,,3,4,0,
Mario,Sperry,Zen Machine,"6' 2""",205 lbs.,--,Orthodox,13,4,0,
Eric,Spicely,Zebrinha,"6' 1""",185 lbs.,"73.0""",Orthodox,12,6,0,
Waachiim,Spiritwolf,Native Warrior,"5' 8""",170 lbs.,--,,12,13,1,
Daniel,Spitz,,"6' 7""",245 lbs.,"82.0""",Orthodox,6,3,0,
Serghei,Spivac,Polar Bear,"6' 3""",260 lbs.,"78.0""",Orthodox,16,4,0,
Daniel,Spohn,Dragon,"6' 4""",205 lbs.,"79.0""",Southpaw,15,6,0,
Pete,Spratt,The Secret Weapon,"5' 9""",170 lbs.,--,Orthodox,25,23,0,
Austin,Springer,,"5' 8""",145 lbs.,"71.0""",Orthodox,12,4,0,
Georges,St-Pierre,Rush,"5' 11""",185 lbs.,"76.0""",Orthodox,26,2,0,
Bobby,Stack,,"5' 9""",155 lbs.,--,Orthodox,8,3,0,
Andreas,Stahl,Real Steel,"5' 11""",170 lbs.,--,Orthodox,10,4,0,
Ron,Stallings,The Choir Boy,"6' 2""",170 lbs.,"75.0""",Southpaw,14,8,0,
Cody,Stamann,The Spartan,"5' 6""",135 lbs.,"64.0""",Orthodox,21,7,1,
Cristina,Stanciu,Barbie,"5' 3""",115 lbs.,--,Orthodox,5,2,0,
Brian,Stann,All American,"6' 1""",205 lbs.,"74.0""",Orthodox,12,6,0,
Josh,Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",Orthodox,4,8,0,
Dion,Staring,Soldier,"6' 1""",235 lbs.,--,Orthodox,35,14,0,
Lucas,Stark,,--,155 lbs.,--,,1,5,0,
Clifford,Starks,,"6' 0""",185 lbs.,"78.0""",Orthodox,13,3,0,
Kalib,Starnes,,"6' 3""",185 lbs.,"74.0""",Orthodox,17,11,1,
Laureano,Staropoli,Pepi,"6' 1""",185 lbs.,"71.0""",Orthodox,9,5,0,
Damian,Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,6,0,
Adam,Steele,,--,170 lbs.,--,,0,1,0,
Dominique,Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74.0""",Orthodox,14,9,0,
Ricky,Steele,The Karate Kid,"5' 9""",135 lbs.,"74.0""",Orthodox,6,0,0,
Kody,Steele,,--,170 lbs.,--,,6,0,0,
Eric,Steenberg,,--,155 lbs.,--,,5,1,0,
Steve,Steinbeiss,The Hooligan,"6' 3""",185 lbs.,"75.0""",Orthodox,9,4,0,
Ray,Steinbeiss,Ipswitch Cobra,"5' 11""",170 lbs.,--,Orthodox,14,7,0,
Dmitri,Stepanov,,"6' 3""",217 lbs.,--,Orthodox,0,1,0,
Jeremy,Stephens,Lil' Heathen,"5' 9""",145 lbs.,"71.0""",Orthodox,28,19,0,
Aljamain,Sterling,Funk Master,"5' 7""",145 lbs.,"71.0""",Orthodox,24,4,0,
Marc,Stevens,,"5' 9""",155 lbs.,--,,21,10,0,
Joe,Stevenson,Daddy,"5' 7""",145 lbs.,"70.0""",Orthodox,33,16,0,
Maia,Stevenson,,"5' 4""",115 lbs.,"62.0""",Orthodox,6,5,0,
Luke,Stewart,,"5' 11""",170 lbs.,--,Orthodox,6,3,0,
Darren,Stewart,The Dentist,"6' 0""",205 lbs.,"74.0""",Orthodox,12,8,0,
Kyle,Stewart,Gunz Up,"6' 0""",170 lbs.,"76.0""",Orthodox,11,3,0,
Alex,Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,--,Southpaw,19,11,1,
Tyler,Stinson,The Evolution,"6' 3""",170 lbs.,--,,30,10,0,
Navajo,Stirling,,--,205 lbs.,--,,4,0,0,
Dan,Stittgen,The Anvil,"6' 1""",170 lbs.,--,Orthodox,12,5,0,
Lazar,Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68.0""",Southpaw,12,5,0,
Denis,Stojnic,,"6' 0""",245 lbs.,--,Orthodox,13,3,0,
Julija,Stoliarenko,,"5' 7""",125 lbs.,"66.0""",Orthodox,11,9,2,
Dustin,Stoltzfus,,"6' 0""",185 lbs.,"75.0""",Orthodox,15,6,0,
Niklas,Stolze,Green Mask,"6' 1""",155 lbs.,"74.0""",Switch,12,6,0,
Ken,Stone,,"5' 8""",135 lbs.,"71.0""",Southpaw,11,4,0,
Ryan,Stonitsch,,"5' 9""",170 lbs.,--,Southpaw,8,1,0,
George,Stork,,"5' 10""",185 lbs.,--,,7,9,0,
Rick,Story,The Horror,"5' 9""",170 lbs.,"71.0""",Southpaw,19,9,0,
Darko,Stosic,,"6' 0""",205 lbs.,"76.0""",Orthodox,13,4,0,
Greg,Stott,Ranger,"5' 7""",220 lbs.,--,Southpaw,0,1,0,
Curtis,Stout,,"6' 1""",185 lbs.,--,Southpaw,11,12,1,
Sam,Stout,Hands of Stone,"5' 9""",155 lbs.,"70.0""",Orthodox,20,12,1,
Tim,Stout,,"5' 11""",185 lbs.,--,,12,10,0,
Jesse,Strader,Sui Generis,"5' 7""",135 lbs.,"70.0""",Orthodox,5,3,0,
Gennaro,Strangis,,--,--,--,,0,1,0,
Dave,Strasser,,"5' 10""",170 lbs.,--,Orthodox,25,8,0,
Daniel,Straus,,"5' 7""",145 lbs.,"71.0""",,24,7,0,
Gerald,Strebendt,The Finishing Machine,"5' 9""",155 lbs.,--,Orthodox,9,7,0,
Sean,Strickland,,"6' 1""",185 lbs.,"76.0""",Orthodox,29,6,0,
Mark,Striegl,Mugen,"5' 8""",145 lbs.,"70.0""",Southpaw,18,4,0,
Hans,Stringer,,"6' 3""",205 lbs.,--,Orthodox,22,8,3,
Stefan,Struve,Skyscraper,"6' 11""",265 lbs.,"84.0""",Orthodox,33,13,0,
Josh,Stuart,,"5' 9""",160 lbs.,--,,1,4,0,
Mike,Stumpf,,"5' 10""",170 lbs.,--,,11,4,0,
Kyle,Sturgeon,,"6' 3""",225 lbs.,--,Switch,0,1,0,
Tatiana,Suarez,,"5' 5""",115 lbs.,"66.0""",Southpaw,11,0,0,
Masanori,Suda,,"5' 9""",183 lbs.,--,Orthodox,22,11,3,
Genki,Sudo,Neo-Samurai,"5' 9""",155 lbs.,--,Orthodox,15,4,2,
Lucasz,Sudolski,,"6' 4""",205 lbs.,"75.0""",Orthodox,8,1,0,
Daisuke,Sugie,Amazon,"5' 6""",160 lbs.,--,Orthodox,10,8,1,
Takashi,Sugiura,,"5' 11""",225 lbs.,--,Southpaw,1,3,0,
Naho,Sugiyuma,Sugi Rock,"5' 1""",105 lbs.,--,,12,5,0,
George,Sullivan,The Silencer,"6' 0""",170 lbs.,"73.0""",Orthodox,17,7,0,
Amar,Suloev,,"5' 9""",183 lbs.,--,Orthodox,24,7,0,
Magomed,Sultanakhmedov,,"6' 2""",185 lbs.,--,Southpaw,18,6,0,
Justin,Sumter,,"6' 2""",185 lbs.,"80.0""",Southpaw,7,3,0,
,Sumudaerji,The Tibetan Eagle,"5' 8""",125 lbs.,"72.0""",Southpaw,16,6,0,
Rama,Supandhi,Hellboy,"5' 5""",125 lbs.,"66.0""",Southpaw,8,4,0,
Aji,Susilo,,"5' 10""",155 lbs.,--,,6,4,0,
Jason,Suttie,Nobunaga,"6' 0""",210 lbs.,--,Orthodox,0,1,0,
Joel,Sutton,,"5' 11""",205 lbs.,--,Orthodox,2,4,1,
Chad,Sutton,,"6' 1""",185 lbs.,--,,2,2,0,
Danilo,Suzart,,"6' 0""",260 lbs.,--,Orthodox,9,2,0,
Martin,Svensson,,"6' 1""",155 lbs.,--,,15,6,0,
Daniel,Swain,,"5' 9""",145 lbs.,"70.0""",Orthodox,20,10,1,
Cub,Swanson,,"5' 8""",145 lbs.,"70.0""",Orthodox,29,14,0,
Mike,Swick,Quick,"6' 1""",170 lbs.,"77.0""",Orthodox,15,6,0,
Floyd,Sword,,"6' 0""",185 lbs.,--,Orthodox,12,3,0,
Oumar,Sy,,"6' 4""",205 lbs.,"83.0""",Orthodox,10,0,0,
Bentley,Syler,Bolivia,"5' 4""",125 lbs.,--,Orthodox,5,1,0,
Kevin,Syler,El Nino Bala,"5' 9""",155 lbs.,"71.0""",Switch,10,1,0,
Leo,Sylvest,Lethal,"5' 11""",205 lbs.,--,Orthodox,10,16,0,
Tony,Sylvester,,"6' 1""",225 lbs.,--,Southpaw,11,3,0,
Tim,Sylvia,The Maine-iac,"6' 8""",265 lbs.,"80.0""",Orthodox,31,10,0,
Kevin,Szaflarski,,"6' 5""",260 lbs.,"77.0""",Orthodox,11,2,0,
Bartosz,Szewczyk,,--,205 lbs.,--,,8,2,1,
