,Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time,KD 1,KD 2,Sig. str. 1,Sig. str. 2,Sig. str. % 1,Sig. str. % 2,Total str. 1,Total str. 2,Td % 1,Td % 2,Sub. att 1,Sub. att 2,Rev. 1,Rev. 2,Ctrl 1,Ctrl 2,Ht,Reach,Stance,Career W,Career L,born_year
0,UFC Fight Night: Kattar vs. Ige,2020-07-15,"Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Khamzat Chimaev,John Phillips,0,0,43,1,0 of 0,2 of 2,1,0,Middleweight,SUB,2,1:12,0,0,1 of 2,43 of 52,50%,82%,2 of 3,124 of 140,---,100%,0,1,0,0,0:00,5:54,74.0,75.0,Orthodox,13,0,1994
1,UFC Fight Night: Whittaker vs. Till,2020-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Khamzat Chimaev,Rhys McKee,0,0,40,0,1 of 2,0 of 0,1,0,Welterweight,KO/TKO,1,3:09,0,0,40 of 62,0 of 0,64%,---,68 of 98,0 of 0,50%,---,1,0,0,0,2:59,0:00,74.0,75.0,Orthodox,13,0,1994
2,UFC Fight Night: Covington vs. Woodley,2020-09-19,"Las Vegas, Nevada, USA",win,,Khamzat Chimaev,Gerald Meerschaert,1,0,4,0,0 of 0,0 of 0,0,0,Middleweight,KO/TKO,1,0:17,1,0,4 of 6,0 of 1,66%,0%,4 of 6,0 of 1,---,---,0,0,0,0,0:02,0:00,74.0,75.0,Orthodox,13,0,1994
3,UFC 267: Blachowicz vs. Teixeira,2021-10-30,"Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Khamzat Chimaev,Li Jingliang,0,0,25,0,0 of 0,1 of 2,3,0,Welterweight,SUB,1,3:16,0,0,0 of 1,25 of 25,0%,100%,0 of 1,58 of 62,---,50%,0,3,0,0,0:00,3:01,74.0,75.0,Orthodox,13,0,1994
4,UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,"Jacksonville, Florida, USA",win,,Khamzat Chimaev,Gilbert Burns,1,0,108,119,0 of 5,2 of 3,0,0,Welterweight,U-DEC,3,5:00,0,1,119 of 200,108 of 223,59%,48%,141 of 223,124 of 239,0%,66%,0,0,0,0,0:06,2:23,74.0,75.0,Orthodox,13,0,1994
5,UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",win,,Khamzat Chimaev,Kevin Holland,0,0,0,0,2 of 5,0 of 0,2,0,Catch Weight,SUB,1,2:13,0,0,0 of 1,0 of 0,0%,---,1 of 2,0 of 0,40%,---,2,0,0,0,1:56,0:00,74.0,75.0,Orthodox,13,0,1994
6,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",win,,Khamzat Chimaev,Kamaru Usman,0,0,38,36,0 of 1,4 of 12,1,0,Middleweight,M-DEC,3,5:00,0,0,36 of 66,38 of 70,54%,54%,58 of 92,107 of 143,0%,33%,0,1,0,0,0:04,7:16,74.0,75.0,Orthodox,13,0,1994
