,Event,Date,Location,W/L 1,Fighter 1,Fighter 2,Weight class,Stance 1,Career W 1,Career L 1,born_year 1,W 1,L 1,Num Fights 1,W Perc 1,Sig Strikes 1,Sig Str % 1,Sig Strikes Opp 1,Sig Str % Opp 1,Strikes 1,Str % 1,Strikes Opp 1,Str % Opp 1,TD 1,TD % 1,TD Opp 1,TD % Opp 1,KD Total 1,KD Total Opp 1,DEC 1,KO 1,SUB 1,DEC Opp 1,KO Opp 1,SUB Opp 1,CTRL Total 1,CTRL Total Opp 1,Time Total 1,Streak 1,Ht Diff 1,Reach Diff 1,Age 1,Career Fights 1,Career W Perc 1,W 2,L 2,Num Fights 2,W Perc 2,Sig Strikes 2,Sig Str % 2,Sig Strikes Opp 2,Sig Str % Opp 2,Strikes 2,Str % 2,Strikes Opp 2,Str % Opp 2,TD 2,TD % 2,TD Opp 2,TD % Opp 2,KD Total 2,KD Total Opp 2,DEC 2,KO 2,SUB 2,DEC Opp 2,KO Opp 2,SUB Opp 2,CTRL Total 2,CTRL Total Opp 2,Time Total 2,Streak 2,Career W 2,Career L 2,Career Fights 2,Career W Perc 2,Ht Diff 2,Reach Diff 2,Age 2,Stance 2,born_year 2
0,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23 00:00:00,"London, England, United Kingdom",,Charles Johnson,Muhammad Mokaev,Flyweight,Switch,11,2,1991,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,13.0,84.61538461538461,1,0,1,100,2,40.0,1,20.0,2,20.0,1,10.0,0,0.0,1,100.0,1,0,0,0,1,0,0,0,11,0,58,1,7,0,7.0,100.0,-2,0,22,Orthodox,2000
1,UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19 00:00:00,"Las Vegas, Nevada, USA",win,Charles Johnson,Zhalgas Zhumagulov,Flyweight,Switch,11,3,1991,0,1,1,0,12,54.54545454545454,12,41.37931034482759,71,66.98113207547169,32,38.55421686746988,0,0.0,12,46.15384615384615,0,0,0,0,0,1,0,0,27,704,900,-1,5,4,31,14.0,78.57142857142857,1,4,5,20,203,24.023668639053255,240,24.291497975708502,256,25.832492431886983,344,28.336079077429982,5,18.51851851851852,2,50.0,0,2,0,0,1,3,1,0,400,278,3064,-2,14,7,21.0,66.66666666666666,-5,-4,34,Switch,1988
2,UFC Fight Night: Strickland vs. Imavov,2023-01-14 00:00:00,"Las Vegas, Nevada, USA",win,Charles Johnson,Jimmy Flick,Flyweight,Switch,12,3,1991,1,1,2,50,127,40.317460317460316,131,41.32492113564668,212,38.405797101449274,173,30.08695652173913,0,0.0,13,43.333333333333336,0,0,1,0,0,1,0,0,84,767,1800,1,2,2,32,15.0,80.0,1,0,1,100,6,42.857142857142854,21,65.625,7,24.137931034482758,30,40.0,0,0.0,2,100.0,0,0,0,0,1,0,0,0,0,81,198,1,16,5,21.0,76.19047619047619,-2,-2,33,Orthodox,1990
3,UFC Fight Night: Muniz vs. Allen,2023-02-25 00:00:00,"Las Vegas, Nevada, USA",,Charles Johnson,Ode Osbourne,Catch Weight,Switch,13,3,1991,2,1,3,66,161,26.436781609195403,138,23.46938775510204,256,37.31778425655977,180,29.950083194675543,0,0.0,14,42.42424242424242,0,0,1,1,0,1,0,0,183,791,2073,2,2,-3,32,16.0,81.25,3,3,6,50,145,26.65441176470588,129,22.279792746113987,184,32.33743409490334,160,25.806451612903224,0,0.0,2,22.22222222222222,3,1,1,2,0,0,2,1,173,146,1619,-1,11,5,16.0,68.75,-2,3,31,Southpaw,1992
4,UFC Fight Night: Song vs. Simon,2023-04-29 00:00:00,"Las Vegas, Nevada, USA",,Charles Johnson,Cody Durden,Flyweight,Switch,13,4,1991,2,2,4,50,221,27.183271832718326,186,24.635761589403973,330,34.375,230,25.219298245614034,1,14.285714285714285,17,39.53488372093023,0,0,1,1,0,2,0,0,261,964,2973,-1,2,3,32,17.0,76.47058823529412,3,3,6,50,142,20.02820874471086,174,26.08695652173913,264,32.83582089552239,230,31.550068587105624,14,38.88888888888889,2,40.0,0,2,2,1,0,1,0,2,1541,189,3024,2,14,4,18.0,77.77777777777779,-2,-3,32,Southpaw,1991
5,UFC Fight Night: Allen vs. Craig,2023-11-18 00:00:00,"Las Vegas, Nevada, USA",,Charles Johnson,Rafael Estevam,Flyweight,Switch,13,5,1991,2,3,5,40,273,25.730442978322337,242,23.93669634025717,390,33.33333333333333,310,27.216856892010536,1,14.285714285714285,28,45.90163934426229,0,0,1,1,0,3,0,0,269,1537,3873,-2,1,1,32,18.0,72.22222222222221,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11.0,100.0,-1,-1,27,Orthodox,1996
6,UFC Fight Night: Dolidze vs. Imavov,2024-02-03 00:00:00,"Las Vegas, Nevada, USA",win,Charles Johnson,Azat Maksum,Flyweight,Switch,13,6,1991,2,4,6,33,291,23.990107172300082,314,25.16025641025641,425,32.945736434108525,426,30.234208658623135,4,13.793103448275861,28,45.90163934426229,0,0,1,1,0,4,0,0,832,1580,4773,-3,2,0,33,19.0,68.42105263157895,1,0,1,100,81,38.028169014084504,46,24.33862433862434,98,21.53846153846154,46,12.137203166226913,0,0.0,2,18.181818181818183,0,0,1,0,0,0,0,0,30,22,900,1,17,0,17.0,100.0,-2,0,29,Southpaw,1995
7,UFC Fight Night: Lewis vs. Nascimento,2024-05-11 00:00:00,"St. Louis, Missouri, USA",win,Charles Johnson,Jake Hadley,Flyweight,Switch,14,6,1991,3,4,7,42,329,22.64280798348245,390,25.177533892834088,465,28.721432983323037,507,29.858657243816257,6,16.666666666666664,30,44.776119402985074,1,0,2,1,0,4,0,0,981,1627,5673,1,2,0,33,20.0,70.0,2,2,4,50,124,22.752293577981654,139,25.364963503649633,163,25.038402457757297,199,29.701492537313435,3,37.5,4,66.66666666666666,1,0,0,1,1,2,0,0,794,675,2320,-1,10,2,12.0,83.33333333333334,-2,0,28,Southpaw,1996
8,UFC Fight Night: Namajunas vs. Cortez,2024-07-13 00:00:00,"Denver, Colorado, USA",win,Charles Johnson,Joshua Van,Flyweight,Switch,15,6,1991,4,4,8,50,399,22.32792389479575,438,23.986856516977,553,28.000000000000004,557,28.476482617586914,6,16.666666666666664,30,38.46153846153847,2,0,3,1,0,4,0,0,1000,1759,6573,2,4,5,33,21.0,71.42857142857143,3,0,3,100,342,25.71428571428571,245,25.33609100310238,423,27.255154639175256,266,24.9063670411985,4,40.0,2,18.181818181818183,1,0,2,1,0,0,0,0,207,144,2371,3,10,1,11.0,90.9090909090909,-4,-5,23,Orthodox,2001
9,UFC Fight Night: Barboza vs. Chikadze,2021-08-28 00:00:00,"Las Vegas, Nevada, USA",,Vanessa Demopoulos,JJ Aldrich,Women's Flyweight,Orthodox,6,3,1988,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-8,33,9.0,66.66666666666666,5,3,8,62,425,18.780380026513477,514,20.276134122287967,655,26.57200811359026,598,22.70311313591496,2,22.22222222222222,10,50.0,0,0,5,0,0,2,1,0,264,1383,6781,1,9,4,13.0,69.23076923076923,3,8,29,Southpaw,1992
10,UFC 270: Ngannou vs. Gane,2022-01-22 00:00:00,"Anaheim, California, USA",win,Vanessa Demopoulos,Silvana Gomez Juarez,Women's Strawweight,Orthodox,6,4,1988,0,1,1,0,70,43.20987654320987,93,69.40298507462687,87,25.072046109510087,121,40.468227424749166,0,0.0,1,50.0,0,0,0,0,0,1,0,0,113,259,900,-1,-1,-6,34,10.0,60.0,0,1,1,0,3,23.076923076923077,11,84.61538461538461,3,11.538461538461538,18,54.54545454545454,0,0.0,5,83.33333333333334,0,0,0,0,0,0,0,1,0,207,254,-1,10,3,13.0,76.92307692307693,1,6,38,Orthodox,1984
11,UFC Fight Night: Tsarukyan vs. Gamrot,2022-06-25 00:00:00,"Las Vegas, Nevada, USA",win,Vanessa Demopoulos,Jinh Yu Frey,Women's Strawweight,Orthodox,7,4,1988,1,1,2,50,80,21.91780821917808,97,31.189710610932476,97,25.326370757180154,125,38.69969040247678,0,0.0,1,50.0,1,0,0,0,1,1,0,0,184,259,1045,1,-1,-6,34,11.0,63.63636363636363,2,2,4,50,171,29.84293193717277,226,26.872770511296075,206,27.140974967061926,274,25.32347504621072,1,20.0,4,17.391304347826086,0,0,2,0,0,1,0,1,168,968,3446,2,11,6,17.0,64.70588235294117,1,6,37,Southpaw,1985
12,UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19 00:00:00,"Las Vegas, Nevada, USA",win,Vanessa Demopoulos,Maria Oliveira,Women's Strawweight,Orthodox,8,4,1988,2,1,3,66,146,27.969348659003828,159,34.868421052631575,168,25.225225225225223,206,33.825944170771756,1,8.333333333333332,1,33.33333333333333,1,0,1,0,1,1,0,0,438,270,1945,2,-4,-10,34,12.0,66.66666666666666,1,1,2,50,162,23.75366568914956,167,32.6171875,189,19.18781725888325,219,30.543933054393307,2,50.0,7,50.0,0,0,1,0,0,1,0,0,96,447,1800,1,13,5,18.0,72.22222222222221,4,10,26,Orthodox,1996
13,UFC Fight Night: Dern vs. Hill,2023-05-20 00:00:00,"Las Vegas, Nevada, USA",,Vanessa Demopoulos,Karolina Kowalkiewicz,Women's Strawweight,Orthodox,9,4,1988,3,1,4,75,201,26.943699731903486,242,31.716906946264743,289,32.111111111111114,301,32.400430570505925,3,18.75,1,33.33333333333333,2,0,2,0,1,1,0,0,917,271,2845,3,-1,-5,35,13.0,69.23076923076923,7,7,14,50,1005,20.40609137055838,940,20.828717039663193,1248,24.209505334626577,1186,24.811715481171547,14,37.83783783783784,3,10.714285714285714,0,1,6,0,1,4,1,2,1769,1379,10714,2,14,7,21.0,66.66666666666666,1,5,38,Orthodox,1985
14,UFC Fight Night: Dawson vs. Green,2023-10-07 00:00:00,"Las Vegas, Nevada, USA",win,Vanessa Demopoulos,Kanako Murata,Women's Strawweight,Orthodox,9,5,1988,3,2,5,60,269,23.996431757359503,381,32.675814751286445,372,27.393225331369663,449,31.731448763250885,3,15.0,1,33.33333333333333,2,0,2,0,1,2,0,0,917,383,3745,-1,1,-3,35,14.0,64.28571428571429,1,1,2,50,65,30.952380952380953,52,28.57142857142857,76,25.938566552901023,105,45.65217391304348,0,0.0,4,40.0,0,0,1,0,0,0,1,0,46,715,1500,-1,12,2,14.0,85.71428571428571,-1,3,30,Orthodox,1993
15,UFC Fight Night: Barboza vs. Murphy,2024-05-18 00:00:00,"Las Vegas, Nevada, USA",win,Vanessa Demopoulos,Emily Ducote,Women's Strawweight,Orthodox,10,5,1988,4,2,6,66,300,21.082220660576247,415,28.05949966193374,458,29.227823867262288,519,32.539184952978054,3,14.285714285714285,6,66.66666666666666,2,0,3,0,1,2,0,0,959,993,4645,1,0,-4,36,15.0,66.66666666666666,2,2,4,50,368,22.899813316739266,527,28.272532188841204,382,20.286776420605417,543,26.143476167549352,1,6.25,1,20.0,0,0,2,0,0,2,0,0,22,14,3600,1,13,8,21.0,61.904761904761905,0,4,30,Orthodox,1994
16,UFC Fight Night: Arlovski vs. Barnett,2016-09-03 00:00:00,"Hamburg, Hamburg, Germany",,Veronica Hardy,Ashlee Evans-Smith,Women's Bantamweight,Southpaw,5,0,1995,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-3,21,5.0,100.0,1,1,2,50,64,33.86243386243386,60,24.59016393442623,80,24.169184290030213,73,15.869565217391305,2,66.66666666666666,2,50.0,0,0,1,0,0,0,0,1,200,132,1199,1,4,1,5.0,80.0,4,3,29,Orthodox,1987
17,UFC Fight Night: Maia vs. Usman,2018-05-19 00:00:00,"Santiago, Chile",,Veronica Hardy,Andrea Lee,Women's Flyweight,Southpaw,5,1,1995,0,1,1,0,23,56.09756097560976,73,63.47826086956522,34,35.78947368421053,114,41.15523465703971,0,0.0,2,40.0,0,0,0,0,0,0,1,0,109,361,766,-1,-2,-5,23,6.0,83.33333333333334,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10.0,80.0,2,5,29,Orthodox,1989
18,UFC Fight Night: Blachowicz vs. Santos,2019-02-23 00:00:00,"Prague, Czech Republic",,Veronica Hardy,Gillian Robertson,Women's Flyweight,Southpaw,5,2,1995,0,2,2,0,79,42.02127659574468,97,27.714285714285715,121,37.93103448275862,156,34.66666666666667,3,60.0,3,50.0,0,0,0,0,0,1,1,0,593,464,1666,-2,-1,1,24,7.0,71.42857142857143,2,1,3,66,30,21.12676056338028,30,22.55639097744361,47,27.810650887573964,35,21.084337349397593,4,50.0,0,0.0,0,0,0,0,2,0,0,1,483,49,852,-1,5,3,8.0,62.5,1,-1,24,Orthodox,1995
19,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10 00:00:00,"Montevideo, Uruguay",win,Veronica Hardy,Polyana Viana,Women's Flyweight,Southpaw,5,3,1995,0,3,3,0,84,25.688073394495415,120,24.43991853360489,131,38.41642228739003,191,34.72727272727273,5,55.55555555555556,4,57.14285714285714,0,0,0,0,0,1,1,1,860,574,2173,-3,-1,-3,24,8.0,62.5,1,2,3,33,113,31.301939058171747,135,25.423728813559322,152,27.992633517495396,236,30.76923076923077,1,50.0,2,28.57142857142857,1,0,0,0,1,2,0,0,724,168,2030,-2,10,3,13.0,76.92307692307693,1,3,27,Orthodox,1992
20,UFC Fight Night: Lee vs. Oliveira,2020-03-14 00:00:00,"Brasilia, Distrito Federal, Brazil",,Veronica Hardy,Bea Malecki,Women's Bantamweight,Southpaw,6,3,1995,1,3,4,25,85,24.853801169590643,121,21.880650994575046,132,38.48396501457726,192,34.53237410071942,5,55.55555555555556,5,62.5,0,0,0,0,1,1,1,1,864,617,2242,1,-5,-10,25,9.0,66.66666666666666,1,0,1,100,19,26.76056338028169,42,39.62264150943396,30,19.607843137254903,48,22.018348623853214,0,0.0,3,60.0,0,0,0,0,1,0,0,0,69,155,419,1,3,0,3.0,100.0,5,10,29,Orthodox,1991
21,UFC 286: Edwards vs. Usman 3,2023-03-18 00:00:00,"London, England, United Kingdom",win,Veronica Hardy,Juliana Miller,Women's Flyweight,Southpaw,6,4,1995,1,4,5,20,215,36.440677966101696,214,26.289926289926292,322,35.1528384279476,298,27.46543778801843,5,55.55555555555556,5,29.411764705882355,0,0,0,0,1,2,1,1,1068,629,3142,-1,-3,-2,28,10.0,60.0,1,0,1,100,30,62.5,54,63.52941176470588,52,42.62295081967213,110,45.643153526970956,0,0.0,4,100.0,0,0,0,1,0,0,0,0,76,580,837,1,4,1,5.0,80.0,3,2,27,Orthodox,1996
22,UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02 00:00:00,"Austin, Texas, USA",win,Veronica Hardy,Jamey-Lyn Horth,Women's Flyweight,Southpaw,7,4,1995,2,4,6,33,245,24.623115577889447,276,23.752151462994835,371,33.94327538883806,376,29.912490055688146,5,41.66666666666667,9,42.857142857142854,0,0,1,0,1,2,1,1,1147,1085,4042,1,-3,-2,28,11.0,63.63636363636363,1,0,1,100,63,42.0,76,73.07692307692307,85,26.31578947368421,99,42.672413793103445,2,25.0,0,0.0,0,0,1,0,0,0,0,0,290,67,900,1,6,0,6.0,100.0,3,2,33,Orthodox,1990
23,UFC Fight Night: Lewis vs. Nascimento,2024-05-11 00:00:00,"St. Louis, Missouri, USA",win,Veronica Hardy,JJ Aldrich,Women's Flyweight,Southpaw,8,4,1995,3,4,7,42,288,24.120603015075375,319,23.735119047619047,432,32.82674772036474,450,30.63308373042886,6,42.857142857142854,10,41.66666666666667,0,0,2,0,1,2,1,1,1241,1324,4942,2,-1,-3,29,12.0,66.66666666666666,9,5,14,64,737,20.038064165307233,897,21.336822074215036,1043,26.83303318754824,1067,24.5852534562212,8,22.857142857142858,13,35.13513513513514,0,0,8,1,0,3,1,1,926,1928,11428,2,13,6,19.0,68.42105263157895,1,3,32,Southpaw,1992
24,UFC Fight Night: Cannonier vs. Imavov,2024-06-08 00:00:00,"Louisville, Kentucky, USA",win,Puja Tomar,Rayanne dos Santos,Women's Strawweight,Southpaw,8,4,1993,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,31,12.0,66.66666666666666,0,1,1,0,36,22.929936305732486,57,43.84615384615385,48,14.414414414414415,80,27.972027972027973,1,11.11111111111111,0,0.0,0,0,0,0,0,1,0,0,164,14,900,-1,14,7,21.0,66.66666666666666,-2,3,29,Orthodox,1995
25,UFC Fight Night: Andrade vs. Zhang,2019-08-31 00:00:00,"Shenzhen, Guangdong, China",win,Alatengheili,Batgerel Danaa,Bantamweight,Orthodox,12,6,1991,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,28,18.0,66.66666666666666,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10.0,90.0,2,4,30,Orthodox,1989
26,UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21 00:00:00,"Busan, South Korea",win,Alatengheili,Ryan Benoit,Bantamweight,Orthodox,13,6,1991,1,0,1,100,36,40.44943820224719,85,36.95652173913043,63,28.37837837837838,119,23.847695390781563,3,42.857142857142854,0,0.0,0,0,1,0,0,0,0,0,171,6,900,1,0,-2,28,19.0,68.42105263157895,3,3,6,50,157,20.33678756476684,185,18.68686868686869,193,22.26066897347174,302,27.655677655677657,1,14.285714285714285,13,39.39393939393939,3,1,1,2,0,1,0,2,341,1022,3678,1,10,5,15.0,66.66666666666666,0,2,30,Orthodox,1989
27,UFC Fight Night: Holm vs. Aldana,2020-10-03 00:00:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,Alatengheili,Casey Kenney,Bantamweight,Orthodox,14,6,1991,2,0,2,100,83,23.512747875354105,153,24.401913875598087,135,26.31578947368421,203,26.295336787564764,7,35.0,0,0.0,0,0,2,0,0,0,0,0,371,6,1800,2,-2,-2,29,20.0,70.0,3,1,4,75,135,19.794721407624632,152,26.95035460992908,213,29.379310344827587,181,29.383116883116884,22,56.41025641025641,4,80.0,0,0,2,0,1,1,0,0,1103,715,2883,1,14,2,16.0,87.5,2,2,29,Southpaw,1991
28,UFC Fight Night: Smith vs. Spann,2021-09-18 00:00:00,"Las Vegas, Nevada, USA",draw,Alatengheili,Gustavo Lopez,Bantamweight,Orthodox,14,7,1991,2,1,3,66,129,18.859649122807017,262,25.31400966183575,181,21.169590643274855,312,24.03697996918336,7,35.0,0,0.0,0,0,2,0,0,1,0,0,371,6,2700,-1,0,-1,30,21.0,66.66666666666666,1,2,3,33,63,20.723684210526315,131,26.252505010020037,105,29.577464788732392,169,28.07308970099668,2,50.0,13,72.22222222222221,0,2,0,0,1,1,1,0,68,558,1690,-1,12,5,17.0,70.58823529411765,0,1,32,Orthodox,1989
29,UFC Fight Night: Luque vs. Muhammad,2022-04-16 00:00:00,"Las Vegas, Nevada, USA",win,Alatengheili,Kevin Croom,Bantamweight,Orthodox,14,8,1991,2,2,4,50,165,16.95786228160329,306,21.656050955414013,218,19.945105215004574,359,23.433420365535248,7,33.33333333333333,3,27.27272727272727,0,0,2,0,0,2,0,0,377,129,3600,-2,-6,-7,31,22.0,63.63636363636363,0,2,2,0,76,26.027397260273972,86,32.33082706766917,109,21.88755020080321,164,42.159383033419026,1,5.88235294117647,7,77.77777777777779,0,1,0,0,0,2,0,0,499,610,1800,-2,21,14,35.0,60.0,6,7,35,Orthodox,1987
30,UFC 279: Diaz vs. Ferguson,2022-09-10 00:00:00,"Las Vegas, Nevada, USA",win,Alatengheili,Chad Anheliger,Bantamweight,Orthodox,15,8,1991,3,2,5,60,174,15.675675675675677,308,19.94818652849741,227,20.141969831410826,361,23.20051413881748,7,33.33333333333333,3,27.27272727272727,1,0,2,1,0,2,0,0,378,129,3647,1,-1,2,31,23.0,65.21739130434783,1,0,1,100,67,51.53846153846153,64,50.79365079365079,92,32.16783216783217,73,27.969348659003828,0,0.0,4,57.14285714285714,2,0,0,1,0,0,0,0,80,200,813,1,12,5,17.0,70.58823529411765,1,-2,36,Orthodox,1986
31,UFC Fight Night: Yusuff vs. Barboza,2023-10-14 00:00:00,"Las Vegas, Nevada, USA",,Alatengheili,Chris Gutierrez,Bantamweight,Orthodox,16,8,1991,4,2,6,66,213,16.771653543307085,357,21.16182572614108,283,19.74877878576413,421,22.942779291553133,7,33.33333333333333,5,38.46153846153847,1,0,3,1,0,2,0,0,378,212,4547,2,-4,-1,32,24.0,66.66666666666666,7,3,10,70,482,26.912339475153544,406,20.874035989717225,537,27.8816199376947,574,26.910454758556025,4,25.0,8,29.629629629629626,3,3,4,3,0,2,0,1,366,1385,7094,-1,19,5,24.0,79.16666666666666,4,1,32,Orthodox,1991
32,UFC Fight Night: Barboza vs. Murphy,2024-05-18 00:00:00,"Las Vegas, Nevada, USA",win,Alatengheili,Kleydson Rodrigues,Bantamweight,Orthodox,16,9,1991,4,3,7,57,251,16.02809706257982,467,22.98228346456693,322,18.941176470588236,536,23.982102908277405,9,36.0,5,38.46153846153847,1,0,3,1,0,3,0,0,429,220,5447,-1,0,-1,33,25.0,64.0,1,2,3,33,79,21.703296703296704,99,28.205128205128204,181,46.41025641025641,134,34.62532299741602,0,0.0,4,33.33333333333333,0,1,0,1,0,1,0,1,290,389,1214,-1,8,3,11.0,72.72727272727273,0,1,29,Orthodox,1995
33,UFC 237: Namajunas vs. Andrade,2019-05-11 00:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",win,Luana Carolina,Priscila Cachoeira,Women's Flyweight,Orthodox,5,1,1993,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,26,6.0,83.33333333333334,0,2,2,0,77,29.72972972972973,202,35.815602836879435,80,16.096579476861166,340,44.50261780104712,0,0.0,4,30.76923076923077,0,0,0,0,0,1,0,1,66,586,1465,-2,8,2,10.0,80.0,1,-4,31,Orthodox,1988
34,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18 00:00:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,Luana Carolina,Ariane da Silva,Women's Flyweight,Orthodox,6,1,1993,1,0,1,100,111,48.05194805194805,69,46.308724832214764,126,26.141078838174277,69,23.154362416107382,0,0.0,0,0.0,1,0,1,0,0,0,0,0,160,0,900,1,0,2,27,7.0,85.71428571428571,1,2,3,33,192,23.558282208588956,168,17.3374613003096,353,33.97497593840231,279,25.43299908842297,3,100.0,3,50.0,1,0,1,0,0,2,0,0,770,557,2700,1,12,5,17.0,70.58823529411765,0,-2,26,Orthodox,1994
35,UFC Fight Night: Reyes vs. Prochazka,2021-05-01 00:00:00,"Las Vegas, Nevada, USA",win,Luana Carolina,Poliana Botelho,Women's Flyweight,Orthodox,6,2,1993,1,1,2,50,113,23.25102880658436,72,23.841059602649008,128,26.122448979591837,80,25.477707006369428,0,0.0,0,0.0,1,0,1,0,0,0,0,1,160,67,988,-1,-2,2,28,8.0,75.0,3,2,5,60,111,18.718381112984822,195,24.3142144638404,252,38.53211009174312,450,46.728971962616825,0,0.0,8,61.53846153846154,1,0,2,1,0,1,0,1,867,1155,3021,-1,8,3,11.0,72.72727272727273,2,-2,33,Orthodox,1988
36,UFC Fight Night: Ladd vs. Dumont,2021-10-16 00:00:00,"Las Vegas, Nevada, USA",win,Luana Carolina,Loopy Godinez,Women's Flyweight,Orthodox,7,2,1993,2,1,3,66,147,26.87385740402194,97,26.944444444444443,215,32.62518968133536,180,36.734693877551024,1,25.0,0,0.0,1,0,2,0,0,0,0,1,439,395,1888,1,4,8,28,9.0,77.77777777777779,1,1,2,50,51,26.42487046632124,34,13.178294573643413,86,40.375586854460096,101,37.269372693726936,8,53.333333333333336,1,14.285714285714285,0,0,0,0,1,1,0,0,457,270,1154,1,6,1,7.0,85.71428571428571,-4,-8,28,Orthodox,1993
37,UFC Fight Night: Volkov vs. Aspinall,2022-03-19 00:00:00,"London, England, United Kingdom",,Luana Carolina,Molly McCann,Women's Flyweight,Orthodox,8,2,1993,3,1,4,75,170,23.842917251051894,150,25.125628140703515,260,32.953105196451205,266,36.043360433604335,3,15.789473684210526,0,0.0,1,0,3,0,0,0,0,1,896,447,2788,2,2,7,29,10.0,80.0,4,3,7,57,518,23.07349665924276,505,22.51448952296032,604,23.96825396825397,588,22.46847535345816,21,47.72727272727273,5,38.46153846153847,0,0,4,0,0,2,0,1,1520,729,5825,1,11,4,15.0,73.33333333333333,-2,-7,32,Orthodox,1990
38,UFC 286: Edwards vs. Usman 3,2023-03-18 00:00:00,"London, England, United Kingdom",,Luana Carolina,Joanne Wood,Women's Flyweight,Orthodox,8,3,1993,3,2,5,60,234,25.407166123778502,235,26.198439241917505,336,31.549295774647888,365,34.08029878618114,3,15.789473684210526,2,50.0,1,1,3,0,0,0,1,1,923,717,3500,-1,0,4,30,11.0,72.72727272727273,7,8,15,46,927,21.935636535731188,848,22.481442205726403,1384,32.25355395012818,1203,31.262993762993762,16,53.333333333333336,13,41.935483870967744,3,2,5,1,1,3,0,5,2167,1725,9424,-3,15,8,23.0,65.21739130434783,0,-4,38,Orthodox,1985
39,UFC Fight Night: Strickland vs. Magomedov,2023-07-01 00:00:00,"Las Vegas, Nevada, USA",win,Luana Carolina,Ivana Petrovic,Women's Flyweight,Orthodox,8,4,1993,3,3,6,50,334,26.424050632911396,366,28.17551963048499,459,30.888290713324363,542,34.36905516804059,3,15.789473684210526,4,50.0,1,1,3,0,0,1,1,1,965,827,4400,-2,-2,-1,30,12.0,66.66666666666666,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6.0,100.0,2,1,29,Southpaw,1994
40,UFC Fight Night: Dolidze vs. Imavov,2024-02-03 00:00:00,"Las Vegas, Nevada, USA",win,Luana Carolina,Julija Stoliarenko,Women's Flyweight,Orthodox,9,4,1993,4,3,7,57,356,22.997416020671835,407,24.459134615384613,536,32.09580838323353,654,35.71818678317859,5,20.0,5,45.45454545454545,1,1,4,0,0,1,1,1,1216,1172,5300,1,-1,3,31,13.0,69.23076923076923,2,5,7,28,228,20.24866785079929,260,19.41747572815534,333,29.15936952714536,588,42.98245614035088,1,20.0,6,37.5,0,0,0,0,2,3,1,1,543,1613,3971,1,11,8,19.0,57.89473684210527,1,-3,31,Orthodox,1993
41,UFC Fight Night: Lemos vs. Jandiroba,2024-07-20 00:00:00,"Las Vegas, Nevada, USA",win,Luana Carolina,Lucie Pudilova,Women's Flyweight,Orthodox,10,4,1993,5,3,8,62,422,23.366555924695458,423,22.380952380952383,674,33.1041257367387,675,34.47395301327886,7,25.0,6,37.5,1,1,4,1,0,1,1,1,1543,1399,6192,2,-2,2,31,14.0,71.42857142857143,3,7,10,30,482,17.540029112081516,534,22.928295405753545,763,26.058743169398905,717,29.924874791318867,7,24.137931034482758,7,43.75,0,2,2,1,0,6,0,1,1638,2032,8124,-2,14,9,23.0,60.86956521739131,2,-2,30,Orthodox,1994
