,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
51,Yaotzin Meza,100.0,Damian Stasiak,-140.0,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
52,Bart Palaszewski,-190.0,Cole Miller,150.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
53,Bristol Marunde,-105.0,Clint Hester,-135.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
54,Cat Zingano,135.0,Miesha Tate,-175.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
55,Daniel Pineda,-115.0,Justin Lawrence,-125.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
56,Dylan Andrews,-160.0,Jimmy Quinlan,120.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
57,Gabriel Gonzaga,160.0,Travis Browne,-210.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
58,Josh Samman,-300.0,Kevin Casey,220.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
59,Kelvin Gastelum,220.0,Urijah Hall,-300.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
60,Luke Barnatt,-110.0,Collin Hart,-130.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
61,Maximo Blanco,-265.0,Sam Sicilia,185.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
62,Robert McDaniel,-215.0,Gilbert Smith,165.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
63,Scott Jorgensen,300.0,Urijah Faber,-420.0,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
64,Alan Jouban,-155.0,Dwight Grant,115.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
65,Alexandre Pantoja,-245.0,Wilson Reis,175.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
66,Andre Soukhamthath,-350.0,Montel Jackson,250.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
67,Belal Muhammad,135.0,Curtis Millender,-175.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
68,Boston Salmon,-150.0,Khalid Taha,110.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
69,Brandon Davis,-105.0,Randy Costa,-135.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
70,Dustin Poirier,170.0,Max Holloway,-230.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
71,Eryk Anders,-165.0,Khalil Rountree Jr,125.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
72,Israel Adesanya,-220.0,Kelvin Gastelum,185.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
73,Jalin Turner,-165.0,Matt Frevola,125.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
74,Lauren Mueller,125.0,Poliana Botelho,-165.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
75,Max Griffin,165.0,Zelim Imadaev,-215.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
76,Nikita Krylov,115.0,Ovince St Preux,-155.0,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
77,Jalin Turner,-130.0,Renato Moicano,110.0,UFC,Apr 13th 2024
78,Jessica Andrade,-175.0,Marina Rodriguez,145.0,UFC,Apr 13th 2024
79,Jim Miller,180.0,Bobby Green,-218.0,UFC,Apr 13th 2024
80,Alessio Sakara,300.0,Brian Stann,-390.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
81,Alexander Gustafsson,-210.0,Thiago Silva,160.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
82,Besam Yousef,230.0,Simeon Thoresen,-290.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
83,Brad Pickett,-220.0,Damacio Page,180.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
84,Cyrille Diabate,160.0,Tom Deblass,-195.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
85,Dennis Siver,170.0,Diego Nunes,-230.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
86,Eric Wisely,-180.0,Jason Young,150.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
87,Francis Carmont,-240.0,Magnus Cedenblad,180.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
88,James Head,210.0,Papy Abedi,-270.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
89,John Maguire,-140.0,Damarques Johnson,120.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
90,Paulo Thiago,-390.0,Siyar Bahadurzada,270.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
91,Reza Madadi,-225.0,Yoislandy Izquierdo,175.0,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 14th 2012
92,Adam Wieczorek,110.0,Arjan Bhullar,-150.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
93,Alejandro Perez,-150.0,Matthew Lopez,110.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
94,Alex Oliveira,-160.0,Carlos Condit,120.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
95,Antonio Carlos Junior,-260.0,Tim Boetsch,220.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
96,Brad Tavares,-190.0,Krzysztof Jotko,165.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
97,Cortney Casey,-120.0,Michelle Waterson-Gomez,-120.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
98,Dan Moret,325.0,Gilbert Burns,-475.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
99,Dhiego Lima,-120.0,Yushin Okami,-120.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
100,Dustin Poirier,-130.0,Justin Gaethje,-110.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
101,Israel Adesanya,-260.0,Marvin Vettori,180.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
102,John Moraga,145.0,Wilson Reis,-170.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
103,Lauren Mueller,-190.0,Shana Dobson,150.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
104,Luke Sanders,-310.0,Patrick Williams,230.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
105,Muslim Salikhov,-260.0,Ricky Rainey,180.0,UFC on FOX 29: Poirier vs. Gaethje,Apr 14th 2018
106,Aleksandar Rakic,-170.0,Jiri Prochazka,142.0,UFC 300,Apr 14th 2024
107,Alex Pereira,-163.0,Jamahal Hill,130.0,UFC 300,Apr 14th 2024
108,Aljamain Sterling,-142.0,Calvin Kattar,120.0,UFC 300,Apr 14th 2024
109,Arman Tsarukyan,100.0,Charles Oliveira,-120.0,UFC 300,Apr 14th 2024
110,Bo Nickal,-1100.0,Cody Brundage,700.0,UFC 300,Apr 14th 2024
111,Diego Lopes,-180.0,Sodiq Yusuff,140.0,UFC 300,Apr 14th 2024
112,Holly Holm,250.0,Kayla Harrison,-310.0,UFC 300,Apr 14th 2024
113,Max Holloway,225.0,Justin Gaethje,-278.0,UFC 300,Apr 14th 2024
114,Yan Xiaonan,260.0,Zhang Weili,-325.0,UFC 300,Apr 14th 2024
115,Alexander Volkov,-140.0,Roy Nelson,100.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
116,Aljamain Sterling,-215.0,Augusto Mendes,165.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
117,Andrew Sanchez,-210.0,Anthony Smith,160.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
118,Demetrious Johnson,-1050.0,Wilson Reis,550.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
119,Devin Clark,-150.0,Jake Collier,110.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
120,Jeremy Stephens,-165.0,Renato Moicano,125.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
121,Ketlen Vieira,130.0,Ashlee Evans-Smith,-170.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
122,Louis Smolka,170.0,Tim Elliott,-230.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
123,Nathan Coy,200.0,Zak Cummings,-280.0,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
