,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
1278,UFC Fight Night 74: Holloway vs. Oliveira,Aug 2015,Chris Beal,Chris Kelades,-185.0,145.0
1279,UFC Fight Night 74: Holloway vs. Oliveira,Aug 2015,Daniel Jolly,Misha Cirkunov,250.0,-350.0
1280,UFC Fight Night 74: Holloway vs. Oliveira,Aug 2015,Elias Silverio,Shane Campbell,-185.0,145.0
1281,UFC Fight Night 74: Holloway vs. Oliveira,Aug 2015,Erick Silva,Neil Magny,-150.0,110.0
1282,UFC Fight Night 74: Holloway vs. Oliveira,Aug 2015,Felipe Arantes,Yves Jabouin,-175.0,135.0
1284,UFC Fight Night 74: Holloway vs. Oliveira,Aug 2015,Frankie Perez,Sam Stout,-110.0,-130.0
1285,UFC Fight Night 74: Holloway vs. Oliveira,Aug 2015,Marcos Rogerio de Lima,Nikita Krylov,-150.0,110.0
1286,UFC Fight Night 74: Holloway vs. Oliveira,Aug 2015,Maryna Moroz,Valerie Letourneau,-170.0,130.0
1291,UFC Fight Night 74: Holloway vs. Oliveira,Aug 2015,Patrick Cote,Josh Burkman,110.0,-150.0
1294,UFC Fight Night 74: Holloway vs. Oliveira,Aug 2015,Tony Sims,Olivier Aubin-Mercier,125.0,-165.0
1297,Road to UFC,Aug 2024,Angad Bisht,Dong Hoon Choi,250.0,-350.0
1298,Road to UFC,Aug 2024,Daermisi Zhawupasi,Su Young You,-150.0,110.0
1299,Road to UFC,Aug 2024,Danni McCormack,Qihui Yan,130.0,-175.0
1300,UFC,Aug 2024,Danny Silva,Dennis Buzukja,-250.0,200.0
1301,Road to UFC,Aug 2024,Kiru Singh Sahota,Ruel Panales,-450.0,300.0
1302,Road to UFC,Aug 2024,Masuto Kawana,Bin Xie,150.0,-200.0
1303,Road to UFC,Aug 2024,Miki Motono,Xiaocan Feng,175.0,-250.0
1305,Road to UFC,Aug 2024,Samandar Murodov,Jonathan Piersma,-1000.0,500.0
1306,Road to UFC,Aug 2024,Shin Haraguchi,Kangjie Zhu,-225.0,163.0
1307,Road to UFC,Aug 2024,Tokitaka Nakanishi,Balgyn Jenisuly,-110.0,-120.0
1308,UFC,Aug 2024,Victoria Leonardo,Cong Wang,-198.0,164.0
1309,UFC,Aug 2024,Victoria Leonardo,Wang Cong,430.0,-670.0
1310,UFC 74: Respect,Aug 2007,Clay Guida,Marcus Aurelio,-120.0,-120.0
1311,UFC 74: Respect,Aug 2007,Kendall Grove,Patrick Cote,-320.0,240.0
1313,UFC 74: Respect,Aug 2007,Renato Sobral,David Heath,-300.0,220.0
1314,UFC 74: Respect,Aug 2007,Roger Huerta,Alberto Crane,-475.0,325.0
1315,UFC 74: Respect,Aug 2007,Ryan Jensen,Thales Leites,180.0,-240.0
1316,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,Andrew Sanchez,Markus Perez,120.0,-160.0
1317,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,Angela Hill,Cortney Casey,-175.0,135.0
1318,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,Bryan Barberena,Jake Ellenberger,-285.0,205.0
1320,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,Cory Sandhagen,Iuri Alcantara,135.0,-175.0
1321,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,Drew Dober,Jon Tuck,-175.0,135.0
1322,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,Eryk Anders,Tim Williams,-280.0,200.0
1323,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,George Sullivan,Mickey Gall,175.0,-245.0
1326,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,James Krause,Warlley Alves,170.0,-230.0
1327,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,James Vick,Justin Gaethje,-115.0,-115.0
1328,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,John Moraga,Deiveson Figueiredo,-105.0,-135.0
1330,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,Kalindra Faria,Joanne Calderwood,145.0,-185.0
1331,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,Luke Sanders,Rani Yahya,165.0,-215.0
1333,UFC Fight Night 135: Gaethje vs. Vick,Aug 2018,Michael Johnson,Andre Fili,-165.0,125.0
1337,UFC,Aug 2024,Angela Hill,Tabatha Ricci,124.0,-148.0
1338,UFC,Aug 2024,Caio Borralho,Jared Cannonier,-145.0,122.0
1339,UFC,Aug 2024,Dennis Buzukja,Francis Marshall,114.0,-146.0
1340,UFC,Aug 2024,Edmen Shahbazyan,Gerald Meerschaert,-148.0,124.0
1343,UFC,Aug 2024,Jacqueline Cavalcanti,Josiane Nunes,145.0,-175.0
1344,UFC,Aug 2024,James Llontop,Viacheslav Borshchev,164.0,-198.0
1346,UFC,Aug 2024,Jose Medina,Zach Reese,280.0,-355.0
1348,UFC,Aug 2024,Michael Morales,Neil Magny,-218.0,180.0
1352,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Alex Caceres,Giga Chikadze,150.0,-180.0
1353,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Anthony Smith,Ryan Spann,110.0,-138.0
1354,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Chan Sung Jung,Max Holloway,500.0,-704.0
1355,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Chidi Njokuani,Michar Oleksiejczuk,100.0,-125.0
1356,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Erin Blanchfield,Taila Santos,-142.0,120.0
1357,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Fernie Garcia,Rinya Nakamura,450.0,-602.0
1358,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Garrett Armfield,Toshiomi Kazama,-175.0,150.0
1360,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Jarno Errens,Seungwoo Choi,200.0,-250.0
1361,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Justin Tafa,Parker Porter,-125.0,100.0
1362,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Liang Na,Jj Aldrich,600.0,-1000.0
1367,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Song Kenan,Rolando Bedoya,188.0,-225.0
1370,UFC on ESPN: Holloway vs. The Korean Zombie,Aug 2023,Yusaku Kinoshita,Billy Goff,-150.0,125.0
1371,UFC 134: Silva vs. Okami,Aug 2011,Anderson Silva,Yushin Okami,-435.0,325.0
1372,UFC 134: Silva vs. Okami,Aug 2011,Antonio Rodrigo Nogueira,Brendan Schaub,165.0,-205.0
1373,UFC 134: Silva vs. Okami,Aug 2011,Dan Miller,Rousimar Palhares,190.0,-270.0
1374,UFC 134: Silva vs. Okami,Aug 2011,David Mitchell,Paulo Thiago,310.0,-400.0
1375,UFC 134: Silva vs. Okami,Aug 2011,Edson Barboza,Ross Pearson,-260.0,180.0
1376,UFC 134: Silva vs. Okami,Aug 2011,Forrest Griffin,Mauricio Rua,160.0,-195.0
1377,UFC 134: Silva vs. Okami,Aug 2011,Ian Loveland,Yves Jabouin,-140.0,110.0
1380,UFC 134: Silva vs. Okami,Aug 2011,Raphael Assuncao,Johnny Eduardo,-145.0,115.0
1383,UFC 134: Silva vs. Okami,Aug 2011,Spencer Fisher,Thiago Tavares,160.0,-210.0
1384,UFC 134: Silva vs. Okami,Aug 2011,Stanislav Nedkov,Luis Cane,140.0,-180.0
1388,UFC on FOX 21: Maia vs. Condit,Aug 2016,Alessio Di Chirico,Garreth McLellan,-265.0,185.0
1389,UFC on FOX 21: Maia vs. Condit,Aug 2016,Alex Ricci,Jeremy Kennedy,145.0,-185.0
1390,UFC on FOX 21: Maia vs. Condit,Aug 2016,Anthony Pettis,Charles Oliveira,-190.0,150.0
1391,UFC on FOX 21: Maia vs. Condit,Aug 2016,Bec Rawlings,Paige Vanzant,175.0,-245.0
1392,UFC on FOX 21: Maia vs. Condit,Aug 2016,Carlos Condit,Demian Maia,-110.0,-130.0
1393,UFC on FOX 21: Maia vs. Condit,Aug 2016,Chad Laprise,Thibault Gouti,-270.0,190.0
1396,UFC on FOX 21: Maia vs. Condit,Aug 2016,Enrique Barzola,Kyle Bochniak,145.0,-185.0
1397,UFC on FOX 21: Maia vs. Condit,Aug 2016,Felipe Silva,Shane Campbell,105.0,-145.0
1400,UFC on FOX 21: Maia vs. Condit,Aug 2016,Jim Miller,Joe Lauzon,-130.0,-110.0
1401,UFC on FOX 21: Maia vs. Condit,Aug 2016,Kevin Casey,Sam Alvey,150.0,-190.0
1406,Road to UFC,Aug 2023,Bahatebole Batebolati,Shin Haraguchi,400.0,-535.0
1407,Road to UFC,Aug 2023,Daermisi Zhawupasi,Chang Ho Lee,-325.0,260.0
1408,Road to UFC,Aug 2023,Jae Hyun Park,Shin Haraguchi,350.0,-549.0
1409,Road to UFC,Aug 2023,Mark Climaco,Rei Tsuruya,-142.0,120.0
1410,Road to UFC,Aug 2023,Nyamjargal Tumendemberel,Peter Danesoe,-115.0,-105.0
1414,Road to UFC,Aug 2023,Shuya Kamikubo,Long Xiao,-298.0,240.0
1415,UFC 118: Edgar vs. Penn 2,Aug 2010,Andre Winner,Nik Lentz,-215.0,170.0
1416,UFC 118: Edgar vs. Penn 2,Aug 2010,Dan Miller,John Salter,-275.0,215.0
1417,UFC 118: Edgar vs. Penn 2,Aug 2010,Demian Maia,Mario Miranda,-400.0,280.0
1418,UFC 118: Edgar vs. Penn 2,Aug 2010,Frankie Edgar,B.J. Penn,275.0,-365.0
1419,UFC 118: Edgar vs. Penn 2,Aug 2010,Gabe Ruediger,Joe Lauzon,255.0,-335.0
1420,UFC 118: Edgar vs. Penn 2,Aug 2010,Gray Maynard,Kenny Florian,100.0,-130.0
1421,UFC 118: Edgar vs. Penn 2,Aug 2010,Greg Soto,Nick Osipczak,-135.0,105.0
1425,UFC 118: Edgar vs. Penn 2,Aug 2010,Marcus Davis,Nate Diaz,155.0,-185.0
1427,UFC 118: Edgar vs. Penn 2,Aug 2010,Mike Pierce,Amilcar Alves,-280.0,220.0
1430,UFC 118: Edgar vs. Penn 2,Aug 2010,Randy Couture,James Toney,-490.0,355.0
1431,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Abel Trujillo,Roger Bowling,-130.0,-110.0
1432,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Ben Alloway,Zak Cummings,185.0,-265.0
1433,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Brad Tavares,Robert McDaniel,-350.0,250.0
1434,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Brandon Thatch,Justin Edwards,-265.0,185.0
1435,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Brian Melancon,Kelvin Gastelum,125.0,-165.0
1436,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Carlos Condit,Martin Kampmann,-215.0,165.0
1437,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Court McGee,Robert Whittaker,-110.0,-130.0
1438,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Darren Elkins,Hatsu Hioki,135.0,-175.0
1439,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Donald Cerrone,Rafael Dos Anjos,-120.0,-120.0
1440,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Dylan Andrews,Papy Abedi,-265.0,185.0
1441,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,Erik Perez,Takeya Mizugaki,-215.0,165.0
1443,UFC Fight Night 27: Condit vs. Kampmann II,Aug 2013,James Head,Jason High,-120.0,-120.0
1454,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Abdul Razak Alhassan,Alessio Di Chirico,125.0,-155.0
1455,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Andre Petroski,Micheal Gillmore,-175.0,145.0
1456,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Brady Hiestand,Ricky Turcios,140.0,-170.0
1457,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Bryan Battle,Gilbert Urbina,-129.0,-101.0
1458,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Daniel Rodriguez,Kevin Lee,110.0,-130.0
1459,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Darren Stewart,Dustin Jacoby,150.0,-175.0
1460,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Edson Barboza,Giga Chikadze,-150.0,130.0
1461,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Gerald Meerschaert,Makhmud Muradov,200.0,-235.0
1464,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Guido Cannetti,Mana Martinez,185.0,-225.0
1465,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Jamall Emmers,Pat Sabatini,-145.0,125.0
1471,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Sam Alvey,Wellington Turman,-110.0,-110.0
1472,UFC on ESPN: Barboza vs. Chikadze,Aug 2021,Vanessa Demopoulos,Jj Aldrich,185.0,-220.0
1474,UFC 102: Couture vs Nogueira,Aug 2009,Aaron Simpson,Ed Herman,130.0,-160.0
1475,UFC 102: Couture vs Nogueira,Aug 2009,Antonio Rodrigo Nogueira,Randy Couture,-160.0,120.0
1476,UFC 102: Couture vs Nogueira,Aug 2009,Brandon Vera,Krzysztof Soszynski,-140.0,110.0
1477,UFC 102: Couture vs Nogueira,Aug 2009,Chris Leben,Jake Rosholt,-170.0,140.0
1478,UFC 102: Couture vs Nogueira,Aug 2009,Demian Maia,Nate Marquardt,120.0,-150.0
1480,UFC 102: Couture vs Nogueira,Aug 2009,Evan Dunham,Marcus Aurelio,125.0,-145.0
1481,UFC 102: Couture vs Nogueira,Aug 2009,Gabriel Gonzaga,Chris Tuchscherer,-380.0,260.0
1483,UFC 102: Couture vs Nogueira,Aug 2009,Justin McCully,Mike Russow,180.0,-240.0
1484,UFC 102: Couture vs Nogueira,Aug 2009,Keith Jardine,Thiago Silva,-215.0,170.0
1487,UFC 102: Couture vs Nogueira,Aug 2009,Mark Munoz,Nick Catone,-180.0,150.0
1493,UFC 102: Couture vs Nogueira,Aug 2009,Todd Duffee,Tim Hague,-130.0,100.0
1494,UFC on ESPN+ 33: Smith vs. Rakic,Aug 2020,Aleksandar Rakic,Anthony Smith,-235.0,200.0
1495,UFC on ESPN+ 33: Smith vs. Rakic,Aug 2020,Alessio Di Chirico,Zak Cummings,120.0,-140.0
1496,UFC on ESPN+ 33: Smith vs. Rakic,Aug 2020,Alex Caceres,Austin Springer,-195.0,170.0
1497,UFC on ESPN+ 33: Smith vs. Rakic,Aug 2020,Alexa Grasso,Ji Yeon Kim,-250.0,210.0
1500,UFC on ESPN+ 33: Smith vs. Rakic,Aug 2020,Bill Algeo,Ricardo Lamas,185.0,-265.0
1501,UFC on ESPN+ 33: Smith vs. Rakic,Aug 2020,Christian Aguilera,Sean Brady,285.0,-350.0
1502,UFC on ESPN+ 33: Smith vs. Rakic,Aug 2020,Emily Whitmire,Polyana Viana,-105.0,-115.0
1503,UFC on ESPN+ 33: Smith vs. Rakic,Aug 2020,Hannah Cifers,Mallory Martin,-170.0,145.0
1504,UFC on ESPN+ 33: Smith vs. Rakic,Aug 2020,Impa Kasanganay,Maki Pitolo,-115.0,-115.0
1508,UFC on ESPN+ 33: Smith vs. Rakic,Aug 2020,Neil Magny,Robbie Lawler,-140.0,120.0
1514,UFC 177: Dillashaw vs. Soto,Aug 2014,Anthony Hamilton,Ruan Potts,-210.0,160.0
1515,UFC 177: Dillashaw vs. Soto,Aug 2014,Bethe Correia,Shayna Baszler,-160.0,120.0
1516,UFC 177: Dillashaw vs. Soto,Aug 2014,Cain Carrizosa,Chris Wade,100.0,-120.0
1517,UFC 177: Dillashaw vs. Soto,Aug 2014,Damon Jackson,Yancy Medeiros,100.0,-120.0
1518,UFC 177: Dillashaw vs. Soto,Aug 2014,Danny Castillo,Tony Ferguson,185.0,-265.0
1519,UFC 177: Dillashaw vs. Soto,Aug 2014,Derek Brunson,Lorenz Larkin,100.0,-140.0
1520,UFC 177: Dillashaw vs. Soto,Aug 2014,Joe Soto,T.J. Dillashaw,700.0,-1500.0
1522,UFC 177: Dillashaw vs. Soto,Aug 2014,Ramsey Nijem,Carlos Diego Ferreira,200.0,-280.0
1527,UFC 164: Henderson vs. Pettis II,Aug 2013,Al Iaquinta,Ryan Couture,-245.0,175.0
1528,UFC 164: Henderson vs. Pettis II,Aug 2013,Anthony Pettis,Benson Henderson,120.0,-160.0
1529,UFC 164: Henderson vs. Pettis II,Aug 2013,Ben Rothwell,Brandon Vera,-130.0,-110.0
1532,UFC 164: Henderson vs. Pettis II,Aug 2013,Chad Mendes,Clay Guida,-350.0,250.0
1533,UFC 164: Henderson vs. Pettis II,Aug 2013,Chico Camus,Kyung Ho Kang,135.0,-175.0
1535,UFC 164: Henderson vs. Pettis II,Aug 2013,Dustin Poirier,Erik Koch,100.0,-140.0
1536,UFC 164: Henderson vs. Pettis II,Aug 2013,Frank Mir,Josh Barnett,170.0,-230.0
1537,UFC 164: Henderson vs. Pettis II,Aug 2013,Gleison Tibau,Jamie Varner,-115.0,-125.0
1538,UFC 164: Henderson vs. Pettis II,Aug 2013,Hyun Gyu Lim,Pascal Krauss,165.0,-215.0
1542,UFC 164: Henderson vs. Pettis II,Aug 2013,Louis Gaudinot,Tim Elliott,120.0,-160.0
1543,UFC 164: Henderson vs. Pettis II,Aug 2013,Magnus Cedenblad,Jared Hamman,100.0,-140.0
1546,UFC 164: Henderson vs. Pettis II,Aug 2013,Soa Palelei,Nikita Krylov,100.0,-140.0
1548,UFC on ESPN+ 15: Andrade vs. Zhang,Aug 2019,Andre Soukhamthath,Su Mudaerji,-245.0,175.0
1549,UFC on ESPN+ 15: Andrade vs. Zhang,Aug 2019,Anthony Hernandez,Jun Yong Park,-230.0,170.0
1550,UFC on ESPN+ 15: Andrade vs. Zhang,Aug 2019,Damir Ismagulov,Thiago Moises,-405.0,285.0
1551,UFC on ESPN+ 15: Andrade vs. Zhang,Aug 2019,Derrick Krantz,Song Kenan,-105.0,-135.0
1552,UFC on ESPN+ 15: Andrade vs. Zhang,Aug 2019,Jessica Andrade,Weili Zhang,-200.0,170.0
1553,UFC on ESPN+ 15: Andrade vs. Zhang,Aug 2019,Karol Rosa,Lara Procopio,125.0,-165.0
1554,UFC on ESPN+ 15: Andrade vs. Zhang,Aug 2019,Li Jingliang,Elizeu Zaleski Dos Santos,205.0,-285.0
1557,UFC 163: Aldo vs. Jung,Aug 2013,Amanda Nunes,Sheila Gaff,-260.0,180.0
1558,UFC 163: Aldo vs. Jung,Aug 2013,Anthony Perosh,Vinny Magalhaes,225.0,-305.0
1559,UFC 163: Aldo vs. Jung,Aug 2013,Bristol Marunde,Viscardi Andrade,180.0,-260.0
1560,UFC 163: Aldo vs. Jung,Aug 2013,Cezar Ferreira,Thiago Santos,-430.0,310.0
1561,UFC 163: Aldo vs. Jung,Aug 2013,Chan Sung Jung,Jose Aldo,335.0,-505.0
1562,UFC 163: Aldo vs. Jung,Aug 2013,Ednaldo Oliveira,Francimar Bodao,-230.0,170.0
1563,UFC 163: Aldo vs. Jung,Aug 2013,Ian McCall,Iliarde Santos,-410.0,290.0
1564,UFC 163: Aldo vs. Jung,Aug 2013,John Lineker,Jose Tome,-410.0,290.0
1566,UFC 163: Aldo vs. Jung,Aug 2013,Josh Clopton,Rani Yahya,435.0,-705.0
1567,UFC 163: Aldo vs. Jung,Aug 2013,Lyoto Machida,Phil Davis,-270.0,190.0
1568,UFC 163: Aldo vs. Jung,Aug 2013,Neil Magny,Sergio Moraes,170.0,-230.0
1573,UFC 163: Aldo vs. Jung,Aug 2013,Thales Leites,Tom Watson,-140.0,100.0
1577,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Antonina Shevchenko,Lucie Pudilova,-230.0,170.0
1578,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Claudio Silva,Cole Williams,-400.0,280.0
1579,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Clay Guida,Jim Miller,145.0,-185.0
1580,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Colby Covington,Robbie Lawler,-175.0,135.0
1582,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Darko Stosic,Kennedy Nzechukwu,-130.0,-110.0
1583,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Dong Hyun Ma,Scott Holtzman,205.0,-285.0
1584,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Gerald Meerschaert,Trevin Giles,-115.0,-125.0
1585,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Hannah Goldy,Miranda Granger,-130.0,-110.0
1587,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Joaquim Silva,Nasrat Haqparast,170.0,-230.0
1588,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Jordan Espinosa,Matt Schnell,-120.0,-120.0
1590,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Lauren Murphy,Mara Romero Borella,150.0,-190.0
1597,UFC on ESPN 5: Covington vs. Lawler,Aug 2019,Salim Touahri,Mickey Gall,150.0,-190.0
1600,UFC,Aug 2024,Alonzo Menifield,Azamat Murzakanov,165.0,-200.0
1601,UFC,Aug 2024,Cory Sandhagen,Umar Nurmagomedov,225.0,-278.0
1602,UFC,Aug 2024,Denis Tiuliulin,Sedriques Dumas,220.0,-275.0
1603,UFC,Aug 2024,Elves Brener,Joel Alvarez,-110.0,-120.0
1604,UFC,Aug 2024,Guram Kutateladze,Abdul-Kareem Al-Selwady,-250.0,200.0
1605,UFC,Aug 2024,Guram Kutateladze,Jordan Vucenic,-240.0,188.0
1606,UFC,Aug 2024,Jai Herbert,Rolando Bedoya,-145.0,120.0
1608,UFC,Aug 2024,Kaue Fernandes,Mohammad Yahya,-350.0,260.0
1609,UFC,Aug 2024,Loopy Godinez,Mackenzie Dern,-148.0,124.0
1610,UFC,Aug 2024,Marlon Vera,Deiveson Figueiredo,-105.0,-115.0
1611,UFC,Aug 2024,Michael Chiesa,Tony Ferguson,-455.0,350.0
1612,UFC,Aug 2024,Michal Oleksiejczuk,Sharabutdin Magomedov,220.0,-275.0
1615,UFC,Aug 2024,Sam Hughes,Victoria Dudakova,160.0,-190.0
1617,UFC,Aug 2024,Shamil Gaziev,Don'tale Mayes,-275.0,220.0
1620,UFC on FOX 4: Shogun vs. Vera,Aug 2012,Brandon Vera,Mauricio Rua,200.0,-280.0
1621,UFC on FOX 4: Shogun vs. Vera,Aug 2012,Cole Miller,Nam Phan,-130.0,110.0
1622,UFC on FOX 4: Shogun vs. Vera,Aug 2012,Jamie Varner,Joe Lauzon,110.0,-150.0
1623,UFC on FOX 4: Shogun vs. Vera,Aug 2012,John Moraga,Ulysses Gomez,200.0,-240.0
1624,UFC on FOX 4: Shogun vs. Vera,Aug 2012,Josh Grispi,Rani Yahya,-170.0,150.0
1625,UFC on FOX 4: Shogun vs. Vera,Aug 2012,Lyoto Machida,Ryan Bader,-290.0,210.0
1627,UFC on FOX 4: Shogun vs. Vera,Aug 2012,Michihiro Omigawa,Manny Gamburyan,120.0,-140.0
1628,UFC on FOX 4: Shogun vs. Vera,Aug 2012,Mike Swick,Damarques Johnson,-240.0,180.0
1630,UFC on FOX 4: Shogun vs. Vera,Aug 2012,Oli Thompson,Phil de Fries,175.0,-205.0
1631,UFC on FOX 4: Shogun vs. Vera,Aug 2012,Phil Davis,Wagner Prado,-675.0,425.0
1636,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Alex Perez,Jose Torres,-120.0,-120.0
1637,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Brett Johns,Pedro Munhoz,115.0,-155.0
1638,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Cub Swanson,Renato Moicano,125.0,-165.0
1639,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Danielle Taylor,Weili Zhang,175.0,-245.0
1640,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Demetrious Johnson,Henry Cejudo,-475.0,325.0
1642,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Kevin Holland,Thiago Santos,215.0,-275.0
1643,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Kyung Ho Kang,Ricardo Ramos,175.0,-245.0
1644,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Marlon Vera,Wuliji Buren,-230.0,170.0
1645,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Matt Sayles,Sheymon Moraes,-115.0,-125.0
1647,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Polyana Viana,J.J. Aldrich,-210.0,160.0
1650,UFC 227: Dillashaw vs. Garbrandt 2,Aug 2018,Ricky Simon,Montel Jackson,-175.0,145.0
1653,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Alan Jouban,Niko Price,-185.0,145.0
1654,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Alejandro Perez,Andre Soukhamthath,-140.0,100.0
1655,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Alexa Grasso,Randa Markos,-170.0,130.0
1657,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Brad Scott,Jack Hermansson,165.0,-215.0
1658,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Brandon Moreno,Sergio Pettis,-150.0,110.0
1659,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Diego Rivas,Jose Quinonez,135.0,-175.0
1660,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Dustin Ortiz,Hector Sandoval,-230.0,170.0
1661,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Henry Briones,Rani Yahya,155.0,-195.0
1662,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Humberto Bandenay,Martin Bravo,235.0,-315.0
1664,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Jordan Rinaldi,Alvaro Herrera,-245.0,175.0
1666,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Joseph Morales,Roberto Sanchez,140.0,-180.0
1671,UFC Fight Night 114: Pettis vs. Moreno,Aug 2017,Rashad Evans,Sam Alvey,125.0,-165.0
1673,UFC Fight Night: Sandhagen vs. Nurmagomedov,Aug 2023,Billy Quarantillo,Damon Jackson,-175.0,140.0
1674,UFC Fight Night: Sandhagen vs. Nurmagomedov,Aug 2023,Cody Durden,Jake Hadley,150.0,-175.0
1676,UFC Fight Night: Sandhagen vs. Nurmagomedov,Aug 2023,Jesse Butler,Sean Woodson,360.0,-500.0
1677,UFC Fight Night: Sandhagen vs. Nurmagomedov,Aug 2023,Kyler Phillips,Said Nurmagomedov,,
1678,UFC Fight Night: Sandhagen vs. Nurmagomedov,Aug 2023,Sean Woodson,Dennis Buzukia,-196.0,152.0
1680,UFC Fight Night: Sandhagen vs. Nurmagomedov,Aug 2023,Steve Garcia,Sean Woodson,,
1681,UFC 133: Evans vs. Ortiz 2,Aug 2011,Alexander Gustafsson,Matt Hamill,-150.0,110.0
1682,UFC 133: Evans vs. Ortiz 2,Aug 2011,Brian Ebersole,Dennis Hallman,-210.0,160.0
1683,UFC 133: Evans vs. Ortiz 2,Aug 2011,Chad Mendes,Rani Yahya,-625.0,430.0
1684,UFC 133: Evans vs. Ortiz 2,Aug 2011,Constantinos Philippou,Jorge Rivera,135.0,-165.0
1686,UFC 133: Evans vs. Ortiz 2,Aug 2011,Ivan Menjivar,Nick Pace,-225.0,175.0
1687,UFC 133: Evans vs. Ortiz 2,Aug 2011,Johny Hendricks,Mike Pierce,-150.0,120.0
1689,UFC 133: Evans vs. Ortiz 2,Aug 2011,Mike Brown,Nam Phan,-240.0,180.0
