,Unnamed: 0,Event,Date,Location,W/L 1,Fighter 1,Fighter 2,Weight class,Stance,Career W,Career L,born_year,W,L,Num Fights,W Perc,Sig Strikes Avg,Sig Str %,Sig Strikes Opp Avg,Sig Str % Opp,Strikes Avg,Str %,Strikes Opp Avg,Str % Opp,TD Avg,TD %,TD Opp Avg,TD % Opp,KD Avg,KD Opp Avg,KO Avg,SUB Avg,KO Opp Avg,SUB Opp Avg,CTRL Avg,CTRL Opp Avg,Time Avg,Streak,Ht Diff,Reach Diff,Age,Career Fights,Career W Perc
0,33,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",win,Cesar Almeida,Dylan Budka,Middleweight,Orthodox,4,0,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,36.0,4.0,100.0
1,16,UFC 302: Makhachev vs. Poirier,2024-06-01,"Newark, New Jersey, USA",,Cesar Almeida,Roman Kopylov,Middleweight,Orthodox,5,0,1988,1.0,0.0,1.0,100.0,1.0,20.0,29.0,76.31578947368422,6.0,54.54545454545454,87.0,86.13861386138613,3.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,353.0,12.0,433.0,1.0,1.0,-1.0,36.0,5.0,100.0
2,7836,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,"Salt Lake City, Utah, USA",,Cesar Almeida,Ihor Potieria,Middleweight,Orthodox,5,1,1988,1.0,1.0,2.0,50.0,21.0,55.26315789473685,43.5,60.83916083916085,40.0,64.0,100.5,76.42585551330798,4.0,53.333333333333336,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,436.0,6.0,666.5,-1.0,-2.0,-1.0,36.0,6.0,83.33333333333334
