,Winner,Event,Date,Location,Fighter 1,Fighter 2,Weight class,Stance 1,Career W 1,Career L 1,W 1,L 1,Num Fights 1,W Perc 1,Sig Strikes Avg 1,Sig Str % 1,Sig Strikes Opp Avg 1,Sig Str % Opp 1,Strikes Avg 1,Str % 1,Strikes Opp Avg 1,Str % Opp 1,TD Avg 1,TD % 1,TD Opp Avg 1,TD % Opp 1,KD Avg 1,KD Opp Avg 1,DEC Avg 1,KO Avg 1,SUB Avg 1,DEC Opp Avg 1,KO Opp Avg 1,SUB Opp Avg 1,CTRL Avg 1,CTRL Opp Avg 1,Time Avg 1,Streak 1,Ht Diff 1,Reach Diff 1,Age 1,Career Fights 1,Career W Perc 1,W 2,L 2,Num Fights 2,W Perc 2,Sig Strikes Avg 2,Sig Str % 2,Sig Strikes Opp Avg 2,Sig Str % Opp 2,Strikes Avg 2,Str % 2,Strikes Opp Avg 2,Str % Opp 2,TD Avg 2,TD % 2,TD Opp Avg 2,TD % Opp 2,KD Avg 2,KD Opp Avg 2,DEC Avg 2,KO Avg 2,SUB Avg 2,DEC Opp Avg 2,KO Opp Avg 2,SUB Opp Avg 2,CTRL Avg 2,CTRL Opp Avg 2,Time Avg 2,Streak 2,Career W 2,Career L 2,Career Fights 2,Career W Perc 2,Ht Diff 2,Reach Diff 2,Age 2,Stance 2
1501,0,UFC Fight Night: Vettori vs. Holland,Apr 2021,"Las Vegas, Nevada, USA",Sasha Palatnikov,Impa Kasanganay,Welterweight,Switch,6,2,1.0,0.0,1.0,100.0,99.0,48.05825242718447,125.0,52.74261603375528,160.0,31.25,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53.0,196.0,767.0,1.0,2.0,-3.0,32.0,8.0,75.0,1.0,1.0,2.0,50.0,50.0,22.67573696145125,56.5,23.739495798319325,58.5,20.855614973262032,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,39.5,7.5,661.5,-1.0,8,1,9.0,88.88888888888889,-2.0,3.0,27.0,Orthodox
1502,0,UFC Fight Night: Grasso vs. Araujo,Oct 2022,"Las Vegas, Nevada, USA",Jordan Wright,Dusko Todorovic,Middleweight,Orthodox,12,3,2.0,3.0,5.0,40.0,16.6,28.135593220338983,18.8,32.52595155709342,24.4,39.869281045751634,0.0,0.0,0.4,33.33333333333333,0.0,0.0,0.4,0.6,0.0,0.4,0.0,0.0,0.4,0.2,16.8,49.8,143.4,-2.0,1.0,3.0,31.0,15.0,80.0,2.0,3.0,5.0,40.0,24.8,21.602787456445995,39.2,23.058823529411764,54.6,31.27147766323024,0.0,0.0,0.4,25.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.2,0.4,0.0,60.0,109.0,449.0,-1.0,11,3,14.0,78.57142857142857,-1.0,-3.0,28.0,Orthodox
1503,0,UFC Fight Night: Waterson vs. Hill,Sep 2020,"Las Vegas, Nevada, USA",Roque Martinez,Alexandr Romanov,Heavyweight,Orthodox,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-3.0,34.0,20.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,11.0,100.0,4.0,3.0,30.0,Southpaw
1504,1,UFC Fight Night: Dern vs. Rodriguez,Oct 2021,"Las Vegas, Nevada, USA",Alexandr Romanov,Jared Vanderaa,Heavyweight,Southpaw,14,0,3.0,0.0,3.0,100.0,31.0,24.538258575197887,12.333333333333334,25.34246575342466,33.333333333333336,49.504950495049506,0.0,0.0,1.3333333333333333,80.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,355.6666666666667,58.333333333333336,505.0,3.0,-2.0,-5.0,31.0,14.0,100.0,1.0,1.0,2.0,50.0,43.5,41.62679425837321,86.0,37.8021978021978,124.0,34.25414364640884,0.0,0.0,1.5,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,5.5,266.5,736.0,1.0,12,5,17.0,70.58823529411765,2.0,5.0,29.0,Orthodox
1505,1,UFC Fight Night: Hermansson vs. Strickland,Feb 2022,"Las Vegas, Nevada, USA",Phil Rowe,Jason Witt,Welterweight,Orthodox,8,3,1.0,1.0,2.0,50.0,44.0,32.35294117647059,46.0,22.062350119904075,89.5,35.87174348697395,0.0,0.0,2.0,50.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,177.5,293.5,730.5,1.0,5.0,10.0,32.0,11.0,72.72727272727273,2.0,2.0,4.0,50.0,14.25,34.96932515337423,19.0,32.20338983050847,31.75,37.24340175953079,0.0,0.0,2.5,47.61904761904761,0.0,0.0,0.0,0.75,0.25,0.0,0.25,0.0,0.5,0.0,11.75,182.5,348.25,1.0,19,7,26.0,73.07692307692307,-5.0,-10.0,36.0,Orthodox
1506,1,UFC 268: Usman vs. Covington 2,Nov 2021,"New York City, New York, USA",Chris Curtis,Phil Hawes,Middleweight,Orthodox,26,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,34.0,34.0,76.47058823529412,3.0,0.0,3.0,100.0,32.333333333333336,33.79790940766551,30.666666666666668,28.66043613707165,48.666666666666664,33.6405529953917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,333.3333333333333,87.0,606.0,3.0,11,2,13.0,84.61538461538461,2.0,2.0,32.0,Orthodox
1507,1,UFC 288: Sterling vs. Cejudo,May 2023,"Newark, New Jersey, USA",Ikram Aliskerov,Phil Hawes,Middleweight,Southpaw,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,31.0,14.0,92.85714285714286,4.0,2.0,6.0,66.66666666666666,42.333333333333336,25.971370143149286,30.5,21.131639722863746,40.666666666666664,27.201783723522855,0.0,0.0,0.1666666666666666,9.090909090909092,0.0,0.0,0.5,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,175.33333333333334,51.166666666666664,483.1666666666667,-1.0,12,4,16.0,75.0,0.0,1.0,34.0,Orthodox
1508,0,UFC Fight Night: Strickland vs. Magomedov,Jul 2023,"Las Vegas, Nevada, USA",Guram Kutateladze,Elves Brener,Lightweight,Orthodox,12,3,1.0,1.0,2.0,50.0,65.0,28.01724137931034,58.0,31.266846361185983,63.0,22.183098591549296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,124.0,23.5,900.0,-1.0,1.0,0.0,31.0,15.0,80.0,1.0,0.0,1.0,100.0,70.0,41.42011834319527,69.0,43.94904458598726,82.0,25.076452599388375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,900.0,1.0,14,3,17.0,82.35294117647058,-1.0,0.0,26.0,Orthodox
1509,0,UFC Fight Night: Munhoz vs. Edgar,Aug 2020,"Las Vegas, Nevada, USA",Ike Villanueva,Jordan Wright,Light Heavyweight,Orthodox,17,10,0.0,1.0,1.0,0.0,16.0,29.629629629629623,51.0,58.620689655172406,51.0,29.310344827586203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,349.0,-1.0,-1.0,-4.0,36.0,27.0,62.96296296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,10.0,100.0,1.0,4.0,29.0,Orthodox
1510,0,UFC 269: Oliveira vs. Poirier,Dec 2021,"Las Vegas, Nevada, USA",Jordan Wright,Bruno Silva 185,Middleweight,Orthodox,12,1,2.0,1.0,3.0,66.66666666666666,17.0,28.97727272727273,20.666666666666668,28.57142857142857,28.0,37.83783783783784,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,23.666666666666668,44.666666666666664,157.66666666666666,1.0,2.0,3.0,30.0,13.0,92.3076923076923,2.0,0.0,2.0,100.0,17.0,51.51515151515152,44.5,47.8494623655914,64.0,37.5366568914956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,322.5,56.5,520.0,2.0,21,6,27.0,77.77777777777779,-2.0,-3.0,32.0,Orthodox
