,Winner,Event,Date,Location,Fighter 1,Fighter 2,Weight class,Stance 1,Career W 1,Career L 1,born_year 1,W 1,L 1,Num Fights 1,W Perc 1,Sig Strikes Avg 1,Sig Str % 1,Sig Strikes Opp Avg 1,Sig Str % Opp 1,Strikes Avg 1,Str % 1,Strikes Opp Avg 1,Str % Opp 1,TD Avg 1,TD % 1,TD Opp Avg 1,TD % Opp 1,KD Avg 1,KD Opp Avg 1,DEC Avg 1,KO Avg 1,SUB Avg 1,DEC Opp Avg 1,KO Opp Avg 1,SUB Opp Avg 1,CTRL Avg 1,CTRL Opp Avg 1,Time Avg 1,Streak 1,Ht Diff 1,Reach Diff 1,Age 1,Career Fights 1,Career W Perc 1,W 2,L 2,Num Fights 2,W Perc 2,Sig Strikes Avg 2,Sig Str % 2,Sig Strikes Opp Avg 2,Sig Str % Opp 2,Strikes Avg 2,Str % 2,Strikes Opp Avg 2,Str % Opp 2,TD Avg 2,TD % 2,TD Opp Avg 2,TD % Opp 2,KD Avg 2,KD Opp Avg 2,DEC Avg 2,KO Avg 2,SUB Avg 2,DEC Opp Avg 2,KO Opp Avg 2,SUB Opp Avg 2,CTRL Avg 2,CTRL Opp Avg 2,Time Avg 2,Streak 2,Career W 2,Career L 2,Career Fights 2,Career W Perc 2,Ht Diff 2,Reach Diff 2,Age 2,Stance 2,born_year 2,Fighter 1 Odds,Fighter 2 Odds
0,1,UFC Fight Night: Blaydes vs. Aspinall,Jul 23rd 2022,"London, England, United Kingdom",Charles Johnson,Muhammad Mokaev,Flyweight,Orthodox,7,0,2000,1,0,1,100,2.0,40.0,1.0,20.0,2.0,20.0,1.0,10.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,58.0,1,-2,0,22,7.0,100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,2,13.0,84.61538461538461,2,0,31,Switch,1991,380.0,-490.0
1,0,UFC 237: Namajunas vs. Andrade,May 11th 2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Luana Carolina,Priscila Cachoeira,Women's Flyweight,Orthodox,8,2,1988,0,2,2,0,38.5,29.72972972972973,101.0,35.815602836879435,40.0,16.096579476861166,170.0,44.50261780104712,0.0,0.0,2.0,30.76923076923077,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,33.0,293.0,732.5,-2,1,-4,31,10.0,80.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1,6.0,83.33333333333334,-1,4,26,Orthodox,1993,250.0,-300.0
2,0,UFC Fight Night: Strickland vs. Magomedov,Jul 1st 2023,"Las Vegas, Nevada, USA",Ivana Petrovic,Luana Carolina,Women's Flyweight,Southpaw,6,0,1994,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,29,6.0,100.0,3,3,6,50,55.66666666666666,26.4240506329114,61.0,28.17551963048499,76.5,30.888290713324363,90.33333333333331,34.36905516804059,0.5,15.789473684210526,0.6666666666666666,50.0,0.1666666666666666,0.1666666666666666,0.5,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,160.83333333333334,137.83333333333334,733.3333333333334,-2,8,4,12.0,66.66666666666666,-2,-1,30,Orthodox,1993,-225.0,163.0
3,0,UFC Fight Night: Ladd vs. Dumont,Oct 16th 2021,"Las Vegas, Nevada, USA",Ariane Carnelossi,Istela Nunes,Women's Strawweight,Orthodox,6,1,1992,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,5,29,7.0,85.71428571428571,1,1,2,50,55.5,28.030303030303028,48.0,23.132530120481928,64.5,29.119638826185103,87.0,32.95454545454545,1.5,75.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,113.5,97.0,552.0,1,13,2,15.0,86.66666666666667,-2,-5,29,Orthodox,1992,-175.0,150.0
4,1,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022,"Paris, Ile-de-France, France",Ailin Perez,Stephanie Egger,Women's Featherweight,Orthodox,7,3,1988,2,2,4,50,12.25,18.992248062015506,12.75,16.831683168316832,27.75,40.36363636363636,31.25,40.71661237785016,1.25,41.66666666666667,1.25,71.42857142857143,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,125.0,175.5,410.75,-1,1,2,34,10.0,70.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,1,8.0,87.5,-1,-2,28,Switch,1994,125.0,-145.0
5,0,UFC 112: Invincible,Apr 10th 2010,"Abu Dhabi, United Arab Emirates",Jon Madsen,Mostapha Al-Turk,Heavyweight,Orthodox,6,5,1973,0,2,2,0,5.5,23.91304347826087,25.0,30.67484662576687,7.0,19.718309859154928,45.5,45.5,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48.5,46.0,231.5,-2,2,5,37,11.0,54.54545454545454,1,0,1,100,26.0,26.0,17.0,10.69182389937107,26.0,13.0,17.0,5.345911949685535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,900.0,1,5,1,6.0,83.33333333333334,-2,-5,30,Orthodox,1980,-300.0,240.0
6,1,UFC 125: Resolution,Jan 1st 2011,"Las Vegas, Nevada, USA",Daniel Roberts,Greg Soto,Welterweight,Southpaw,14,4,1980,2,1,3,66,9.333333333333334,12.78538812785388,4.333333333333333,7.83132530120482,22.666666666666668,30.630630630630627,18.33333333333333,31.25,0.6666666666666666,66.66666666666666,2.6666666666666665,72.72727272727273,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,42.66666666666666,161.33333333333334,364.6666666666667,2,-1,1,31,18.0,77.77777777777779,1,1,2,50,25.0,26.737967914438503,58.5,35.670731707317074,53.5,39.62962962962963,122.0,45.18518518518518,0.0,0.0,3.5,53.84615384615385,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,49.0,559.0,795.0,1,9,3,12.0,75.0,1,-1,25,Orthodox,1986,100.0,-130.0
7,1,UFC 251: Usman vs. Masvidal,Jul 11th 2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Karol Rosa,Vanessa Melo,Women's Bantamweight,Orthodox,12,3,1994,1,0,1,100,171.0,48.71794871794872,165.0,56.896551724137936,177.0,24.964739069111424,169.0,28.93835616438356,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,22.0,900.0,1,0,2,26,15.0,80.0,0,2,2,0,73.5,22.96875,82.5,20.80706179066835,111.5,25.810185185185187,101.5,21.278825995807125,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,270.0,1.0,900.0,-2,10,7,17.0,58.82352941176471,0,-2,32,Orthodox,1988,-210.0,160.0
8,0,UFC Fight Night: Santos vs. Walker,Oct 2nd 2021,"Las Vegas, Nevada, USA",Bethe Correia,Karol Rosa,Women's Bantamweight,Orthodox,11,5,1983,5,6,11,45,57.36363636363637,21.58002735978112,54.18181818181818,20.701632511288643,70.36363636363636,24.73633748801534,75.45454545454545,27.150801439319597,0.3636363636363636,19.047619047619047,0.2727272727272727,16.666666666666664,0.0,0.1818181818181818,0.3636363636363636,0.0909090909090909,0.0,0.2727272727272727,0.1818181818181818,0.0909090909090909,56.18181818181818,106.0,747.5454545454545,-1,0,-3,38,16.0,68.75,3,0,3,100,116.0,26.564885496183205,82.66666666666667,26.215644820295985,163.0,32.92929292929293,105.66666666666669,30.393096836049853,2.0,60.0,0.3333333333333333,10.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,362.3333333333333,10.0,900.0,3,14,3,17.0,82.35294117647058,0,3,27,Orthodox,1994,235.0,-275.0
9,1,UFC Fight Night: Strickland vs. Magomedov,Jul 1st 2023,"Las Vegas, Nevada, USA",Karol Rosa,Yana Santos,Women's Featherweight,Orthodox,16,5,1994,5,2,7,71,75.0,22.658610271903324,66.57142857142857,25.02685284640172,127.0,36.34505314799673,111.28571428571428,37.88910505836576,1.5714285714285714,52.38095238095239,0.7142857142857143,25.0,0.1428571428571428,0.2857142857142857,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,297.2857142857143,169.71428571428572,900.0,-1,-1,-1,29,21.0,76.19047619047619,4,4,8,50,31.0,19.6513470681458,46.5,22.169249106078663,78.5,43.40013821700069,98.25,42.69418794133623,0.75,40.0,1.625,65.0,0.0,0.25,0.5,0.0,0.0,0.125,0.375,0.0,226.875,254.375,701.625,-2,14,7,21.0,66.66666666666666,1,1,34,Orthodox,1989,-210.0,170.0
